energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2431,783,0,3.4567901234567877,0,52.2891732487152,1700004749.619
2431,783,0,3.4567901234567877,0,52.2891732487152,1700004749.619
2431,824,0,2.970297029702973,0,52.29301654093845,1700004750.621
2431,824,0,2.970297029702973,0,52.29301654093845,1700004750.621
2431,824,0,2.970297029702973,0,52.29301654093845,1700004751.623
2431,824,0,2.970297029702973,0,52.29301654093845,1700004751.623
2390,783,0,3.2098765432098775,0,52.290158708259625,1700004752.625
2390,783,0,3.2098765432098775,0,52.290158708259625,1700004752.625
2349,741,0,3.2019704433497553,0,52.28937034062409,1700004753.627
2349,741,0,3.2019704433497553,0,52.28937034062409,1700004753.627
2349,741,0,3.2019704433497553,0,52.28937034062409,1700004754.629
2349,741,0,3.2019704433497553,0,52.28937034062409,1700004754.629
2390,741,0,2.9484029484029506,0,52.286709599854156,1700004755.632
2390,741,0,2.9484029484029506,0,52.286709599854156,1700004755.632
2349,700,0,3.960396039603964,0,52.27922010731655,1700004756.634
2349,700,0,3.960396039603964,0,52.27922010731655,1700004756.634
2349,700,0,3.960396039603964,0,52.27922010731655,1700004757.637
2349,700,0,3.960396039603964,0,52.27922010731655,1700004757.637
2390,741,0,2.941176470588236,0,52.27311025814113,1700004758.639
2390,741,0,2.941176470588236,0,52.27311025814113,1700004758.639
2390,824,0,3.439803439803435,0,52.270153879507866,1700004759.641
2390,824,0,3.439803439803435,0,52.270153879507866,1700004759.641
2390,824,0,3.439803439803435,0,52.270153879507866,1700004760.644
2390,824,0,3.439803439803435,0,52.270153879507866,1700004760.644
2349,865,0,26.19647355163728,0,51.007780203103216,1700004761.646
2349,865,0,26.19647355163728,0,51.007780203103216,1700004761.646
2843,1154,0,27.54342431761787,0,50.373045710540964,1700004762.648
2843,1154,0,27.54342431761787,0,50.373045710540964,1700004762.648
2802,1112,0,27.363184079601986,0,49.70539686919503,1700004763.651
2802,1112,0,27.363184079601986,0,49.70539686919503,1700004763.651
2802,1112,0,27.363184079601986,0,49.70539686919503,1700004764.653
2802,1112,0,27.363184079601986,0,49.70539686919503,1700004764.653
3374,1522,41,45.86466165413534,0,49.29820498543984,1700004765.655
3374,1522,41,45.86466165413534,0,49.29820498543984,1700004765.655
3374,1646,0,25.5,0,48.06036925169129,1700004766.658
3374,1646,0,25.5,0,48.06036925169129,1700004766.658
3374,1646,0,25.5,0,48.06036925169129,1700004767.66
3374,1646,0,25.5,0,48.06036925169129,1700004767.66
3415,1604,0,26.054590570719604,0,47.192967760691005,1700004768.662
3415,1604,0,26.054590570719604,0,47.192967760691005,1700004768.662
3338,1563,0,25.879396984924618,0,46.45131090755897,1700004769.665
3338,1563,0,25.879396984924618,0,46.45131090755897,1700004769.665
3338,1563,0,25.879396984924618,0,46.45131090755897,1700004770.667
3338,1563,0,25.879396984924618,0,46.45131090755897,1700004770.667
3374,1563,0,28.249999999999996,20.5,42.417233716512854,1700004771.67
3374,1563,0,28.249999999999996,20.5,42.417233716512854,1700004771.67
3868,2016,82,29.15601023017903,0,35.58445141930811,1700004772.671
3868,2016,82,29.15601023017903,0,35.58445141930811,1700004772.671
3868,2016,82,29.15601023017903,0,35.58445141930811,1700004773.674
3868,2016,82,29.15601023017903,0,35.58445141930811,1700004773.674
3785,1851,82,28.535353535353536,21.3,30.114165488221296,1700004774.676
3785,1851,82,28.535353535353536,21.3,30.114165488221296,1700004774.676
3785,1851,82,29.7979797979798,0,24.08433562781164,1700004775.679
3785,1851,82,29.7979797979798,0,24.08433562781164,1700004775.679
3785,1851,82,29.7979797979798,0,24.08433562781164,1700004776.681
3785,1851,82,29.7979797979798,0,24.08433562781164,1700004776.681
3703,1810,82,30.348258706467657,0,17.88855438012131,1700004777.684
3703,1810,82,30.348258706467657,0,17.88855438012131,1700004777.684
3785,1892,123,30.730478589420652,33.5,12.550418573941494,1700004778.686
3785,1892,123,30.730478589420652,33.5,12.550418573941494,1700004778.686
3785,1892,123,30.730478589420652,33.5,12.550418573941494,1700004779.688
3785,1892,123,30.730478589420652,33.5,12.550418573941494,1700004779.688
3744,1851,82,26.43391521197007,0,9.27425831851038,1700004780.691
3744,1851,82,26.43391521197007,0,9.27425831851038,1700004780.691
3256,1440,0,26.749999999999996,0,8.29254352035713,1700004781.693
3256,1440,0,26.749999999999996,0,8.29254352035713,1700004781.693
3256,1440,0,26.749999999999996,0,8.29254352035713,1700004782.696
3256,1440,0,26.749999999999996,0,8.29254352035713,1700004782.696
3539,1687,0,26.184538653366584,0,7.044557553301043,1700004783.698
3539,1687,0,26.184538653366584,0,7.044557553301043,1700004783.698
3744,1810,0,25.87064676616916,0,6.799867948421047,1700004784.701
3744,1810,0,25.87064676616916,0,6.799867948421047,1700004784.701
3744,1810,0,25.87064676616916,0,6.799867948421047,1700004785.703
3744,1810,0,25.87064676616916,0,6.799867948421047,1700004785.703
3462,1769,0,26.054590570719604,0,7.445048312154165,1700004786.705
3462,1769,0,26.054590570719604,0,7.445048312154165,1700004786.705
3456,1728,0,25.6857855361596,0,8.061157619326833,1700004787.707
3456,1728,0,25.6857855361596,0,8.061157619326833,1700004787.707
3456,1728,0,25.6857855361596,0,8.061157619326833,1700004788.709
