energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2737,1004,120,1.4851485148514865,0,38.09100530769033,1688508294.147
2737,1004,120,1.4851485148514865,0,38.09100530769033,1688508294.147
2737,1004,120,1.4851485148514865,0,38.09100530769033,1688508295.149
2737,1004,120,1.4851485148514865,0,38.09100530769033,1688508295.149
2777,1004,120,0.995024875621886,0.2,38.081052156483246,1688508296.152
2777,1004,120,0.995024875621886,0.2,38.081052156483246,1688508296.152
2813,1004,160,0.7462686567164201,0,38.08568382090635,1688508297.155
2813,1004,160,0.7462686567164201,0,38.08568382090635,1688508297.155
2813,1004,160,0.7462686567164201,0,38.08568382090635,1688508298.158
2813,1004,160,0.7462686567164201,0,38.08568382090635,1688508298.158
2737,964,120,1.243781094527363,0,38.082628893308126,1688508299.161
2737,964,120,1.243781094527363,0,38.082628893308126,1688508299.161
2737,966,120,1.4925373134328401,0,38.06016039355351,1688508300.164
2737,966,120,1.4925373134328401,0,38.06016039355351,1688508300.164
2737,966,120,1.4925373134328401,0,38.06016039355351,1688508301.167
2737,966,120,1.4925373134328401,0,38.06016039355351,1688508301.167
2728,1003,120,11.442786069651746,0,38.06469351192506,1688508302.17
2728,1003,120,11.442786069651746,0,38.06469351192506,1688508302.17
3280,1320,120,34.17085427135679,0,37.032226529779635,1688508303.173
3280,1320,120,34.17085427135679,0,37.032226529779635,1688508303.173
3280,1320,120,34.17085427135679,0,37.032226529779635,1688508304.176
3280,1320,120,34.17085427135679,0,37.032226529779635,1688508304.176
3394,1594,119,26.368159203980102,0,35.97561576500314,1688508305.179
3394,1594,119,26.368159203980102,0,35.97561576500314,1688508305.179
3394,1594,119,26.368159203980102,0,35.97561576500314,1688508306.182
3394,1594,119,26.368159203980102,0,35.97561576500314,1688508306.182
3434,1555,119,26.66666666666667,0,34.80419885016467,1688508307.185
3434,1555,119,26.66666666666667,0,34.80419885016467,1688508307.185
3394,1517,119,26.799007444168733,3.4,33.39380776030447,1688508308.188
3394,1517,119,26.799007444168733,3.4,33.39380776030447,1688508308.188
3394,1517,119,26.799007444168733,3.4,33.39380776030447,1688508309.191
