energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2637,824,41,5.679012345679013,0,41.187577296983015,1699905717.825
2637,824,41,5.679012345679013,0,41.187577296983015,1699905717.825
2637,824,41,5.679012345679013,0,41.187577296983015,1699905718.827
2637,824,41,5.679012345679013,0,41.187577296983015,1699905718.827
2390,700,41,4.477611940298509,0,41.1814674478076,1699905719.83
2390,700,41,4.477611940298509,0,41.1814674478076,1699905719.83
2679,783,123,6.172839506172845,0,41.18353691285089,1699905720.833
2679,783,123,6.172839506172845,0,41.18353691285089,1699905720.833
2679,783,123,6.172839506172845,0,41.18353691285089,1699905721.835
2679,783,123,6.172839506172845,0,41.18353691285089,1699905721.835
2885,1071,41,5.472636815920396,0,41.172499765953354,1699905722.839
2885,1071,41,5.472636815920396,0,41.172499765953354,1699905722.839
2596,865,41,6.218905472636815,0,41.16333499219023,1699905723.842
2596,865,41,6.218905472636815,0,41.16333499219023,1699905723.842
2596,865,41,6.218905472636815,0,41.16333499219023,1699905724.845
2596,865,41,6.218905472636815,0,41.16333499219023,1699905724.845
2472,783,41,5.925925925925924,0,41.16638991677794,1699905725.848
2472,783,41,5.925925925925924,0,41.16638991677794,1699905725.848
2720,865,123,4.702970297029707,0,41.16707973845904,1699905726.851
2720,865,123,4.702970297029707,0,41.16707973845904,1699905726.851
2720,865,123,4.702970297029707,0,41.16707973845904,1699905727.854
2720,865,123,4.702970297029707,0,41.16707973845904,1699905727.854
2472,741,41,4.466501240694787,0,41.172105582135586,1699905728.859
2472,741,41,4.466501240694787,0,41.172105582135586,1699905728.859
2514,783,41,5.44554455445545,0,41.16323644623579,1699905729.861
2514,783,41,5.44554455445545,0,41.16323644623579,1699905729.861
2514,783,41,5.44554455445545,0,41.16323644623579,1699905730.862
2514,783,41,5.44554455445545,0,41.16323644623579,1699905730.862
2431,700,41,3.7220843672456594,0,41.15909751614922,1699905731.863
2431,700,41,3.7220843672456594,0,41.15909751614922,1699905731.863
2555,783,82,4.207920792079212,38.9,41.15407167247266,1699905732.865
2555,783,82,4.207920792079212,38.9,41.15407167247266,1699905732.865
2555,783,82,4.207920792079212,38.9,41.15407167247266,1699905733.866
2555,783,82,4.207920792079212,38.9,41.15407167247266,1699905733.866
2637,824,123,4.702970297029707,0,41.16609427891461,1699905734.867
2637,824,123,4.702970297029707,0,41.16609427891461,1699905734.867
2637,824,123,4.702970297029707,0,41.16609427891461,1699905735.869
2637,824,123,4.702970297029707,0,41.16609427891461,1699905735.869
2431,1112,41,5.185185185185182,0,41.16501027341575,1699905736.871
2431,1112,41,5.185185185185182,0,41.16501027341575,1699905736.871
2431,700,41,4.218362282878408,0,41.16343353814467,1699905737.873
2431,700,41,4.218362282878408,0,41.16343353814467,1699905737.873
2431,700,41,4.218362282878408,0,41.16343353814467,1699905738.875
2431,700,41,4.218362282878408,0,41.16343353814467,1699905738.875
2596,865,82,5.825242718446599,0,41.149341466659436,1699905739.876
2596,865,82,5.825242718446599,0,41.149341466659436,1699905739.876
2679,783,123,3.7406483790523692,69.3,41.15811205660479,1699905740.877
2679,783,123,3.7406483790523692,69.3,41.15811205660479,1699905740.877
2679,783,123,3.7406483790523692,69.3,41.15811205660479,1699905741.878
2679,783,123,3.7406483790523692,69.3,41.15811205660479,1699905741.878
2390,700,41,4.534005037783373,0,41.161955348828045,1699905742.88
2390,700,41,4.534005037783373,0,41.161955348828045,1699905742.88
2390,700,41,4.466501240694787,0,41.150425472158304,1699905743.882
2390,700,41,4.466501240694787,0,41.150425472158304,1699905743.882
2390,700,41,4.466501240694787,0,41.150425472158304,1699905744.883
2390,700,41,4.466501240694787,0,41.150425472158304,1699905744.883
2596,865,41,5.210918114143926,0,41.161955348828045,1699905745.885
2596,865,41,5.210918114143926,0,41.161955348828045,1699905745.885
2802,1030,82,5.249999999999999,0,41.15683095919705,1699905746.887
2802,1030,82,5.249999999999999,0,41.15683095919705,1699905746.887
2802,1030,82,5.249999999999999,0,41.15683095919705,1699905747.888
2802,1030,82,5.249999999999999,0,41.15683095919705,1699905747.888
2555,865,41,5.707196029776673,0,41.15141093170273,1699905748.889
2555,865,41,5.707196029776673,0,41.15141093170273,1699905748.889
2637,906,41,3.712871287128716,0,41.16175825691916,1699905749.89
2637,906,41,3.712871287128716,0,41.16175825691916,1699905749.89
2637,906,41,3.712871287128716,0,41.16175825691916,1699905750.893
2637,906,41,3.712871287128716,0,41.16175825691916,1699905750.893
2514,783,41,23.677581863979846,0,40.53254233780568,1699905751.895
2514,783,41,23.677581863979846,0,40.53254233780568,1699905751.895
4814,3040,41,26.249999999999996,0,39.80379500470556,1699905752.898
4814,3040,41,26.249999999999996,0,39.80379500470556,1699905752.898
4814,3040,41,26.249999999999996,0,39.80379500470556,1699905753.899
4814,3040,41,26.249999999999996,0,39.80379500470556,1699905753.899
3539,1728,41,26.550868486352353,0,38.35034072263748,1699905754.9
3539,1728,41,26.550868486352353,0,38.35034072263748,1699905754.9
3503,1728,41,26.368159203980102,0,37.50235278466231,1699905755.902
3503,1728,41,26.368159203980102,0,37.50235278466231,1699905755.902
3503,1728,41,26.368159203980102,0,37.50235278466231,1699905756.903
3503,1728,41,26.368159203980102,0,37.50235278466231,1699905756.903
3580,1728,82,26.249999999999996,39.3,36.18252681681785,1699905757.904
3580,1728,82,26.249999999999996,39.3,36.18252681681785,1699905757.904
3379,1522,41,26,0,35.59479874452454,1699905758.906
3379,1522,41,26,0,35.59479874452454,1699905758.906
3338,1481,41,26.184538653366584,2.2,35.02589294952969,1699905759.908
3338,1481,41,26.184538653366584,2.2,35.02589294952969,1699905759.908
3338,1481,41,26.184538653366584,2.2,35.02589294952969,1699905760.909
3338,1481,41,26.184538653366584,2.2,35.02589294952969,1699905760.909
3462,1646,41,26.799007444168733,0,32.01186493291484,1699905761.91
3462,1646,41,26.799007444168733,0,32.01186493291484,1699905761.91
3909,1851,41,27.114427860696523,0,23.87926149661741,1699905762.912
3909,1851,41,27.114427860696523,0,23.87926149661741,1699905762.912
3909,1851,41,27.114427860696523,0,23.87926149661741,1699905763.913
3909,1851,41,27.114427860696523,0,23.87926149661741,1699905763.913
3868,1892,82,26.302729528535984,0,23.885371345792827,1699905764.915
3868,1892,82,26.302729528535984,0,23.885371345792827,1699905764.915
3785,1975,41,26.550868486352353,0,30.40369350237249,1699905765.917
3785,1975,41,26.550868486352353,0,30.40369350237249,1699905765.917
3785,1975,41,26.550868486352353,0,30.40369350237249,1699905766.918
3785,1975,41,26.550868486352353,0,30.40369350237249,1699905766.918
3785,1892,41,26.550868486352353,0,29.010155160605265,1699905767.92
3785,1892,41,26.550868486352353,0,29.010155160605265,1699905767.92
4362,2181,41,100,0,27.900823351449368,1699905768.922
4362,2181,41,100,0,27.900823351449368,1699905768.922
4362,2181,41,100,0,27.900823351449368,1699905769.924
