energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2507,768,40,5.459057071960293,0,57.57681171988482,1688506606.826
2507,768,40,5.459057071960293,0,57.57681171988482,1688506606.826
2507,768,40,5.459057071960293,0,57.57681171988482,1688506607.827
2507,768,40,5.459057071960293,0,57.57681171988482,1688506607.827
2507,767,40,4.975124378109452,0,57.58972125263857,1688506608.828
2507,767,40,4.975124378109452,0,57.58972125263857,1688506608.828
2741,1006,40,5.2369077306733125,0,57.568041121296396,1688506609.83
2741,1006,40,5.2369077306733125,0,57.568041121296396,1688506609.83
2741,1006,40,5.2369077306733125,0,57.568041121296396,1688506610.833
2741,1006,40,5.2369077306733125,0,57.568041121296396,1688506610.833
3365,1362,40,31.98992443324937,0,55.08310388527663,1688506611.835
3365,1362,40,31.98992443324937,0,55.08310388527663,1688506611.835
3170,1243,40,29.292929292929294,0,53.1889502283312,1688506612.837
3170,1243,40,29.292929292929294,0,53.1889502283312,1688506612.837
3170,1243,40,29.292929292929294,0,53.1889502283312,1688506613.839
3170,1243,40,29.292929292929294,0,53.1889502283312,1688506613.839
3250,1161,40,30.42394014962594,0,50.833502504055176,1688506614.841
3250,1161,40,30.42394014962594,0,50.833502504055176,1688506614.841
3250,1161,40,30.42394014962594,0,50.833502504055176,1688506615.843
3250,1161,40,30.42394014962594,0,50.833502504055176,1688506615.843
3210,1161,40,31.59203980099502,0,48.106831803570124,1688506616.845
3210,1161,40,31.59203980099502,0,48.106831803570124,1688506616.845
3290,1121,40,31.26550868486352,0,45.29196238694304,1688506617.848
3290,1121,40,31.26550868486352,0,45.29196238694304,1688506617.848
3290,1121,40,31.26550868486352,0,45.29196238694304,1688506618.851
3290,1121,40,31.26550868486352,0,45.29196238694304,1688506618.851
3325,1402,40,47.394540942928046,0,44.797261208135176,1688506619.854
3325,1402,40,47.394540942928046,0,44.797261208135176,1688506619.854
3365,1482,40,28.179551122194514,0,43.35375864495237,1688506620.855
3365,1482,40,28.179551122194514,0,43.35375864495237,1688506620.855
3365,1482,40,28.179551122194514,0,43.35375864495237,1688506621.858
3365,1482,40,28.179551122194514,0,43.35375864495237,1688506621.858
3365,1280,40,28.000000000000004,2.3,41.87103475325054,1688506622.861
3365,1280,40,28.000000000000004,2.3,41.87103475325054,1688506622.861
3365,1440,40,27.749999999999996,0,41.18584405678617,1688506623.863
3365,1440,40,27.749999999999996,0,41.18584405678617,1688506623.863
3365,1440,40,27.749999999999996,0,41.18584405678617,1688506624.867
3365,1440,40,27.749999999999996,0,41.18584405678617,1688506624.867
3325,1360,40,27.27272727272727,0,40.33273088847149,1688506625.869
3325,1360,40,27.27272727272727,0,40.33273088847149,1688506625.869
3325,1360,40,27.27272727272727,0,40.33273088847149,1688506626.87
3325,1360,40,27.27272727272727,0,40.33273088847149,1688506626.87
3405,1160,80,28.888888888888886,0,34.50442176133329,1688506627.872
3405,1160,80,28.888888888888886,0,34.50442176133329,1688506627.872
3400,1160,80,27.611940298507463,27.4,29.775393839295038,1688506628.874
3400,1160,80,27.611940298507463,27.4,29.775393839295038,1688506628.874
3400,1160,80,27.611940298507463,27.4,29.775393839295038,1688506629.877
3400,1160,80,27.611940298507463,27.4,29.775393839295038,1688506629.877
3365,1480,40,26.184538653366584,0,27.633101224533235,1688506630.88
3365,1480,40,26.184538653366584,0,27.633101224533235,1688506630.88
3634,1754,119,26.119402985074625,0,25.31973266427134,1688506631.883
3634,1754,119,26.119402985074625,0,25.31973266427134,1688506631.883
3634,1754,119,26.119402985074625,0,25.31973266427134,1688506632.886
3634,1754,119,26.119402985074625,0,25.31973266427134,1688506632.886
3594,1754,119,26.119402985074625,15.5,23.30692956125327,1688506633.889
3594,1754,119,26.119402985074625,15.5,23.30692956125327,1688506633.889
3594,1754,119,26.119402985074625,15.5,23.30692956125327,1688506634.892
3594,1754,119,26.119402985074625,15.5,23.30692956125327,1688506634.892
3520,1717,40,26.913580246913583,0,21.271953596635242,1688506635.895
3520,1717,40,26.913580246913583,0,21.271953596635242,1688506635.895
