energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2720,865,164,4.714640198511166,0,42.326374346517134,1699902015.15
2720,865,164,4.714640198511166,0,42.326374346517134,1699902015.15
2679,947,41,4.975124378109452,0,42.32322087597499,1699902016.152
2679,947,41,4.975124378109452,0,42.32322087597499,1699902016.152
2596,824,41,3.731343283582089,0,42.31947612970618,1699902017.155
2596,824,41,3.731343283582089,0,42.31947612970618,1699902017.155
2596,824,41,3.731343283582089,0,42.31947612970618,1699902018.158
2596,824,41,3.731343283582089,0,42.31947612970618,1699902018.158
2679,947,41,4.726368159203975,0,42.31829357825288,1699902019.161
2679,947,41,4.726368159203975,0,42.31829357825288,1699902019.161
3503,1524,82,32.330827067669176,0,41.23891973924741,1699902020.164
3503,1524,82,32.330827067669176,0,41.23891973924741,1699902020.164
3503,1524,82,32.330827067669176,0,41.23891973924741,1699902021.167
3503,1524,82,32.330827067669176,0,41.23891973924741,1699902021.167
3627,1728,41,26.368159203980102,0,40.33673152632902,1699902022.17
3627,1728,41,26.368159203980102,0,40.33673152632902,1699902022.17
3627,1769,41,26.48514851485149,0,39.174579085592086,1699902023.173
3627,1769,41,26.48514851485149,0,39.174579085592086,1699902023.173
3627,1769,41,26.48514851485149,0,39.174579085592086,1699902024.175
3627,1769,41,26.48514851485149,0,39.174579085592086,1699902024.175
3750,1769,123,26.683291770573568,0,38.40069770535745,1699902025.178
3750,1769,123,26.683291770573568,0,38.40069770535745,1699902025.178
3544,1687,41,27.29528535980149,0,37.15744194411459,1699902026.181
3544,1687,41,27.29528535980149,0,37.15744194411459,1699902026.181
3420,1481,82,26.119402985074625,0,36.552172691930565,1699902027.184
3420,1481,82,26.119402985074625,0,36.552172691930565,1699902027.184
3420,1481,82,26.119402985074625,0,36.552172691930565,1699902028.187
3420,1481,82,26.119402985074625,0,36.552172691930565,1699902028.187
3750,1892,41,26.43391521197007,0,35.88925405639785,1699902029.19
3750,1892,41,26.43391521197007,0,35.88925405639785,1699902029.19
3420,1522,41,26.43391521197007,0,32.44053983473844,1699902030.193
3420,1522,41,26.43391521197007,0,32.44053983473844,1699902030.193
3420,1522,41,26.43391521197007,0,32.44053983473844,1699902031.196
3420,1522,41,26.43391521197007,0,32.44053983473844,1699902031.196
4115,2016,123,26.368159203980102,75,27.75980409064257,1699902032.199
4115,2016,123,26.368159203980102,75,27.75980409064257,1699902032.199
3874,1934,41,26.368159203980102,0,31.484249892831272,1699902033.202
3874,1934,41,26.368159203980102,0,31.484249892831272,1699902033.202
3874,1934,41,26.368159203980102,0,31.484249892831272,1699902034.205
3874,1934,41,26.368159203980102,0,31.484249892831272,1699902034.205
3956,1975,41,26.61691542288557,0,27.764435750501352,1699902035.208
3956,1975,41,26.61691542288557,0,27.764435750501352,1699902035.208
3915,1934,41,26.43391521197007,0,30.000936186567202,1699902036.211
3915,1934,41,26.43391521197007,0,30.000936186567202,1699902036.211
3915,1934,41,26.43391521197007,0,30.000936186567202,1699902037.214
3915,1934,41,26.43391521197007,0,30.000936186567202,1699902037.214
4732,2345,164,99.00497512437812,0,29.754571300461684,1699902038.217
4732,2345,164,99.00497512437812,0,29.754571300461684,1699902038.217
4732,2345,164,99.00497512437812,0,29.754571300461684,1699902039.22
4732,2345,164,99.00497512437812,0,29.754571300461684,1699902039.22
4526,2304,82,44.527363184079604,0,35.06570551512434,1699902040.223
4526,2304,82,44.527363184079604,0,35.06570551512434,1699902040.223
3462,1646,41,26.184538653366584,0,35.044715226828146,1699902041.225
3462,1646,41,26.184538653366584,0,35.044715226828146,1699902041.225
3462,1646,41,26.368159203980102,0,34.91601421032663,1699902042.229
3462,1646,41,26.368159203980102,0,34.91601421032663,1699902042.229
3462,1646,41,26.368159203980102,0,34.91601421032663,1699902043.232
3462,1646,41,26.368159203980102,0,34.91601421032663,1699902043.232
3544,1648,82,26.302729528535984,0,34.786229188326246,1699902044.235
3544,1648,82,26.302729528535984,0,34.786229188326246,1699902044.235
3503,1646,41,27.68079800498753,0,36.53532133372095,1699902045.238
3503,1646,41,27.68079800498753,0,36.53532133372095,1699902045.238
3503,1646,41,27.68079800498753,0,36.53532133372095,1699902046.24
3503,1646,41,27.68079800498753,0,36.53532133372095,1699902046.24
3627,1728,41,28.643216080402013,0,36.54143118289637,1699902047.243
3627,1728,41,28.643216080402013,0,36.54143118289637,1699902047.243
3668,1769,41,28.855721393034827,0,36.532759138905455,1699902048.245
3668,1769,41,28.855721393034827,0,36.532759138905455,1699902048.245
3668,1769,41,28.855721393034827,0,36.532759138905455,1699902049.248
3668,1769,41,28.855721393034827,0,36.532759138905455,1699902049.248
3709,1810,41,28.21158690176322,0,36.520539440554614,1699902050.25
3709,1810,41,28.21158690176322,0,36.520539440554614,1699902050.25
3709,1810,82,27.749999999999996,0,36.52172199200792,1699902051.253
3709,1810,82,27.749999999999996,0,36.52172199200792,1699902051.253
3709,1810,82,27.749999999999996,0,36.52172199200792,1699902052.255
3709,1810,82,27.749999999999996,0,36.52172199200792,1699902052.255
3668,1810,41,27.318295739348375,0,36.52359436514232,1699902053.258
3668,1810,41,27.318295739348375,0,36.52359436514232,1699902053.258
3668,1810,41,28.03970223325062,0,36.520539440554614,1699902054.261
3668,1810,41,28.03970223325062,0,36.520539440554614,1699902054.261
3668,1810,41,28.000000000000004,0,36.52132780819015,1699902055.263
3668,1810,41,28.000000000000004,0,36.52132780819015,1699902055.263
3668,1810,41,28.000000000000004,0,36.52132780819015,1699902056.266
3668,1810,41,28.000000000000004,0,36.52132780819015,1699902056.266
3668,1810,41,28.21782178217822,0,36.51935688910131,1699902057.268
3668,1810,41,28.21782178217822,0,36.51935688910131,1699902057.268
3750,1810,82,27.79156327543424,81.4,36.519061251237986,1699902058.271
3750,1810,82,27.79156327543424,81.4,36.519061251237986,1699902058.271
3750,1810,82,27.79156327543424,81.4,36.519061251237986,1699902059.273
3750,1810,82,27.79156327543424,81.4,36.519061251237986,1699902059.273
3668,1810,41,27.431421446384043,0,36.520539440554614,1699902060.276
3668,1810,41,27.431421446384043,0,36.520539440554614,1699902060.276
3709,1810,41,28.927680798004985,2.3,36.50831974220378,1699902061.278
3709,1810,41,28.927680798004985,2.3,36.50831974220378,1699902061.278
3709,1810,41,28.927680798004985,2.3,36.50831974220378,1699902062.281
3709,1810,41,28.927680798004985,2.3,36.50831974220378,1699902062.281
3668,1810,41,27.722772277227726,0,36.506053185251616,1699902063.283
3668,1810,41,27.722772277227726,0,36.506053185251616,1699902063.283
3668,1851,41,27.54342431761787,0,36.50871392602155,1699902064.285
3668,1851,41,27.54342431761787,0,36.50871392602155,1699902064.285
3791,1851,123,27.182044887780542,0,36.512557218244794,1699902065.288
3791,1851,123,27.182044887780542,0,36.512557218244794,1699902065.288
3791,1851,123,27.182044887780542,0,36.512557218244794,1699902066.29
