energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2737,966,120,0.5000000000000004,0,32.89762839072327,1688520773.41
2737,966,120,0.5000000000000004,0,32.89762839072327,1688520773.41
2737,966,120,0.5000000000000004,0,32.89762839072327,1688520774.412
2817,1004,161,0.9975062344139696,0,32.90294987750726,1688520775.414
2817,1004,161,0.9975062344139696,0,32.90294987750726,1688520775.414
2817,1004,161,0.9975062344139696,0,32.90294987750726,1688520775.414
2768,1003,120,10.173697270471461,0,32.90442806828059,1688520776.416
2768,1003,120,10.173697270471461,0,32.90442806828059,1688520776.416
2768,1003,120,10.173697270471461,0,32.90442806828059,1688520777.418
2768,1003,120,10.173697270471461,0,32.90442806828059,1688520777.418
2737,1006,120,1.488833746898266,0,32.90561062089925,1688520778.42
2737,1006,120,1.488833746898266,0,32.90561062089925,1688520778.42
2737,1006,120,1.488833746898266,0,32.90561062089925,1688520779.423
2737,1006,120,1.488833746898266,0,32.90561062089925,1688520779.423
2737,966,120,1.4851485148514865,0,32.91270593661124,1688520780.425
2737,966,120,1.4851485148514865,0,32.91270593661124,1688520780.425
2737,1006,120,1.985111662531014,0,32.918125969446784,1688520781.428
2737,1006,120,1.985111662531014,0,32.918125969446784,1688520781.428
2737,1006,120,1.985111662531014,0,32.918125969446784,1688520782.431
2737,1006,120,1.985111662531014,0,32.918125969446784,1688520782.431
2777,966,161,1.2376237623762387,0,32.90787718008502,1688520783.433
2777,966,161,1.2376237623762387,0,32.90787718008502,1688520783.433
2777,1044,120,0.995024875621886,0,32.899796403857486,1688520784.436
2777,1044,120,0.995024875621886,0,32.899796403857486,1688520784.436
2777,1044,120,0.995024875621886,0,32.899796403857486,1688520785.439
2777,1044,120,0.995024875621886,0,32.899796403857486,1688520785.439
2777,1006,120,1.4851485148514865,0,32.91704196287967,1688520786.442
2777,1006,120,1.4851485148514865,0,32.91704196287967,1688520786.442
2737,1006,120,22.332506203473944,0,32.13921797795328,1688520787.444
2737,1006,120,22.332506203473944,0,32.13921797795328,1688520787.444
2737,1006,120,22.332506203473944,0,32.13921797795328,1688520788.447
2737,1006,120,22.332506203473944,0,32.13921797795328,1688520788.447
3400,1557,120,26,0,31.029096707182234,1688520789.45
3400,1557,120,26,0,31.029096707182234,1688520789.45
3400,1517,120,26.302729528535984,0,29.79047138518301,1688520790.453
3400,1517,120,26.302729528535984,0,29.79047138518301,1688520790.453
3400,1517,120,26.302729528535984,0,29.79047138518301,1688520791.455
3400,1517,120,26.302729528535984,0,29.79047138518301,1688520791.455
3360,1517,120,26.61691542288557,0,26.26232564739829,1688520792.458
3360,1517,120,26.61691542288557,0,26.26232564739829,1688520792.458
3360,1517,120,26.61691542288557,0,26.26232564739829,1688520793.461
3360,1517,120,26.61691542288557,0,26.26232564739829,1688520793.461
3514,1717,119,26.732673267326735,0,24.369354543071523,1688520794.464
3514,1717,119,26.732673267326735,0,24.369354543071523,1688520794.464
3588,1794,119,25.749999999999996,0,21.92275172110679,1688520795.467
3588,1794,119,25.749999999999996,0,21.92275172110679,1688520795.467
3588,1794,119,25.749999999999996,0,21.92275172110679,1688520796.469
3588,1794,119,25.749999999999996,0,21.92275172110679,1688520796.469
3554,1754,119,25.935162094763086,0,19.732368633185974,1688520797.472
3554,1754,119,25.935162094763086,0,19.732368633185974,1688520797.472
3548,1714,119,26.302729528535984,1.9,17.364011376156192,1688520798.475
3548,1714,119,26.302729528535984,1.9,17.364011376156192,1688520798.475
3548,1714,119,26.302729528535984,1.9,17.364011376156192,1688520799.478
3548,1714,119,26.302729528535984,1.9,17.364011376156192,1688520799.478
3514,1714,119,49.382716049382715,0,17.53735388084206,1688520800.481
3514,1714,119,49.382716049382715,0,17.53735388084206,1688520800.481
3514,1714,119,49.382716049382715,0,17.53735388084206,1688520801.484
3514,1714,119,49.382716049382715,0,17.53735388084206,1688520801.484
4093,2070,119,99.50248756218906,0,17.449943533112457,1688520802.487
4093,2070,119,99.50248756218906,0,17.449943533112457,1688520802.487
3821,2109,119,99.5049504950495,0,17.44018747400848,1688520803.49
3821,2109,119,99.5049504950495,0,17.44018747400848,1688520803.49
3821,2109,119,99.5049504950495,0,17.44018747400848,1688520804.493
3821,2109,119,99.5049504950495,0,17.44018747400848,1688520804.493
3901,2030,119,99.50248756218906,0,17.458517039597773,1688520805.496
3901,2030,119,99.50248756218906,0,17.458517039597773,1688520805.496
3901,2030,119,99.50248756218906,0,17.458517039597773,1688520806.499
3901,2030,119,99.50248756218906,0,17.458517039597773,1688520806.499
3781,2106,119,99.25925925925925,0,17.46580944741287,1688520807.502
3781,2106,119,99.25925925925925,0,17.46580944741287,1688520807.502
3781,2106,119,99.25925925925925,0,17.46580944741287,1688520808.505
3781,2106,119,99.25925925925925,0,17.46580944741287,1688520808.505
3894,2103,119,99.50248756218906,0,17.449352256803127,1688520809.508
3894,2103,119,99.50248756218906,0,17.449352256803127,1688520809.508
4007,2452,118,99.0074441687345,0,17.479901532785284,1688520810.51
4007,2452,118,99.0074441687345,0,17.479901532785284,1688520810.51
4007,2452,118,99.0074441687345,0,17.479901532785284,1688520811.513
4007,2452,118,99.0074441687345,0,17.479901532785284,1688520811.513
3855,2146,119,99.25558312655087,0,17.450534809421793,1688520812.516
3855,2146,119,99.25558312655087,0,17.450534809421793,1688520812.516
3855,2146,119,99.25558312655087,0,17.450534809421793,1688520813.519
3855,2146,119,99.25558312655087,0,17.450534809421793,1688520813.519
3934,1990,119,99.50372208436724,0,17.448760980493795,1688520814.522
3934,1990,119,99.50372208436724,0,17.448760980493795,1688520814.522
3934,1990,119,99.50372208436724,0,17.448760980493795,1688520815.525
3934,1990,119,99.50372208436724,0,17.448760980493795,1688520815.525
3741,2030,119,99.75186104218362,0,17.453786829123118,1688520816.528
3741,2030,119,99.75186104218362,0,17.453786829123118,1688520816.528
3741,2030,119,99.75186104218362,0,17.453786829123118,1688520817.531
3741,2030,119,99.75186104218362,0,17.453786829123118,1688520817.531
