energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2885,1030,164,4.218362282878408,0,49.99403796975624,1699901424.873
2885,1030,164,4.218362282878408,0,49.99403796975624,1699901424.873
2720,906,123,4.466501240694787,0,49.995713250981765,1699901425.875
2720,906,123,4.466501240694787,0,49.995713250981765,1699901425.875
2720,906,123,4.466501240694787,0,49.995713250981765,1699901426.878
2720,906,123,4.466501240694787,0,49.995713250981765,1699901426.878
2720,906,41,4.926108374384242,0,49.99768417007061,1699901427.88
2720,906,41,4.926108374384242,0,49.99768417007061,1699901427.88
2720,906,41,5.472636815920396,0,49.99334814807515,1699901428.883
2720,906,41,5.472636815920396,0,49.99334814807515,1699901428.883
2720,906,41,5.472636815920396,0,49.99334814807515,1699901429.886
2720,906,41,5.472636815920396,0,49.99334814807515,1699901429.886
2967,1112,123,4.477611940298509,43.8,49.98960340180635,1699901430.889
2967,1112,123,4.477611940298509,43.8,49.98960340180635,1699901430.889
2967,1030,164,4.691358024691361,0,49.9971914402984,1699901431.892
2967,1030,164,4.691358024691361,0,49.9971914402984,1699901431.892
2967,1030,164,4.691358024691361,0,49.9971914402984,1699901432.895
2967,1030,164,4.691358024691361,0,49.9971914402984,1699901432.895
3008,1154,41,30.40201005025126,0,47.713093308236964,1699901433.898
3008,1154,41,30.40201005025126,0,47.713093308236964,1699901433.898
3132,1277,41,27.29528535980149,0,47.0818079240802,1699901434.901
3132,1277,41,27.29528535980149,0,47.0818079240802,1699901434.901
3132,1277,41,27.29528535980149,0,47.0818079240802,1699901435.904
3132,1277,41,27.29528535980149,0,47.0818079240802,1699901435.904
3049,1360,41,28.784119106699755,0,46.422929672679615,1699901436.907
3049,1360,41,28.784119106699755,0,46.422929672679615,1699901436.907
3627,1275,82,26.76767676767676,2.2,44.74429788471109,1699901437.91
3627,1275,82,26.76767676767676,2.2,44.74429788471109,1699901437.91
3627,1275,82,26.76767676767676,2.2,44.74429788471109,1699901438.913
3627,1275,82,26.76767676767676,2.2,44.74429788471109,1699901438.913
3585,1646,82,27.86069651741293,15.6,44.0898542012604,1699901439.916
3585,1646,82,27.86069651741293,15.6,44.0898542012604,1699901439.916
3338,1483,41,27.182044887780542,0,43.461722287645784,1699901440.919
3338,1483,41,27.182044887780542,0,43.461722287645784,1699901440.919
3420,1607,41,27.500000000000004,0,42.20122098437554,1699901441.922
3420,1607,41,27.500000000000004,0,42.20122098437554,1699901441.922
3420,1607,41,27.500000000000004,0,42.20122098437554,1699901442.925
3420,1607,41,27.500000000000004,0,42.20122098437554,1699901442.925
3668,1604,164,27.500000000000004,0,41.56421993486112,1699901443.928
3668,1604,164,27.500000000000004,0,41.56421993486112,1699901443.928
3379,1483,41,28.57142857142857,0,40.9463368005085,1699901444.931
3379,1483,41,28.57142857142857,0,40.9463368005085,1699901444.931
3379,1483,41,28.57142857142857,0,40.9463368005085,1699901445.935
3379,1483,41,28.57142857142857,0,40.9463368005085,1699901445.935
3544,1566,123,27.68079800498753,34.8,40.29406112805554,1699901446.938
3544,1566,123,27.68079800498753,34.8,40.29406112805554,1699901446.938
3297,1401,41,26.884422110552762,0,39.687412232509324,1699901447.941
3297,1401,41,26.884422110552762,0,39.687412232509324,1699901447.941
3297,1401,41,26.884422110552762,0,39.687412232509324,1699901448.944
3297,1401,41,26.884422110552762,0,39.687412232509324,1699901448.944
3956,1892,41,27.04714640198511,0,37.692152292917996,1699901449.947
3956,1892,41,27.04714640198511,0,37.692152292917996,1699901449.947
3874,1728,164,26.683291770573568,0,36.42140221038576,1699901450.95
3874,1728,164,26.683291770573568,0,36.42140221038576,1699901450.95
3874,1728,164,26.683291770573568,0,36.42140221038576,1699901451.953
3874,1728,164,26.683291770573568,0,36.42140221038576,1699901451.953
3503,1566,41,27.182044887780542,0,35.08068450019955,1699901452.956
3503,1566,41,27.182044887780542,0,35.08068450019955,1699901452.956
3503,1524,123,26.932668329177055,0,31.662223886553896,1699901453.959
3503,1524,123,26.932668329177055,0,31.662223886553896,1699901453.959
3791,1851,41,26.799007444168733,0,30.57329108996753,1699901454.962
3791,1851,41,26.799007444168733,0,30.57329108996753,1699901454.962
3791,1851,41,26.799007444168733,0,30.57329108996753,1699901455.965
3791,1851,41,26.799007444168733,0,30.57329108996753,1699901455.965
3915,1810,41,26.43391521197007,0,25.810663657730192,1699901456.968
3915,1810,41,26.43391521197007,0,25.810663657730192,1699901456.968
