energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2741,966,120,1.4851485148514865,0,37.72973548268841,1688520120.229
2741,966,120,1.4851485148514865,0,37.72973548268841,1688520120.229
2737,1006,120,1.7369727047146455,0,37.72244307487332,1688520121.231
2737,1006,120,1.7369727047146455,0,37.72244307487332,1688520121.231
2737,1006,120,1.7369727047146455,0,37.72244307487332,1688520122.234
2737,1006,120,1.7369727047146455,0,37.72244307487332,1688520122.234
2777,1006,120,0.995024875621886,0,37.71662885783155,1688520123.236
2777,1006,120,0.995024875621886,0,37.71662885783155,1688520123.236
2777,1006,120,0.7481296758104716,2.7,37.72855293006975,1688520124.239
2777,1006,120,0.7481296758104716,2.7,37.72855293006975,1688520124.239
2777,1006,120,0.7481296758104716,2.7,37.72855293006975,1688520125.242
2777,1006,120,0.7481296758104716,2.7,37.72855293006975,1688520125.242
2737,1006,120,0.9975062344139696,0,37.72244307487332,1688520126.245
2737,1006,120,0.9975062344139696,0,37.72244307487332,1688520126.245
2737,1006,120,0.7499999999999951,0,37.712884107872455,1688520127.248
2737,1006,120,0.7499999999999951,0,37.712884107872455,1688520127.248
2737,1006,120,0.7499999999999951,0,37.712884107872455,1688520128.251
2737,1006,120,0.7499999999999951,0,37.712884107872455,1688520128.251
2737,966,120,1.4851485148514865,0,37.706577160572905,1688520129.254
2737,966,120,1.4851485148514865,0,37.706577160572905,1688520129.254
3474,1597,119,44.91315136476427,0,36.606803225215174,1688520130.256
3474,1597,119,44.91315136476427,0,36.606803225215174,1688520130.256
3474,1597,119,44.91315136476427,0,36.606803225215174,1688520131.258
3474,1597,119,44.91315136476427,0,36.606803225215174,1688520131.258
3320,1520,120,26.368159203980102,0,35.25130228607131,1688520132.261
3320,1520,120,26.368159203980102,0,35.25130228607131,1688520132.261
3360,1480,120,26.368159203980102,0,34.49299041935287,1688520133.264
3360,1480,120,26.368159203980102,0,34.49299041935287,1688520133.264
3360,1480,120,26.368159203980102,0,34.49299041935287,1688520134.267
3360,1480,120,26.368159203980102,0,34.49299041935287,1688520134.267
3360,1480,120,27.54342431761787,0,31.514337465040786,1688520135.27
3360,1480,120,27.54342431761787,0,31.514337465040786,1688520135.27
3360,1480,120,27.54342431761787,0,31.514337465040786,1688520136.273
3360,1480,120,27.54342431761787,0,31.514337465040786,1688520136.273
3245,1120,120,27.249999999999996,0,24.579356178935978,1688520137.276
3245,1120,120,27.249999999999996,0,24.579356178935978,1688520137.276
3554,1634,119,26.48514851485149,0,22.38414433448895,1688520138.279
3554,1634,119,26.48514851485149,0,22.38414433448895,1688520138.279
3554,1634,119,26.48514851485149,0,22.38414433448895,1688520139.282
3554,1634,119,26.48514851485149,0,22.38414433448895,1688520139.282
3514,1677,119,26.119402985074625,3.4,20.053727307307977,1688520140.285
3514,1677,119,26.119402985074625,3.4,20.053727307307977,1688520140.285
3514,1677,119,26.368159203980102,0,18.193473492097592,1688520141.288
3514,1677,119,26.368159203980102,0,18.193473492097592,1688520141.288
3514,1677,119,26.368159203980102,0,18.193473492097592,1688520142.291
3514,1677,119,26.368159203980102,0,18.193473492097592,1688520142.291
3628,1674,159,26.119402985074625,0,15.816739820685605,1688520143.294
3628,1674,159,26.119402985074625,0,15.816739820685605,1688520143.294
3708,1751,199,26.302729528535984,0,14.230444028799097,1688520144.297
3708,1751,199,26.302729528535984,0,14.230444028799097,1688520144.297
3708,1751,199,26.302729528535984,0,14.230444028799097,1688520145.299
3708,1751,199,26.302729528535984,0,14.230444028799097,1688520145.299
3542,1711,119,36.408977556109726,0,11.789852515979241,1688520146.302
3542,1711,119,36.408977556109726,0,11.789852515979241,1688520146.302
3542,1711,119,36.408977556109726,0,11.789852515979241,1688520147.304
3542,1711,119,36.408977556109726,0,11.789852515979241,1688520147.304
3474,1754,119,26.302729528535984,0,10.447655293795343,1688520148.306
3474,1754,119,26.302729528535984,0,10.447655293795343,1688520148.306
3514,1677,119,26.302729528535984,0,8.086196260374436,1688520149.307
3514,1677,119,26.302729528535984,0,8.086196260374436,1688520149.307
3514,1677,119,26.302729528535984,0,8.086196260374436,1688520150.31
3514,1677,119,26.302729528535984,0,8.086196260374436,1688520150.31
3474,1717,119,26.732673267326735,0,11.106140010288208,1688520151.313
3474,1717,119,26.732673267326735,0,11.106140010288208,1688520151.313
3440,1637,120,26.302729528535984,0,11.117374260165517,1688520152.316
3440,1637,120,26.302729528535984,0,11.117374260165517,1688520152.316
3440,1637,120,26.302729528535984,0,11.117374260165517,1688520153.32
3440,1637,120,26.302729528535984,0,11.117374260165517,1688520153.32
3440,1637,120,25.935162094763086,0,10.285645585038344,1688520154.323
3440,1637,120,25.935162094763086,0,10.285645585038344,1688520154.323
3594,1714,119,26.302729528535984,0,8.016622747976356,1688520155.326
3594,1714,119,26.302729528535984,0,8.016622747976356,1688520155.326
3594,1714,119,26.302729528535984,0,8.016622747976356,1688520156.329
3594,1714,119,26.302729528535984,0,8.016622747976356,1688520156.329
3588,1714,119,28.855721393034827,0,7.250624289236603,1688520157.332
3588,1714,119,28.855721393034827,0,7.250624289236603,1688520157.332
3588,1714,119,28.855721393034827,0,7.250624289236603,1688520158.334
3588,1714,119,28.855721393034827,0,7.250624289236603,1688520158.334
3474,1555,119,26.732673267326735,3.5,8.868553363672378,1688520159.337
3474,1555,119,26.732673267326735,3.5,8.868553363672378,1688520159.337
3514,1637,159,31.25,0,8.883630909560347,1688520160.339
3514,1637,159,31.25,0,8.883630909560347,1688520160.339
3514,1637,159,31.25,0,8.883630909560347,1688520161.342
3514,1637,159,31.25,0,8.883630909560347,1688520161.342
3440,1637,120,26.302729528535984,0,8.098908701025076,1688520162.345
3440,1637,120,26.302729528535984,0,8.098908701025076,1688520162.345
3741,1751,199,26.302729528535984,0,5.73784385181039,1688520163.346
3741,1751,199,26.302729528535984,0,5.73784385181039,1688520163.346
3741,1751,199,26.302729528535984,0,5.73784385181039,1688520164.349
3741,1751,199,26.302729528535984,0,5.73784385181039,1688520164.349
3741,1751,199,55.860349127182054,0,7.38405564304255,1688520165.352
3741,1751,199,55.860349127182054,0,7.38405564304255,1688520165.352
3741,1751,199,55.860349127182054,0,7.38405564304255,1688520166.355
3741,1751,199,55.860349127182054,0,7.38405564304255,1688520166.355
3934,2301,119,99.25558312655087,0,7.373314123423016,1688520167.36
3934,2301,119,99.25558312655087,0,7.373314123423016,1688520167.36
4007,2261,119,99.25742574257426,0,7.371835932649687,1688520168.362
4007,2261,119,99.25742574257426,0,7.371835932649687,1688520168.362
4007,2261,119,99.25742574257426,0,7.371835932649687,1688520169.365
4007,2261,119,99.25742574257426,0,7.371835932649687,1688520169.365
4093,2222,119,99.25373134328358,0,7.3706533800310226,1688520170.367
4093,2222,119,99.25373134328358,0,7.3706533800310226,1688520170.367
4093,2222,119,99.25373134328358,0,7.3706533800310226,1688520171.369
4093,2222,119,99.25373134328358,0,7.3706533800310226,1688520171.369
3934,2341,119,99.5085995085995,0,7.365331893247033,1688520172.372
3934,2341,119,99.5085995085995,0,7.365331893247033,1688520172.372
3934,2341,119,99.5085995085995,0,7.365331893247033,1688520173.374
3934,2341,119,99.5085995085995,0,7.365331893247033,1688520173.374
3821,2106,119,99.50372208436724,0,7.381000715444334,1688520174.377
3821,2106,119,99.50372208436724,0,7.381000715444334,1688520174.377
4087,2182,198,99.50248756218906,0,7.37962107072256,1688520175.38
4087,2182,198,99.50248756218906,0,7.37962107072256,1688520175.38
4087,2182,198,99.50248756218906,0,7.37962107072256,1688520176.382
4087,2182,198,99.50248756218906,0,7.37962107072256,1688520176.382
4087,2146,119,99.25925925925925,0,7.355970018349275,1688520177.385
4087,2146,119,99.25925925925925,0,7.355970018349275,1688520177.385
4087,2146,119,99.25925925925925,0,7.355970018349275,1688520178.388
4087,2146,119,99.25925925925925,0,7.355970018349275,1688520178.388
4047,2070,119,99.25742574257426,0,7.382281814114553,1688520179.391
4047,2070,119,99.25742574257426,0,7.382281814114553,1688520179.391
4047,2070,119,99.25742574257426,0,7.382281814114553,1688520180.394
4047,2070,119,99.25742574257426,0,7.382281814114553,1688520180.394
3934,2146,119,98.75621890547264,2.5,7.356758386761718,1688520181.396
3934,2146,119,98.75621890547264,2.5,7.356758386761718,1688520181.396
3861,2070,119,99.00497512437812,0,7.374693768144791,1688520182.398
3861,2070,119,99.00497512437812,0,7.374693768144791,1688520182.398
3861,2070,119,99.00497512437812,0,7.374693768144791,1688520183.4
3861,2070,119,99.00497512437812,0,7.374693768144791,1688520183.4
3974,2185,119,99.00990099009901,0,7.367795544535917,1688520184.402
3974,2185,119,99.00990099009901,0,7.367795544535917,1688520184.402
3974,2185,119,99.00990099009901,0,7.367795544535917,1688520185.404
3974,2185,119,99.00990099009901,0,7.367795544535917,1688520185.404
3934,2146,119,99.5049504950495,0,7.375876320763456,1688520186.406
3934,2146,119,99.5049504950495,0,7.375876320763456,1688520186.406
3934,2146,119,99.5049504950495,0,7.375876320763456,1688520187.408
3934,2146,119,99.5049504950495,0,7.375876320763456,1688520187.408
3821,2030,119,99.75247524752476,0,7.360503136720821,1688520188.409
3821,2030,119,99.75247524752476,0,7.360503136720821,1688520188.409
3894,2070,119,99.75124378109453,0,7.387603300898543,1688520189.41
3894,2070,119,99.75124378109453,0,7.387603300898543,1688520189.41
3894,2070,119,99.75124378109453,0,7.387603300898543,1688520190.412
3894,2070,119,99.75124378109453,0,7.387603300898543,1688520190.412
4014,2261,158,99.50372208436724,0,7.346706689503072,1688520191.414
4014,2261,158,99.50372208436724,0,7.346706689503072,1688520191.414
4014,2261,158,99.50372208436724,0,7.346706689503072,1688520192.415
4014,2261,158,99.50372208436724,0,7.346706689503072,1688520192.415
4053,2380,119,99.75124378109453,0,7.342961939543969,1688520193.416
4053,2380,119,99.75124378109453,0,7.342961939543969,1688520193.416
4053,2380,119,99.75124378109453,0,7.342961939543969,1688520194.417
4053,2380,119,99.75124378109453,0,7.342961939543969,1688520194.417
4047,2222,119,100,0,7.3405968343066395,1688520195.419
4047,2222,119,100,0,7.3405968343066395,1688520195.419
4007,2261,158,99.25558312655087,0,7.342863393492413,1688520196.421
4007,2261,158,99.25558312655087,0,7.342863393492413,1688520196.421
4007,2261,158,99.25558312655087,0,7.342863393492413,1688520197.423
4007,2261,158,99.25558312655087,0,7.342863393492413,1688520197.423
4014,2225,119,99.75247524752476,0,7.33951282773953,1688520198.425
4014,2225,119,99.75247524752476,0,7.33951282773953,1688520198.425
4014,2225,119,99.75247524752476,0,7.33951282773953,1688520199.428
4014,2225,119,99.75247524752476,0,7.33951282773953,1688520199.428
3894,2182,198,99.75124378109453,0,7.340202650100418,1688520200.43
3894,2182,198,99.75124378109453,0,7.340202650100418,1688520200.43
3894,2182,198,99.75124378109453,0,7.340202650100418,1688520201.433
3894,2182,198,99.75124378109453,0,7.340202650100418,1688520201.433
4047,2456,119,99.25558312655087,0,7.358630761741269,1688520202.436
