energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3815,2222,119,99.50372208436724,0.0,10.908653722971282,1688515344.307
3815,2222,119,99.50372208436724,0.0,10.908653722971282,1688515344.307
3968,2182,158,99.25925925925924,5.4,10.883820117979331,1688515345.31
3968,2182,158,99.25925925925924,5.4,10.883820117979331,1688515345.31
3968,2182,158,99.25925925925924,5.4,10.883820117979331,1688515346.312
3968,2182,158,99.25925925925924,5.4,10.883820117979331,1688515346.312
3888,2373,119,99.00497512437812,0.0,10.89406890734109,1688515347.315
3888,2373,119,99.00497512437812,0.0,10.89406890734109,1688515347.315
3894,2142,119,99.50248756218906,0.0,10.868545479988253,1688515348.318
3894,2142,119,99.50248756218906,0.0,10.868545479988253,1688515348.318
3894,2142,119,99.50248756218906,0.0,10.868545479988253,1688515349.32
3894,2142,119,99.50248756218906,0.0,10.868545479988253,1688515349.32
3815,2103,119,99.5049504950495,0.0,10.866377466854034,1688515350.323
3815,2103,119,99.5049504950495,0.0,10.866377466854034,1688515350.323
3815,2103,119,99.5049504950495,0.0,10.866377466854034,1688515351.324
3815,2103,119,99.5049504950495,0.0,10.866377466854034,1688515351.324
4040,2487,118,99.50248756218906,0.0,10.873275690462911,1688515352.327
4040,2487,118,99.50248756218906,0.0,10.873275690462911,1688515352.327
4040,2487,118,99.50248756218906,0.0,10.873275690462911,1688515353.33
4040,2487,118,99.50248756218906,0.0,10.873275690462911,1688515353.33
4232,2297,118,99.01234567901234,0.0,10.869826578658474,1688515354.332
4232,2297,118,99.01234567901234,0.0,10.869826578658474,1688515354.332
4232,2606,118,100.0,0.0,10.884707032443332,1688515355.335
4232,2606,118,100.0,0.0,10.884707032443332,1688515355.335
4232,2606,118,100.0,0.0,10.884707032443332,1688515356.337
4232,2606,118,100.0,0.0,10.884707032443332,1688515356.337
4007,2182,119,99.50372208436724,0.0,10.869826578658474,1688515357.34
4007,2182,119,99.50372208436724,0.0,10.869826578658474,1688515357.34
4007,2182,119,99.50372208436724,0.0,10.869826578658474,1688515358.343
4007,2182,119,99.50372208436724,0.0,10.869826578658474,1688515358.343
4001,2452,118,99.0074441687345,0.0,10.87514806544246,1688515359.345
4001,2452,118,99.0074441687345,0.0,10.87514806544246,1688515359.345
4001,2452,118,99.0074441687345,0.0,10.87514806544246,1688515360.347
4001,2452,118,99.0074441687345,0.0,10.87514806544246,1688515360.347
3894,2106,119,99.50248756218906,0.0,10.867067289214924,1688515361.35
3894,2106,119,99.50248756218906,0.0,10.867067289214924,1688515361.35
3855,2182,119,99.75247524752476,0.0,10.875542249648683,1688515362.353
3855,2182,119,99.75247524752476,0.0,10.875542249648683,1688515362.353
3855,2182,119,99.75247524752476,0.0,10.875542249648683,1688515363.356
3855,2182,119,99.75247524752476,0.0,10.875542249648683,1688515363.356
3928,2103,158,99.25558312655087,0.0,10.86480073002915,1688515364.358
3928,2103,158,99.25558312655087,0.0,10.86480073002915,1688515364.358
3928,2103,158,99.25558312655087,0.0,10.86480073002915,1688515365.361
3928,2103,158,99.25558312655087,0.0,10.86480073002915,1688515365.361
4080,2456,118,98.51485148514853,0.0,10.86332253925582,1688515366.363
4080,2456,118,98.51485148514853,0.0,10.86332253925582,1688515366.363
4080,2456,118,98.51485148514853,0.0,10.86332253925582,1688515367.365
4080,2456,118,98.51485148514853,0.0,10.86332253925582,1688515367.365
3968,2297,119,99.75186104218362,0.0,10.870910585225582,1688515368.368
3968,2297,119,99.75186104218362,0.0,10.870910585225582,1688515368.368
3894,2026,159,99.50372208436724,0.0,10.857902506420276,1688515369.371
3894,2026,159,99.50372208436724,0.0,10.857902506420276,1688515369.371
3894,2026,159,99.50372208436724,0.0,10.857902506420276,1688515370.374
3894,2026,159,99.50372208436724,0.0,10.857902506420276,1688515370.374
4343,2566,118,99.50248756218906,0.0,10.871501861534917,1688515371.377
4343,2566,118,99.50248756218906,0.0,10.871501861534917,1688515371.377
4343,2566,118,99.50248756218906,0.0,10.871501861534917,1688515372.38
4343,2566,118,99.50248756218906,0.0,10.871501861534917,1688515372.38
3968,2182,198,99.5049504950495,0.0,10.888156144247768,1688515373.382
3968,2182,198,99.5049504950495,0.0,10.888156144247768,1688515373.382
3968,2182,198,99.5049504950495,0.0,10.888156144247768,1688515374.385
3968,2182,198,99.5049504950495,0.0,10.888156144247768,1688515374.385
3855,2142,119,99.25373134328358,0.0,10.890422703433542,1688515375.389
3855,2142,119,99.25373134328358,0.0,10.890422703433542,1688515375.389
4007,2337,119,99.50372208436724,0.0,10.87899136145312,1688515376.392
4007,2337,119,99.50372208436724,0.0,10.87899136145312,1688515376.392
4007,2337,119,99.50372208436724,0.0,10.87899136145312,1688515377.394
4007,2337,119,99.50372208436724,0.0,10.87899136145312,1688515377.394
3968,2452,118,99.75186104218362,0.0,10.87514806544246,1688515378.397
3968,2452,118,99.75186104218362,0.0,10.87514806544246,1688515378.397
3968,2452,118,99.75186104218362,0.0,10.87514806544246,1688515379.4
3968,2452,118,99.75186104218362,0.0,10.87514806544246,1688515379.4
3968,2182,119,99.26108374384236,0.0,10.8785971772469,1688515380.403
3968,2182,119,99.26108374384236,0.0,10.8785971772469,1688515380.403
3968,2182,119,99.26108374384236,0.0,10.8785971772469,1688515381.406
3968,2182,119,99.26108374384236,0.0,10.8785971772469,1688515381.406
3855,2142,119,99.75186104218362,0.0,10.876330618061129,1688515382.409
3855,2142,119,99.75186104218362,0.0,10.876330618061129,1688515382.409
3928,2103,158,99.501246882793,11.0,10.88855032845399,1688515383.412
3928,2103,158,99.501246882793,11.0,10.88855032845399,1688515383.412
3928,2103,158,99.501246882793,11.0,10.88855032845399,1688515384.414
3928,2103,158,99.501246882793,11.0,10.88855032845399,1688515384.414
3968,2182,119,100.0,0.0,10.884707032443332,1688515385.417
3968,2182,119,100.0,0.0,10.884707032443332,1688515385.417
3968,2182,119,100.0,0.0,10.884707032443332,1688515386.42
3968,2182,119,100.0,0.0,10.884707032443332,1688515386.42
3888,2142,119,99.0074441687345,0.0,10.861745802430937,1688515387.422
3888,2142,119,99.0074441687345,0.0,10.861745802430937,1688515387.422
3888,2142,119,99.0074441687345,0.0,10.861745802430937,1688515388.425
3888,2142,119,99.0074441687345,0.0,10.861745802430937,1688515388.425
3894,2182,158,99.75124378109452,0.0,10.876232072009572,1688515389.428
3894,2182,158,99.75124378109452,0.0,10.876232072009572,1688515389.428
4232,2531,118,99.50372208436724,0.0,10.864406545822929,1688515390.431
4232,2531,118,99.50372208436724,0.0,10.864406545822929,1688515390.431
4232,2531,118,99.50372208436724,0.0,10.864406545822929,1688515391.434
4232,2531,118,99.50372208436724,0.0,10.864406545822929,1688515391.434
4159,2566,118,99.25742574257426,0.0,10.876232072009572,1688515392.436
4159,2566,118,99.25742574257426,0.0,10.876232072009572,1688515392.436
4159,2566,118,99.25742574257426,0.0,10.876232072009572,1688515393.439
4159,2566,118,99.25742574257426,0.0,10.876232072009572,1688515393.439
4007,2297,119,98.76237623762376,0.0,10.867067289214924,1688515394.442
4007,2297,119,98.76237623762376,0.0,10.867067289214924,1688515394.442
4007,2297,119,98.76237623762376,0.0,10.867067289214924,1688515395.445
4007,2297,119,98.76237623762376,0.0,10.867067289214924,1688515395.445
4192,2376,118,99.5049504950495,0.0,10.85987342745138,1688515396.448
4192,2376,118,99.5049504950495,0.0,10.85987342745138,1688515396.448
3815,2106,119,99.0074441687345,0.0,10.87514806544246,1688515397.451
3815,2106,119,99.0074441687345,0.0,10.87514806544246,1688515397.451
3815,2106,119,99.0074441687345,0.0,10.87514806544246,1688515398.454
3815,2106,119,99.0074441687345,0.0,10.87514806544246,1688515398.454
4159,2531,118,99.25558312655087,0.0,10.872980052308243,1688515399.457
4159,2531,118,99.25558312655087,0.0,10.872980052308243,1688515399.457
4159,2531,118,99.25558312655087,0.0,10.872980052308243,1688515400.46
4159,2531,118,99.25558312655087,0.0,10.872980052308243,1688515400.46
3974,2376,119,100.0,0.0,10.879089907504676,1688515401.463
3974,2376,119,100.0,0.0,10.879089907504676,1688515401.463
3974,2376,119,100.0,0.0,10.879089907504676,1688515402.466
3974,2376,119,100.0,0.0,10.879089907504676,1688515402.466
3815,2337,119,99.0074441687345,0.0,10.858099598523388,1688515403.469
3815,2337,119,99.0074441687345,0.0,10.858099598523388,1688515403.469
3894,2222,119,99.75186104218362,0.0,10.87564079570024,1688515404.472
3894,2222,119,99.75186104218362,0.0,10.87564079570024,1688515404.472
3894,2222,119,99.75186104218362,0.0,10.87564079570024,1688515405.474
3894,2222,119,99.75186104218362,0.0,10.87564079570024,1688515405.474
4040,2376,118,99.00249376558602,0.0,10.844697335511858,1688515406.477
4040,2376,118,99.00249376558602,0.0,10.844697335511858,1688515406.477
4040,2376,118,99.00249376558602,0.0,10.844697335511858,1688515407.48
4040,2376,118,99.00249376558602,0.0,10.844697335511858,1688515407.48
4007,2142,158,100.0,3.4,10.840164217140313,1688515408.483
4007,2142,158,100.0,3.4,10.840164217140313,1688515408.483
4007,2142,158,100.0,3.4,10.840164217140313,1688515409.486
4007,2142,158,100.0,3.4,10.840164217140313,1688515409.486
4192,2566,118,99.50248756218906,0.0,10.846668256542966,1688515410.489
4192,2566,118,99.50248756218906,0.0,10.846668256542966,1688515410.489
3888,2491,118,99.25373134328358,0.0,10.865687644493148,1688515411.491
3888,2491,118,99.25373134328358,0.0,10.865687644493148,1688515411.491
3888,2491,118,99.25373134328358,0.0,10.865687644493148,1688515412.494
3888,2491,118,99.25373134328358,0.0,10.865687644493148,1688515412.494
4192,2337,118,99.50372208436724,0.0,10.858099598523388,1688515413.497
4192,2337,118,99.50372208436724,0.0,10.858099598523388,1688515413.497
4192,2337,118,99.50372208436724,0.0,10.858099598523388,1688515414.501
4192,2337,118,99.50372208436724,0.0,10.858099598523388,1688515414.501
4001,2142,119,99.75247524752476,0.0,10.8565228616985,1688515415.503
4001,2142,119,99.75247524752476,0.0,10.8565228616985,1688515415.503
4001,2142,119,99.75247524752476,0.0,10.8565228616985,1688515416.505
4001,2142,119,99.75247524752476,0.0,10.8565228616985,1688515416.505
3921,2222,118,99.0074441687345,0.0,10.845387157872745,1688515417.508
3921,2222,118,99.0074441687345,0.0,10.845387157872745,1688515417.508
3921,2222,118,99.0074441687345,0.0,10.845387157872745,1688515418.511
3921,2222,118,99.0074441687345,0.0,10.845387157872745,1688515418.511
3894,2258,119,100.0,0.0,10.853073749894063,1688515419.514
3894,2258,119,100.0,0.0,10.853073749894063,1688515419.514
4232,2452,118,99.25558312655087,0.0,10.856917045904725,1688515420.517
4232,2452,118,99.25558312655087,0.0,10.856917045904725,1688515420.517
4232,2452,118,99.25558312655087,0.0,10.856917045904725,1688515421.522
4232,2452,118,99.25558312655087,0.0,10.856917045904725,1688515421.522
4120,2601,118,99.75124378109452,0.0,10.844795881563414,1688515422.525
4120,2601,118,99.75124378109452,0.0,10.844795881563414,1688515422.525
4120,2601,118,99.75124378109452,0.0,10.844795881563414,1688515423.528
4120,2601,118,99.75124378109452,0.0,10.844795881563414,1688515423.528
3894,2487,119,99.25558312655087,0.0,10.849821730192737,1688515424.531
3894,2487,119,99.25558312655087,0.0,10.849821730192737,1688515424.531
3894,2487,119,99.25558312655087,0.0,10.849821730192737,1688515425.534
3894,2487,119,99.25558312655087,0.0,10.849821730192737,1688515425.534
3934,2026,158,99.75186104218362,0.0,10.860464703760714,1688515426.537
3934,2026,158,99.75186104218362,0.0,10.860464703760714,1688515426.537
4120,2491,118,99.75124378109452,0.0,10.85248247358473,1688515427.54
4120,2491,118,99.75124378109452,0.0,10.85248247358473,1688515427.54
4120,2491,118,99.75124378109452,0.0,10.85248247358473,1688515428.543
4120,2491,118,99.75124378109452,0.0,10.85248247358473,1688515428.543
3968,2333,118,99.25558312655087,0.0,10.8620414405856,1688515429.546
3968,2333,118,99.25558312655087,0.0,10.8620414405856,1688515429.546
3968,2333,118,99.25558312655087,0.0,10.8620414405856,1688515430.548
3968,2333,118,99.25558312655087,0.0,10.8620414405856,1688515430.548
3855,2258,158,99.50372208436724,0.0,10.861253072173158,1688515431.55
3855,2258,158,99.50372208436724,0.0,10.861253072173158,1688515431.55
3855,2258,158,99.50372208436724,0.0,10.861253072173158,1688515432.552
3855,2258,158,99.50372208436724,0.0,10.861253072173158,1688515432.552
4001,2491,118,99.50372208436724,0.0,10.863913815565152,1688515433.555
4001,2491,118,99.50372208436724,0.0,10.863913815565152,1688515433.555
4007,2254,119,99.0074441687345,0.0,10.84765371705852,1688515434.558
4007,2254,119,99.0074441687345,0.0,10.84765371705852,1688515434.558
4007,2254,119,99.0074441687345,0.0,10.84765371705852,1688515435.56
4007,2254,119,99.0074441687345,0.0,10.84765371705852,1688515435.56
4080,2531,118,99.50248756218906,0.0,10.851891197275398,1688515436.563
4080,2531,118,99.50248756218906,0.0,10.851891197275398,1688515436.563
4080,2531,118,99.50248756218906,0.0,10.851891197275398,1688515437.565
4080,2531,118,99.50248756218906,0.0,10.851891197275398,1688515437.565
4232,2641,118,99.501246882793,0.0,10.854157756461172,1688515438.568
4232,2641,118,99.501246882793,0.0,10.854157756461172,1688515438.568
4232,2641,118,99.501246882793,0.0,10.854157756461172,1688515439.571
4232,2641,118,99.501246882793,0.0,10.854157756461172,1688515439.571
3894,2142,119,99.009900990099,0.0,10.843120598686973,1688515440.574
3894,2142,119,99.009900990099,0.0,10.843120598686973,1688515440.574
4080,2373,118,99.501246882793,0.0,10.833561631686104,1688515441.577
4080,2373,118,99.501246882793,0.0,10.833561631686104,1688515441.577
4080,2373,118,99.501246882793,0.0,10.833561631686104,1688515442.579
4080,2373,118,99.501246882793,0.0,10.833561631686104,1688515442.579
3968,2452,118,99.0074441687345,0.0,10.849230453883404,1688515443.582
3968,2452,118,99.0074441687345,0.0,10.849230453883404,1688515443.582
3968,2452,118,99.0074441687345,0.0,10.849230453883404,1688515444.584
3968,2452,118,99.0074441687345,0.0,10.849230453883404,1688515444.584
3928,2487,118,98.75930521091811,0.0,10.84824499336785,1688515445.587
3928,2487,118,98.75930521091811,0.0,10.84824499336785,1688515445.587
3928,2487,118,98.75930521091811,0.0,10.84824499336785,1688515446.589
3928,2487,118,98.75930521091811,0.0,10.84824499336785,1688515446.589
4232,2452,157,99.75124378109452,0.0,10.84785080916163,1688515447.592
4232,2452,157,99.75124378109452,0.0,10.84785080916163,1688515447.592
4080,2452,118,99.009900990099,0.0,10.839474394779424,1688515448.594
4080,2452,118,99.009900990099,0.0,10.839474394779424,1688515448.594
4080,2452,118,99.009900990099,0.0,10.839474394779424,1688515449.595
4080,2452,118,99.009900990099,0.0,10.839474394779424,1688515449.595
3815,2222,119,98.76237623762376,0.0,10.854354848564284,1688515450.598
3815,2222,119,98.76237623762376,0.0,10.854354848564284,1688515450.598
3968,2222,119,99.50248756218906,0.0,10.851299920966069,1688515451.6
3968,2222,119,99.50248756218906,0.0,10.851299920966069,1688515451.6
3968,2222,119,99.50248756218906,0.0,10.851299920966069,1688515452.603
3968,2222,119,99.50248756218906,0.0,10.851299920966069,1688515452.603
3781,2030,119,99.50372208436724,0.0,10.844795881563414,1688515453.605
3781,2030,119,99.50372208436724,0.0,10.844795881563414,1688515453.605
3781,2030,119,99.50372208436724,0.0,10.844795881563414,1688515454.608
