energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4080,2258,119,100.0,0.0,12.840747609765518,1688506948.753
4080,2258,119,100.0,0.0,12.840747609765518,1688506948.753
4192,2601,118,99.50372208436724,0.0,12.841930162384182,1688506949.756
4192,2601,118,99.50372208436724,0.0,12.841930162384182,1688506949.756
4192,2601,118,99.50372208436724,0.0,12.841930162384182,1688506950.759
4192,2601,118,99.50372208436724,0.0,12.841930162384182,1688506950.759
4047,2218,119,99.25558312655087,0.0,12.83522903087842,1688506951.762
4047,2218,119,99.25558312655087,0.0,12.83522903087842,1688506951.762
4047,2218,119,99.25558312655087,0.0,12.83522903087842,1688506952.765
4047,2218,119,99.25558312655087,0.0,12.83522903087842,1688506952.765
3928,2218,119,99.5049504950495,0.0,12.829907544094432,1688506953.768
3928,2218,119,99.5049504950495,0.0,12.829907544094432,1688506953.768
4007,2103,119,98.76237623762376,0.0,12.84370399131218,1688506954.771
4007,2103,119,98.76237623762376,0.0,12.84370399131218,1688506954.771
4007,2103,119,98.76237623762376,0.0,12.84370399131218,1688506955.774
4007,2103,119,98.76237623762376,0.0,12.84370399131218,1688506955.774
4080,2218,118,99.50248756218906,0.0,12.844787997879289,1688506956.776
4080,2218,118,99.50248756218906,0.0,12.844787997879289,1688506956.776
4080,2218,118,99.50248756218906,0.0,12.844787997879289,1688506957.779
4080,2218,118,99.50248756218906,0.0,12.844787997879289,1688506957.779
4040,2254,158,99.009900990099,0.0,12.826458432289996,1688506958.782
4040,2254,158,99.009900990099,0.0,12.826458432289996,1688506958.782
4040,2254,158,99.009900990099,0.0,12.826458432289996,1688506959.785
4040,2254,158,99.009900990099,0.0,12.826458432289996,1688506959.785
4232,2527,118,99.75369458128078,0.0,12.851292037281942,1688506960.788
4232,2527,118,99.75369458128078,0.0,12.851292037281942,1688506960.788
3968,2218,119,99.50372208436724,0.0,12.839860695301525,1688506961.79
3968,2218,119,99.50372208436724,0.0,12.839860695301525,1688506961.79
3968,2218,119,99.50372208436724,0.0,12.839860695301525,1688506962.792
3968,2218,119,99.50372208436724,0.0,12.839860695301525,1688506962.792
4120,2218,158,98.76237623762376,0.0,12.83355374800198,1688506963.795
4120,2218,158,98.76237623762376,0.0,12.83355374800198,1688506963.795
4120,2218,158,98.76237623762376,0.0,12.83355374800198,1688506964.797
4120,2218,158,98.76237623762376,0.0,12.83355374800198,1688506964.797
4225,2333,118,99.0,0.0,12.844196721569956,1688506965.8
4225,2333,118,99.0,0.0,12.844196721569956,1688506965.8
4225,2333,118,99.0,0.0,12.844196721569956,1688506966.801
4225,2333,118,99.0,0.0,12.844196721569956,1688506966.801
4040,2103,198,99.75308641975307,3.4,12.841535978177962,1688506967.803
4040,2103,198,99.75308641975307,3.4,12.841535978177962,1688506967.803
3961,2448,118,99.75124378109452,0.0,12.848138563632173,1688506968.804
3961,2448,118,99.75124378109452,0.0,12.848138563632173,1688506968.804
3961,2448,118,99.75124378109452,0.0,12.848138563632173,1688506969.806
3961,2448,118,99.75124378109452,0.0,12.848138563632173,1688506969.806
4120,2139,198,98.51485148514853,1.8,12.84350689920907,1688506970.808
4120,2139,198,98.51485148514853,1.8,12.84350689920907,1688506970.808
4120,2139,198,98.51485148514853,1.8,12.84350689920907,1688506971.809
4120,2139,198,98.51485148514853,1.8,12.84350689920907,1688506971.809
4152,2333,118,99.75308641975307,0.0,12.831287188816209,1688506972.811
4152,2333,118,99.75308641975307,0.0,12.831287188816209,1688506972.811
4152,2333,118,99.75308641975307,0.0,12.831287188816209,1688506973.812
4152,2333,118,99.75308641975307,0.0,12.831287188816209,1688506973.812
4001,2218,118,99.5049504950495,0.0,12.83355374800198,1688506974.813
4001,2218,118,99.5049504950495,0.0,12.83355374800198,1688506974.813
4001,2103,119,99.5085995085995,0.0,12.821531129712229,1688506975.816
4001,2103,119,99.5085995085995,0.0,12.821531129712229,1688506975.816
4001,2103,119,99.5085995085995,0.0,12.821531129712229,1688506976.819
4001,2103,119,99.5085995085995,0.0,12.821531129712229,1688506976.819
3961,2139,119,99.50248756218906,0.0,12.8394665110953,1688506977.822
3961,2139,119,99.50248756218906,0.0,12.8394665110953,1688506977.822
3961,2139,119,99.50248756218906,0.0,12.8394665110953,1688506978.825
3961,2139,119,99.50248756218906,0.0,12.8394665110953,1688506978.825
3994,2132,118,99.25373134328358,0.0,12.833356655898868,1688506979.827
3994,2132,118,99.25373134328358,0.0,12.833356655898868,1688506979.827
3994,2132,118,99.25373134328358,0.0,12.833356655898868,1688506980.829
3994,2132,118,99.25373134328358,0.0,12.833356655898868,1688506980.829
4232,2448,157,99.75062344139651,0.0,12.845970550497954,1688506981.832
4232,2448,157,99.75062344139651,0.0,12.845970550497954,1688506981.832
3928,2063,119,99.009900990099,0.0,12.828035169114878,1688506982.834
3928,2063,119,99.009900990099,0.0,12.828035169114878,1688506982.834
3928,2063,119,99.009900990099,0.0,12.828035169114878,1688506983.837
3928,2063,119,99.009900990099,0.0,12.828035169114878,1688506983.837
4304,2562,118,99.5049504950495,0.0,12.841733070281071,1688506984.84
4304,2562,118,99.5049504950495,0.0,12.841733070281071,1688506984.84
4304,2562,118,99.5049504950495,0.0,12.841733070281071,1688506985.842
4304,2562,118,99.5049504950495,0.0,12.841733070281071,1688506985.842
3888,2103,158,99.75247524752476,0.0,12.849419662302392,1688506986.844
3888,2103,158,99.75247524752476,0.0,12.849419662302392,1688506986.844
3888,2103,158,99.75247524752476,0.0,12.849419662302392,1688506987.847
3888,2103,158,99.75247524752476,0.0,12.849419662302392,1688506987.847
4001,2487,118,99.75247524752476,0.0,12.836017399290863,1688506988.849
4001,2487,118,99.75247524752476,0.0,12.836017399290863,1688506988.849
3961,2103,198,99.25373134328358,0.0,12.840747609765518,1688506989.852
3961,2103,198,99.25373134328358,0.0,12.840747609765518,1688506989.852
3961,2103,198,99.25373134328358,0.0,12.840747609765518,1688506990.855
3961,2103,198,99.25373134328358,0.0,12.840747609765518,1688506990.855
4113,2483,118,99.50248756218906,0.0,12.830104636197545,1688506991.858
4113,2483,118,99.50248756218906,0.0,12.830104636197545,1688506991.858
4113,2483,118,99.50248756218906,0.0,12.830104636197545,1688506992.86
4113,2483,118,99.50248756218906,0.0,12.830104636197545,1688506992.86
4007,2103,119,99.50372208436724,0.0,12.841535978177962,1688506993.863
4007,2103,119,99.50372208436724,0.0,12.841535978177962,1688506993.863
4007,2103,119,99.50372208436724,0.0,12.841535978177962,1688506994.866
4007,2103,119,99.50372208436724,0.0,12.841535978177962,1688506994.866
3928,2254,119,99.75308641975307,0.0,12.830104636197545,1688506995.869
3928,2254,119,99.75308641975307,0.0,12.830104636197545,1688506995.869
3928,2258,119,99.00497512437812,0.0,12.82971045199132,1688506996.872
3928,2258,119,99.00497512437812,0.0,12.82971045199132,1688506996.872
3928,2258,119,99.00497512437812,0.0,12.82971045199132,1688506997.875
3928,2258,119,99.00497512437812,0.0,12.82971045199132,1688506997.875
