energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3787,1950,119,99.50372208436724,0.0,18.14489028868081,1688517208.772
3787,1950,119,99.50372208436724,0.0,18.14489028868081,1688517208.772
3787,1950,119,99.50372208436724,0.0,18.14489028868081,1688517209.775
3787,1950,119,99.50372208436724,0.0,18.14489028868081,1688517209.775
3934,2146,119,99.5049504950495,0.0,18.148733584691463,1688517210.778
3934,2146,119,99.5049504950495,0.0,18.148733584691463,1688517210.778
3934,2146,119,99.5049504950495,0.0,18.148733584691463,1688517211.78
3934,2146,119,99.5049504950495,0.0,18.148733584691463,1688517211.78
3861,2222,119,99.75247524752476,0.0,18.14075135451548,1688517212.782
3861,2222,119,99.75247524752476,0.0,18.14075135451548,1688517212.782
4238,2610,157,99.75247524752476,0.0,18.134641499319045,1688517213.785
4238,2610,157,99.75247524752476,0.0,18.134641499319045,1688517213.785
4238,2610,157,99.75247524752476,0.0,18.134641499319045,1688517214.788
4238,2610,157,99.75247524752476,0.0,18.134641499319045,1688517214.788
4541,2720,118,99.75308641975307,0.0,18.13365603880349,1688517215.791
4541,2720,118,99.75308641975307,0.0,18.13365603880349,1688517215.791
4541,2720,118,99.75308641975307,0.0,18.13365603880349,1688517216.794
4541,2720,118,99.75308641975307,0.0,18.13365603880349,1688517216.794
3940,2258,159,99.75247524752476,0.0,18.156814360919,1688517217.796
3940,2258,159,99.75247524752476,0.0,18.156814360919,1688517217.796
3940,2258,159,99.75247524752476,0.0,18.156814360919,1688517218.8
3940,2258,159,99.75247524752476,0.0,18.156814360919,1688517218.8
4014,2301,119,99.00497512437812,0.0,18.15070450572257,1688517219.802
4014,2301,119,99.00497512437812,0.0,18.15070450572257,1688517219.802
4014,2301,119,99.00497512437812,0.0,18.15070450572257,1688517220.804
4014,2301,119,99.00497512437812,0.0,18.15070450572257,1688517220.804
3901,1990,119,99.50248756218906,0.0,18.14380628211369,1688517221.806
3901,1990,119,99.50248756218906,0.0,18.14380628211369,1688517221.806
4199,2720,118,99.5049504950495,0.0,18.14153972292792,1688517222.808
4199,2720,118,99.5049504950495,0.0,18.14153972292792,1688517222.808
4199,2720,118,99.5049504950495,0.0,18.14153972292792,1688517223.81
4199,2720,118,99.5049504950495,0.0,18.14153972292792,1688517223.81
4093,2222,119,99.25558312655087,0.0,18.147255393918133,1688517224.813
