energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3750,1892,41,28.179551122194518,0.0,36.447221250449616,1699902288.872
3750,1892,41,28.179551122194518,0.0,36.447221250449616,1699902288.872
3750,1892,41,28.179551122194518,0.0,36.447221250449616,1699902289.875
3750,1892,41,28.179551122194518,0.0,36.447221250449616,1699902289.875
3791,1769,123,28.21158690176322,0.0,36.45106454267286,1699902290.878
3791,1769,123,28.21158690176322,0.0,36.45106454267286,1699902290.878
3668,1769,41,28.57142857142857,0.0,36.45155727244507,1699902291.88
3668,1769,41,28.57142857142857,0.0,36.45155727244507,1699902291.88
3668,1769,41,28.57142857142857,0.0,36.45155727244507,1699902292.882
3668,1769,41,28.57142857142857,0.0,36.45155727244507,1699902292.882
3709,1810,82,28.927680798004985,0.0,36.45165581839952,1699902293.885
3709,1810,82,28.927680798004985,0.0,36.45165581839952,1699902293.885
3709,1810,41,28.784119106699755,0.0,36.45392237535169,1699902294.888
3709,1810,41,28.784119106699755,0.0,36.45392237535169,1699902294.888
3709,1810,41,28.784119106699755,0.0,36.45392237535169,1699902295.89
3709,1810,41,28.784119106699755,0.0,36.45392237535169,1699902295.89
3750,1851,41,27.930174563591027,0.0,36.44731979640406,1699902296.893
3750,1851,41,27.930174563591027,0.0,36.44731979640406,1699902296.893
3833,1810,164,27.68079800498753,0.0,36.44889653167513,1699902297.896
3833,1810,164,27.68079800498753,0.0,36.44889653167513,1699902297.896
3709,1851,41,27.455919395466,0.0,36.445447423269655,1699902298.898
3709,1851,41,27.455919395466,0.0,36.445447423269655,1699902298.898
3709,1851,41,27.455919395466,0.0,36.445447423269655,1699902299.9
3709,1851,41,27.455919395466,0.0,36.445447423269655,1699902299.9
3750,1851,82,28.03970223325062,0.0,36.45352819153392,1699902300.902
3750,1851,82,28.03970223325062,0.0,36.45352819153392,1699902300.902
3709,1810,82,27.611940298507463,0.0,36.4474183423585,1699902301.905
3709,1810,82,27.611940298507463,0.0,36.4474183423585,1699902301.905
3709,1810,82,27.611940298507463,0.0,36.4474183423585,1699902302.907
3709,1810,82,27.611940298507463,0.0,36.4474183423585,1699902302.907
3709,1851,41,27.500000000000004,0.0,36.4443634177708,1699902303.909
3709,1851,41,27.500000000000004,0.0,36.4443634177708,1699902303.909
3874,1851,164,27.431421446384043,0.0,36.44150558509197,1699902304.911
3874,1851,164,27.431421446384043,0.0,36.44150558509197,1699902304.911
3874,1851,164,27.431421446384043,0.0,36.44150558509197,1699902305.914
3874,1851,164,27.431421446384043,0.0,36.44150558509197,1699902305.914
3709,1851,41,27.135678391959797,0.0,36.43992884982089,1699902306.916
3709,1851,41,27.135678391959797,0.0,36.43992884982089,1699902306.916
3833,1892,123,27.363184079601982,99.7,36.44337795822637,1699902307.919
3833,1892,123,27.363184079601982,99.7,36.44337795822637,1699902307.919
3833,1892,123,27.363184079601982,99.7,36.44337795822637,1699902308.921
