energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4264,2794,157,99.50372208436724,0.0,16.856302118543017,1688521187.322
4264,2794,157,99.50372208436724,0.0,16.856302118543017,1688521187.322
3934,2222,119,100.0,0.0,16.66472859431941,1688521188.324
3934,2222,119,100.0,0.0,16.66472859431941,1688521188.324
3934,2222,119,100.0,0.0,16.66472859431941,1688521189.325
3934,2222,119,100.0,0.0,16.66472859431941,1688521189.325
4199,2641,118,99.25558312655087,0.0,16.688084008538027,1688521190.327
4199,2641,118,99.25558312655087,0.0,16.688084008538027,1688521190.327
4159,2566,118,100.0,0.0,16.67428756132028,1688521191.329
4159,2566,118,100.0,0.0,16.67428756132028,1688521191.329
4159,2566,118,100.0,0.0,16.67428756132028,1688521192.332
4159,2566,118,100.0,0.0,16.67428756132028,1688521192.332
3861,2070,119,99.50617283950616,0.0,16.675075929732724,1688521193.334
3861,2070,119,99.50617283950616,0.0,16.675075929732724,1688521193.334
3861,2070,119,99.50617283950616,0.0,16.675075929732724,1688521194.337
3861,2070,119,99.50617283950616,0.0,16.675075929732724,1688521194.337
3894,2070,119,99.50617283950616,0.0,16.669360258742515,1688521195.34
3894,2070,119,99.50617283950616,0.0,16.669360258742515,1688521195.34
3894,2070,119,99.50617283950616,0.0,16.669360258742515,1688521196.344
3894,2070,119,99.50617283950616,0.0,16.669360258742515,1688521196.344
4383,2641,118,100.0,0.0,16.66512277852563,1688521197.348
4383,2641,118,100.0,0.0,16.66512277852563,1688521197.348
4383,2641,118,100.0,0.0,16.66512277852563,1688521198.351
4383,2641,118,100.0,0.0,16.66512277852563,1688521198.351
3894,2146,119,98.26302729528535,0.0,16.66817770612385,1688521199.354
3894,2146,119,98.26302729528535,0.0,16.66817770612385,1688521199.354
4014,2258,119,99.25742574257426,0.0,16.659210015432315,1688521200.356
4014,2258,119,99.25742574257426,0.0,16.659210015432315,1688521200.356
4014,2258,119,99.25742574257426,0.0,16.659210015432315,1688521201.359
4014,2258,119,99.25742574257426,0.0,16.659210015432315,1688521201.359
4199,2680,118,100.0,0.0,16.649651048431444,1688521202.362
4199,2680,118,100.0,0.0,16.649651048431444,1688521202.362
4199,2680,118,100.0,0.0,16.649651048431444,1688521203.363
4199,2680,118,100.0,0.0,16.649651048431444,1688521203.363
3821,2146,119,100.0,0.0,16.6331938578217,1688521204.365
3821,2146,119,100.0,0.0,16.6331938578217,1688521204.365
3821,2146,119,100.0,0.0,16.6331938578217,1688521205.366
3821,2146,119,100.0,0.0,16.6331938578217,1688521205.366
3821,2106,119,99.50372208436724,0.0,16.639008074863465,1688521206.367
3821,2106,119,99.50372208436724,0.0,16.639008074863465,1688521206.367
4311,2759,118,99.75308641975307,0.0,16.661476574618085,1688521207.368
4311,2759,118,99.75308641975307,0.0,16.661476574618085,1688521207.368
4311,2759,118,99.75308641975307,0.0,16.661476574618085,1688521208.37
4311,2759,118,99.75308641975307,0.0,16.661476574618085,1688521208.37
3934,2146,119,99.50372208436724,0.0,16.652311791823436,1688521209.373
3934,2146,119,99.50372208436724,0.0,16.652311791823436,1688521209.373
3934,2146,119,99.50372208436724,0.0,16.652311791823436,1688521210.376
3934,2146,119,99.50372208436724,0.0,16.652311791823436,1688521210.376
4126,2444,198,99.25558312655087,3.4,16.459358622878057,1688521211.379
4126,2444,198,99.25558312655087,3.4,16.459358622878057,1688521211.379
4126,2444,198,99.25558312655087,3.4,16.459358622878057,1688521212.382
4126,2444,198,99.25558312655087,3.4,16.459358622878057,1688521212.382
3934,2185,119,99.50248756218906,0.0,16.67576575209361,1688521213.385
3934,2185,119,99.50248756218906,0.0,16.67576575209361,1688521213.385
3934,2185,119,99.50248756218906,0.0,16.67576575209361,1688521214.389
3934,2185,119,99.50248756218906,0.0,16.67576575209361,1688521214.389
4311,2676,197,99.5049504950495,10.1,16.680397416516712,1688521215.392
4311,2676,197,99.5049504950495,10.1,16.680397416516712,1688521215.392
3934,2487,118,99.75186104218362,0.0,16.67231664028917,1688521216.394
3934,2487,118,99.75186104218362,0.0,16.67231664028917,1688521216.394
3934,2487,118,99.75186104218362,0.0,16.67231664028917,1688521217.396
3934,2487,118,99.75186104218362,0.0,16.67231664028917,1688521217.396
4007,2222,158,100.0,0.0,16.67152827187673,1688521218.403
4007,2222,158,100.0,0.0,16.67152827187673,1688521218.403
4007,2222,158,100.0,0.0,16.67152827187673,1688521219.406
4007,2222,158,100.0,0.0,16.67152827187673,1688521219.406
4053,2265,119,99.25187032418953,0.0,16.674583199474945,1688521220.408
4053,2265,119,99.25187032418953,0.0,16.674583199474945,1688521220.408
4053,2265,119,99.25187032418953,0.0,16.674583199474945,1688521221.411
4053,2265,119,99.25187032418953,0.0,16.674583199474945,1688521221.411
4014,2182,198,99.75124378109452,3.3,16.66581260088652,1688521222.413
4014,2182,198,99.75124378109452,3.3,16.66581260088652,1688521222.413
3815,2146,119,99.75186104218362,0.0,16.662363489082082,1688521223.416
3815,2146,119,99.75186104218362,0.0,16.662363489082082,1688521223.416
3815,2146,119,99.75186104218362,0.0,16.662363489082082,1688521224.417
3815,2146,119,99.75186104218362,0.0,16.662363489082082,1688521224.417
4053,2106,119,99.75186104218362,0.0,16.678229403382495,1688521225.419
4053,2106,119,99.75186104218362,0.0,16.678229403382495,1688521225.419
4053,2106,119,99.75186104218362,0.0,16.678229403382495,1688521226.422
4053,2106,119,99.75186104218362,0.0,16.678229403382495,1688521226.422
3861,2070,119,99.75124378109452,0.0,16.672513732392286,1688521227.425
3861,2070,119,99.75124378109452,0.0,16.672513732392286,1688521227.425
3861,2070,119,99.75124378109452,0.0,16.672513732392286,1688521228.428
3861,2070,119,99.75124378109452,0.0,16.672513732392286,1688521228.428
3861,2491,119,99.75124378109452,0.0,16.671035541618952,1688521229.431
3861,2491,119,99.75124378109452,0.0,16.671035541618952,1688521229.431
3861,2491,119,99.75124378109452,0.0,16.671035541618952,1688521230.433
3861,2491,119,99.75124378109452,0.0,16.671035541618952,1688521230.433
4271,2301,118,99.5049504950495,0.0,16.677145396815384,1688521231.437
4271,2301,118,99.5049504950495,0.0,16.677145396815384,1688521231.437
4271,2803,118,99.75186104218362,0.0,16.655760903627876,1688521232.44
4271,2803,118,99.75186104218362,0.0,16.655760903627876,1688521232.44
4271,2803,118,99.75186104218362,0.0,16.655760903627876,1688521233.443
4271,2803,118,99.75186104218362,0.0,16.655760903627876,1688521233.443
3928,2408,158,99.5049504950495,3.5,16.60540387128309,1688521234.447
3928,2408,158,99.5049504950495,3.5,16.60540387128309,1688521234.447
3928,2408,158,99.5049504950495,3.5,16.60540387128309,1688521235.45
3928,2408,158,99.5049504950495,3.5,16.60540387128309,1688521235.45
4040,2487,118,99.50248756218906,0.0,16.60303876604576,1688521236.452
4040,2487,118,99.50248756218906,0.0,16.60303876604576,1688521236.452
4040,2487,118,99.50248756218906,0.0,16.60303876604576,1688521237.454
4040,2487,118,99.50248756218906,0.0,16.60303876604576,1688521237.454
3894,2146,119,99.50248756218906,0.0,16.618214857985286,1688521238.458
3894,2146,119,99.50248756218906,0.0,16.618214857985286,1688521238.458
3974,2185,119,99.75186104218362,0.0,16.619298864552395,1688521239.46
3974,2185,119,99.75186104218362,0.0,16.619298864552395,1688521239.46
3974,2185,119,99.75186104218362,0.0,16.619298864552395,1688521240.463
3974,2185,119,99.75186104218362,0.0,16.619298864552395,1688521240.463
3974,2185,119,99.75062344139651,0.0,16.469114681982035,1688521241.467
3974,2185,119,99.75062344139651,0.0,16.469114681982035,1688521241.467
3974,2185,119,99.75062344139651,0.0,16.469114681982035,1688521242.47
3974,2185,119,99.75062344139651,0.0,16.469114681982035,1688521242.47
3934,2106,119,99.0074441687345,0.0,16.668966074536293,1688521243.471
3934,2106,119,99.0074441687345,0.0,16.668966074536293,1688521243.471
3934,2106,119,99.0074441687345,0.0,16.668966074536293,1688521244.473
3934,2106,119,99.0074441687345,0.0,16.668966074536293,1688521244.473
4311,2680,157,99.75247524752476,0.0,16.65861873912298,1688521245.477
4311,2680,157,99.75247524752476,0.0,16.65861873912298,1688521245.477
4238,2759,118,98.51116625310172,0.0,16.459161530774946,1688521246.481
4238,2759,118,98.51116625310172,0.0,16.459161530774946,1688521246.481
4238,2759,118,98.51116625310172,0.0,16.459161530774946,1688521247.484
4238,2759,118,98.51116625310172,0.0,16.459161530774946,1688521247.484
4533,2294,197,99.5049504950495,3.4,16.635460417007472,1688521248.487
4533,2294,197,99.5049504950495,3.4,16.635460417007472,1688521248.487
4533,2294,197,99.5049504950495,3.4,16.635460417007472,1688521249.49
4533,2294,197,99.5049504950495,3.4,16.635460417007472,1688521249.49
3934,2376,119,99.51219512195122,0.0,16.64925686422522,1688521250.493
3934,2376,119,99.51219512195122,0.0,16.64925686422522,1688521250.493
3934,2376,119,99.51219512195122,0.0,16.64925686422522,1688521251.495
3934,2376,119,99.51219512195122,0.0,16.64925686422522,1688521251.495
3888,2452,158,99.50372208436724,0.0,16.647778673451892,1688521252.498
3888,2452,158,99.50372208436724,0.0,16.647778673451892,1688521252.498
3888,2452,158,99.50372208436724,0.0,16.647778673451892,1688521253.501
3888,2452,158,99.50372208436724,0.0,16.647778673451892,1688521253.501
3894,2448,119,99.75186104218362,0.0,16.63930371301813,1688521254.502
3894,2448,119,99.75186104218362,0.0,16.63930371301813,1688521254.502
3855,2333,119,99.75247524752476,0.0,16.474140530611358,1688521255.504
3855,2333,119,99.75247524752476,0.0,16.474140530611358,1688521255.504
3855,2333,119,99.75247524752476,0.0,16.474140530611358,1688521256.508
3855,2333,119,99.75247524752476,0.0,16.474140530611358,1688521256.508
4053,2185,119,99.25742574257426,0.0,16.673991923165616,1688521257.51
4053,2185,119,99.25742574257426,0.0,16.673991923165616,1688521257.51
4053,2185,119,99.25742574257426,0.0,16.673991923165616,1688521258.513
4053,2185,119,99.25742574257426,0.0,16.673991923165616,1688521258.513
4047,2225,119,99.50372208436724,0.0,16.665221324577185,1688521259.515
4047,2225,119,99.50372208436724,0.0,16.665221324577185,1688521259.515
4047,2225,119,99.50372208436724,0.0,16.665221324577185,1688521260.516
4047,2225,119,99.50372208436724,0.0,16.665221324577185,1688521260.516
4159,2759,158,99.75124378109452,0.0,16.606586423901753,1688521261.519
4159,2759,158,99.75124378109452,0.0,16.606586423901753,1688521261.519
3901,2070,119,99.75247524752476,0.0,16.653198706287437,1688521262.52
3901,2070,119,99.75247524752476,0.0,16.653198706287437,1688521262.52
3901,2070,119,99.75247524752476,0.0,16.653198706287437,1688521263.525
3901,2070,119,99.75247524752476,0.0,16.653198706287437,1688521263.525
3821,2066,119,99.501246882793,0.0,16.669261712690957,1688521264.528
3821,2066,119,99.501246882793,0.0,16.669261712690957,1688521264.528
3821,2066,119,99.501246882793,0.0,16.669261712690957,1688521265.53
3821,2066,119,99.501246882793,0.0,16.669261712690957,1688521265.53
3821,2066,119,99.75247524752476,0.0,16.650932147101663,1688521266.532
3821,2066,119,99.75247524752476,0.0,16.650932147101663,1688521266.532
3821,2066,119,99.75247524752476,0.0,16.650932147101663,1688521267.533
3821,2066,119,99.75247524752476,0.0,16.650932147101663,1688521267.533
4120,2373,118,99.75124378109452,0.0,16.662757673288304,1688521268.535
4120,2373,118,99.75124378109452,0.0,16.662757673288304,1688521268.535
4120,2373,118,99.75124378109452,0.0,16.662757673288304,1688521269.539
4120,2373,118,99.75124378109452,0.0,16.662757673288304,1688521269.539
4087,2070,119,99.5049504950495,0.0,16.673105008701615,1688521270.541
4087,2070,119,99.5049504950495,0.0,16.673105008701615,1688521270.541
3861,2030,119,99.75,0.0,16.647483035297224,1688521271.543
3861,2030,119,99.75,0.0,16.647483035297224,1688521271.543
3861,2030,119,99.75,0.0,16.647483035297224,1688521272.545
3861,2030,119,99.75,0.0,16.647483035297224,1688521272.545
4199,2448,118,99.75247524752476,0.0,16.651523423410993,1688521273.548
4199,2448,118,99.75247524752476,0.0,16.651523423410993,1688521273.548
4199,2448,118,99.75247524752476,0.0,16.651523423410993,1688521274.551
4199,2448,118,99.75247524752476,0.0,16.651523423410993,1688521274.551
4192,2759,118,99.50617283950616,0.0,16.658717285174536,1688521275.553
4192,2759,118,99.50617283950616,0.0,16.658717285174536,1688521275.553
4192,2759,118,99.50617283950616,0.0,16.658717285174536,1688521276.557
4192,2759,118,99.50617283950616,0.0,16.658717285174536,1688521276.557
4014,2527,118,99.75247524752476,0.0,16.65950565358698,1688521277.56
4014,2527,118,99.75247524752476,0.0,16.65950565358698,1688521277.56
4383,2799,157,98.26732673267328,0.0,16.672119548186064,1688521278.563
4383,2799,157,98.26732673267328,0.0,16.672119548186064,1688521278.563
4383,2799,157,98.26732673267328,0.0,16.672119548186064,1688521279.566
4383,2799,157,98.26732673267328,0.0,16.672119548186064,1688521279.566
3848,2099,119,99.50738916256158,0.0,16.61791921983062,1688521280.569
3848,2099,119,99.50738916256158,0.0,16.61791921983062,1688521280.569
3848,2099,119,99.50738916256158,0.0,16.61791921983062,1688521281.573
3848,2099,119,99.50738916256158,0.0,16.61791921983062,1688521281.573
3781,2023,119,99.75247524752476,0.0,16.6064878778502,1688521282.576
3781,2023,119,99.75247524752476,0.0,16.6064878778502,1688521282.576
3781,2023,119,99.75247524752476,0.0,16.6064878778502,1688521283.578
3781,2023,119,99.75247524752476,0.0,16.6064878778502,1688521283.578
4007,2261,158,99.75247524752476,0.0,16.611415180427965,1688521284.581
4007,2261,158,99.75247524752476,0.0,16.611415180427965,1688521284.581
4264,2491,118,99.5049504950495,0.0,16.604911141025312,1688521285.584
4264,2491,118,99.5049504950495,0.0,16.604911141025312,1688521285.584
4264,2491,118,99.5049504950495,0.0,16.604911141025312,1688521286.588
4264,2491,118,99.5049504950495,0.0,16.604911141025312,1688521286.588
4218,2566,197,99.0074441687345,0.0,16.609345713345302,1688521287.591
4218,2566,197,99.0074441687345,0.0,16.609345713345302,1688521287.591
4218,2566,197,99.0074441687345,0.0,16.609345713345302,1688521288.594
4218,2566,197,99.0074441687345,0.0,16.609345713345302,1688521288.594
4350,2755,118,99.75186104218362,0.0,16.625014535542604,1688521289.597
4350,2755,118,99.75186104218362,0.0,16.625014535542604,1688521289.597
4087,2711,118,99.50248756218906,0.0,16.605502417334645,1688521290.6
4087,2711,118,99.50248756218906,0.0,16.605502417334645,1688521290.6
4087,2711,118,99.50248756218906,0.0,16.605502417334645,1688521291.603
4087,2711,118,99.50248756218906,0.0,16.605502417334645,1688521291.603
3894,2070,119,99.25742574257426,0.0,16.621565423738165,1688521292.606
3894,2070,119,99.25742574257426,0.0,16.621565423738165,1688521292.606
3894,2070,119,99.25742574257426,0.0,16.621565423738165,1688521293.61
3894,2070,119,99.25742574257426,0.0,16.621565423738165,1688521293.61
3934,2601,118,98.76237623762376,0.0,16.60244748973643,1688521294.613
3934,2601,118,98.76237623762376,0.0,16.60244748973643,1688521294.613
3934,2601,118,98.76237623762376,0.0,16.60244748973643,1688521295.616
3934,2601,118,98.76237623762376,0.0,16.60244748973643,1688521295.616
3974,2261,119,99.5049504950495,0.0,16.60323585814887,1688521296.62
3974,2261,119,99.5049504950495,0.0,16.60323585814887,1688521296.62
3821,2146,119,99.75186104218362,0.0,16.611809364634187,1688521297.624
3821,2146,119,99.75186104218362,0.0,16.611809364634187,1688521297.624
3821,2146,119,99.75186104218362,0.0,16.611809364634187,1688521298.625
3821,2146,119,99.75186104218362,0.0,16.611809364634187,1688521298.625
4007,2715,118,99.50372208436724,0.0,16.615652660644844,1688521299.627
4007,2715,118,99.50372208436724,0.0,16.615652660644844,1688521299.627
4007,2715,118,99.50372208436724,0.0,16.615652660644844,1688521300.63
4007,2715,118,99.50372208436724,0.0,16.615652660644844,1688521300.63
4087,2680,118,99.75247524752476,0.0,16.614864292232404,1688521301.631
4087,2680,118,99.75247524752476,0.0,16.614864292232404,1688521301.631
4087,2680,118,99.75247524752476,0.0,16.614864292232404,1688521302.634
4087,2680,118,99.75247524752476,0.0,16.614864292232404,1688521302.634
3934,2146,119,99.75,0.0,16.61456865407774,1688521303.636
3934,2146,119,99.75,0.0,16.61456865407774,1688521303.636
4113,2680,118,100.0,0.0,16.662462035133636,1688521304.639
4113,2680,118,100.0,0.0,16.662462035133636,1688521304.639
4113,2680,118,100.0,0.0,16.662462035133636,1688521305.644
4113,2680,118,100.0,0.0,16.662462035133636,1688521305.644
3934,2106,119,99.75124378109452,0.0,16.681185784929156,1688521306.646
3934,2106,119,99.75124378109452,0.0,16.681185784929156,1688521306.646
3934,2106,119,99.75124378109452,0.0,16.681185784929156,1688521307.65
3934,2106,119,99.75124378109452,0.0,16.681185784929156,1688521307.65
4126,2222,158,99.25742574257426,9.9,16.646399028730116,1688521308.652
4126,2222,158,99.25742574257426,9.9,16.646399028730116,1688521308.652
4126,2222,158,99.25742574257426,9.9,16.646399028730116,1688521309.654
4126,2222,158,99.25742574257426,9.9,16.646399028730116,1688521309.654
3894,2030,119,99.75186104218362,0.0,16.665516962731854,1688521310.657
3894,2030,119,99.75186104218362,0.0,16.665516962731854,1688521310.657
3934,2185,119,99.50372208436724,0.0,16.672021002134507,1688521311.661
3934,2185,119,99.50372208436724,0.0,16.672021002134507,1688521311.661
3934,2185,119,99.50372208436724,0.0,16.672021002134507,1688521312.664
3934,2185,119,99.50372208436724,0.0,16.672021002134507,1688521312.664
4238,2562,158,99.00497512437812,3.4,16.46182227416694,1688521313.667
4238,2562,158,99.00497512437812,3.4,16.46182227416694,1688521313.667
4238,2562,158,99.00497512437812,3.4,16.46182227416694,1688521314.67
4238,2562,158,99.00497512437812,3.4,16.46182227416694,1688521314.67
3781,1990,119,99.75186104218362,0.0,16.672021002134507,1688521315.673
3781,1990,119,99.75186104218362,0.0,16.672021002134507,1688521315.673
3781,1990,119,99.75186104218362,0.0,16.672021002134507,1688521316.676
3781,1990,119,99.75186104218362,0.0,16.672021002134507,1688521316.676
4007,2337,158,99.75062344139651,3.4,16.6590129233292,1688521317.679
4007,2337,158,99.75062344139651,3.4,16.6590129233292,1688521317.679
4007,2337,158,99.75062344139651,3.4,16.6590129233292,1688521318.682
4007,2337,158,99.75062344139651,3.4,16.6590129233292,1688521318.682
3861,2066,119,99.75124378109452,0.0,16.646004844523894,1688521319.684
3861,2066,119,99.75124378109452,0.0,16.646004844523894,1688521319.684
3974,2026,158,100.0,0.0,16.630336022326595,1688521320.686
3974,2026,158,100.0,0.0,16.630336022326595,1688521320.686
3974,2026,158,100.0,0.0,16.630336022326595,1688521321.687
3974,2026,158,100.0,0.0,16.630336022326595,1688521321.687
4311,2376,118,99.5049504950495,0.0,16.64905977212211,1688521322.691
4311,2376,118,99.5049504950495,0.0,16.64905977212211,1688521322.691
