energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3894,2146.0,158.0,99.75308641975307,0.0,18.87728454384018,1688510390.757
3894,2146.0,158.0,99.75308641975307,0.0,18.87728454384018,1688510390.757
4080,2794.0,118.0,99.25373134328358,0.0,18.8913766292126,1688510391.76
4080,2794.0,118.0,99.25373134328358,0.0,18.8913766292126,1688510391.76
4080,2794.0,118.0,99.25373134328358,0.0,18.8913766292126,1688510392.763
4080,2794.0,118.0,99.25373134328358,0.0,18.8913766292126,1688510392.763
3968,2182.0,158.0,99.75308641975307,10.1,18.87649617542774,1688510393.766
3968,2182.0,158.0,99.75308641975307,10.1,18.87649617542774,1688510393.766
3968,2182.0,158.0,99.75308641975307,10.1,18.87649617542774,1688510394.769
3968,2182.0,158.0,99.75308641975307,10.1,18.87649617542774,1688510394.769
4573,2527.0,118.0,99.75124378109452,0.0,18.89216499762504,1688510395.772
4573,2527.0,118.0,99.75124378109452,0.0,18.89216499762504,1688510395.772
4232,2676.0,197.0,99.75124378109452,0.0,18.89275627393437,1688510396.775
4232,2676.0,197.0,99.75124378109452,0.0,18.89275627393437,1688510396.775
4232,2676.0,197.0,99.75124378109452,0.0,18.89275627393437,1688510397.778
4232,2676.0,197.0,99.75124378109452,0.0,18.89275627393437,1688510397.778
3855,2066.0,119.0,98.75621890547264,0.0,18.879748195129064,1688510398.781
3855,2066.0,119.0,98.75621890547264,0.0,18.879748195129064,1688510398.781
3855,2066.0,119.0,98.75621890547264,0.0,18.879748195129064,1688510399.784
3855,2066.0,119.0,98.75621890547264,0.0,18.879748195129064,1688510399.784
4264,2676.0,118.0,100.0,0.0,18.883591491139725,1688510400.787
4264,2676.0,118.0,100.0,0.0,18.883591491139725,1688510400.787
4264,2676.0,118.0,100.0,0.0,18.883591491139725,1688510401.79
4264,2676.0,118.0,100.0,0.0,18.883591491139725,1688510401.79
4087,2142.0,158.0,99.75308641975307,0.0,18.87442670834508,1688510402.793
4087,2142.0,158.0,99.75308641975307,0.0,18.87442670834508,1688510402.793
4087,2142.0,158.0,99.75308641975307,0.0,18.87442670834508,1688510403.796
