energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4469,2301,119,99.75247524752476,0.0,16.595155081921334,1688521545.2
4469,2301,119,99.75247524752476,0.0,16.595155081921334,1688521545.2
3781,2070,119,98.75930521091811,0.0,16.592494338529338,1688521546.202
3781,2070,119,98.75930521091811,0.0,16.592494338529338,1688521546.202
3781,2070,119,98.75930521091811,0.0,16.592494338529338,1688521547.204
3781,2070,119,98.75930521091811,0.0,16.592494338529338,1688521547.204
3861,2070,119,99.5049504950495,0.0,16.59436671350889,1688521548.206
3861,2070,119,99.5049504950495,0.0,16.59436671350889,1688521548.206
3861,2070,119,99.5049504950495,0.0,16.59436671350889,1688521549.209
3861,2070,119,99.5049504950495,0.0,16.59436671350889,1688521549.209
4053,2146,119,99.75124378109452,0.0,16.600673660808432,1688521550.212
4053,2146,119,99.75124378109452,0.0,16.600673660808432,1688521550.212
4053,2146,119,99.75124378109452,0.0,16.600673660808432,1688521551.214
4053,2146,119,99.75124378109452,0.0,16.600673660808432,1688521551.214
3821,2146,158,99.5049504950495,0.0,16.58569466097202,1688521552.216
3821,2146,158,99.5049504950495,0.0,16.58569466097202,1688521552.216
4238,2341,119,100.0,0.0,16.607177700211086,1688521553.218
4238,2341,119,100.0,0.0,16.607177700211086,1688521553.218
4238,2341,119,100.0,0.0,16.607177700211086,1688521554.221
4238,2341,119,100.0,0.0,16.607177700211086,1688521554.221
4541,2606,197,99.5049504950495,9.9,16.59880128582888,1688521555.222
4541,2606,197,99.5049504950495,9.9,16.59880128582888,1688521555.222
4541,2606,197,99.5049504950495,9.9,16.59880128582888,1688521556.223
4541,2606,197,99.5049504950495,9.9,16.59880128582888,1688521556.223
3855,2376,118,99.25558312655087,0.0,16.601067845014654,1688521557.224
3855,2376,118,99.25558312655087,0.0,16.601067845014654,1688521557.224
3855,2376,118,99.25558312655087,0.0,16.601067845014654,1688521558.226
3855,2376,118,99.25558312655087,0.0,16.601067845014654,1688521558.226
3894,2146,119,98.26302729528535,0.0,16.588848134621788,1688521559.228
3894,2146,119,98.26302729528535,0.0,16.588848134621788,1688521559.228
3894,2146,119,98.26302729528535,0.0,16.588848134621788,1688521560.23
3894,2146,119,98.26302729528535,0.0,16.588848134621788,1688521560.23
3821,2070,119,99.50372208436724,6.7,16.593282706941782,1688521561.234
3821,2070,119,99.50372208436724,6.7,16.593282706941782,1688521561.234
4080,2641,118,98.51116625310172,0.0,16.600870752911543,1688521562.237
4080,2641,118,98.51116625310172,0.0,16.600870752911543,1688521562.237
4080,2641,118,98.51116625310172,0.0,16.600870752911543,1688521563.24
4080,2641,118,98.51116625310172,0.0,16.600870752911543,1688521563.24
4087,2294,118,99.50372208436724,0.0,16.638318252502575,1688521564.243
4087,2294,118,99.50372208436724,0.0,16.638318252502575,1688521564.243
4087,2294,118,99.50372208436724,0.0,16.638318252502575,1688521565.245
4087,2294,118,99.50372208436724,0.0,16.638318252502575,1688521565.245
3821,2030,119,99.25742574257426,0.0,16.63486914069814,1688521566.248
3821,2030,119,99.25742574257426,0.0,16.63486914069814,1688521566.248
3821,2030,119,99.25742574257426,0.0,16.63486914069814,1688521567.25
3821,2030,119,99.25742574257426,0.0,16.63486914069814,1688521567.25
3821,2103,119,99.50248756218906,0.0,16.63674151567769,1688521568.254
3821,2103,119,99.50248756218906,0.0,16.63674151567769,1688521568.254
4001,2416,118,99.75247524752476,0.0,16.649355410276776,1688521569.255
4001,2416,118,99.75247524752476,0.0,16.649355410276776,1688521569.255
4001,2416,118,99.75247524752476,0.0,16.649355410276776,1688521570.256
4001,2416,118,99.75247524752476,0.0,16.649355410276776,1688521570.256
4429,2416,118,99.75124378109452,0.0,16.82999032277774,1688521571.257
4429,2416,118,99.75124378109452,0.0,16.82999032277774,1688521571.257
4429,2416,118,99.75124378109452,0.0,16.82999032277774,1688521572.258
4429,2416,118,99.75124378109452,0.0,16.82999032277774,1688521572.258
4199,2759,118,99.75062344139651,0.0,16.594563805612,1688521573.259
4199,2759,118,99.75062344139651,0.0,16.594563805612,1688521573.259
4199,2759,118,99.75062344139651,0.0,16.594563805612,1688521574.261
4199,2759,118,99.75062344139651,0.0,16.594563805612,1688521574.261
4087,2527,118,99.25558312655087,0.0,16.596731818746218,1688521575.264
4087,2527,118,99.25558312655087,0.0,16.596731818746218,1688521575.264
4120,2448,118,99.50372208436724,0.0,16.582639733373803,1688521576.266
4120,2448,118,99.50372208436724,0.0,16.582639733373803,1688521576.266
4120,2448,118,99.50372208436724,0.0,16.582639733373803,1688521577.269
4120,2448,118,99.50372208436724,0.0,16.582639733373803,1688521577.269
3888,2142,198,98.26732673267328,0.0,16.58224554916758,1688521578.271
3888,2142,198,98.26732673267328,0.0,16.58224554916758,1688521578.271
3888,2142,198,98.26732673267328,0.0,16.58224554916758,1688521579.272
3888,2142,198,98.26732673267328,0.0,16.58224554916758,1688521579.272
3901,2146,119,99.75308641975307,0.0,16.587271397796904,1688521580.273
3901,2146,119,99.75308641975307,0.0,16.587271397796904,1688521580.273
3901,2146,119,99.75308641975307,0.0,16.587271397796904,1688521581.275
3901,2146,119,99.75308641975307,0.0,16.587271397796904,1688521581.275
4087,2680,118,99.50372208436724,0.0,16.580964450497362,1688521582.276
4087,2680,118,99.50372208436724,0.0,16.580964450497362,1688521582.276
4159,2301,158,99.5049504950495,0.0,16.43876249810299,1688521583.278
4159,2301,158,99.5049504950495,0.0,16.43876249810299,1688521583.278
4159,2301,158,99.5049504950495,0.0,16.43876249810299,1688521584.28
4159,2301,158,99.5049504950495,0.0,16.43876249810299,1688521584.28
4238,2337,119,98.51485148514853,0.0,16.639008074863465,1688521585.282
4238,2337,119,98.51485148514853,0.0,16.639008074863465,1688521585.282
4238,2337,119,98.51485148514853,0.0,16.639008074863465,1688521586.284
4238,2337,119,98.51485148514853,0.0,16.639008074863465,1688521586.284
4199,2523,236,99.501246882793,0.0,16.629843292068816,1688521587.286
4199,2523,236,99.501246882793,0.0,16.629843292068816,1688521587.286
4199,2523,236,99.501246882793,0.0,16.629843292068816,1688521588.287
4199,2523,236,99.501246882793,0.0,16.629843292068816,1688521588.287
3861,2531,119,99.50248756218906,0.0,16.635164778852808,1688521589.289
3861,2531,119,99.50248756218906,0.0,16.635164778852808,1688521589.289
4053,2301,119,99.25925925925924,0.0,16.629054923656376,1688521590.29
4053,2301,119,99.25925925925924,0.0,16.629054923656376,1688521590.29
4053,2301,119,99.25925925925924,0.0,16.629054923656376,1688521591.291
4053,2301,119,99.25925925925924,0.0,16.629054923656376,1688521591.291
3968,2452,118,100.0,0.0,16.57446041109471,1688521592.293
3968,2452,118,100.0,0.0,16.57446041109471,1688521592.293
3968,2452,118,100.0,0.0,16.57446041109471,1688521593.296
3968,2452,118,100.0,0.0,16.57446041109471,1688521593.296
4422,2566,118,99.25925925925924,0.0,16.589340864879567,1688521594.298
4422,2566,118,99.25925925925924,0.0,16.589340864879567,1688521594.298
4422,2566,118,99.25925925925924,0.0,16.589340864879567,1688521595.3
4422,2566,118,99.25925925925924,0.0,16.589340864879567,1688521595.3
4487,2562,118,100.0,0.0,16.583625193889358,1688521596.302
4487,2562,118,100.0,0.0,16.583625193889358,1688521596.302
3974,2066,199,99.501246882793,3.3,16.65881583122609,1688521597.305
3974,2066,199,99.501246882793,3.3,16.65881583122609,1688521597.305
3974,2066,199,99.501246882793,3.3,16.65881583122609,1688521598.307
3974,2066,199,99.501246882793,3.3,16.65881583122609,1688521598.307
4159,2527,118,99.75186104218362,0.0,16.65329725233899,1688521599.309
4159,2527,118,99.75186104218362,0.0,16.65329725233899,1688521599.309
4159,2527,118,99.75186104218362,0.0,16.65329725233899,1688521600.31
4159,2527,118,99.75186104218362,0.0,16.65329725233899,1688521600.31
3894,2487,118,99.75186104218362,0.0,16.64945395632833,1688521601.312
3894,2487,118,99.75186104218362,0.0,16.64945395632833,1688521601.312
3894,2487,118,99.75186104218362,0.0,16.64945395632833,1688521602.316
3894,2487,118,99.75186104218362,0.0,16.64945395632833,1688521602.316
3968,2146,158,99.5049504950495,0.0,16.63486914069814,1688521603.319
3968,2146,158,99.5049504950495,0.0,16.63486914069814,1688521603.319
4271,2645,118,99.50248756218906,0.0,16.63526332490436,1688521604.322
4271,2645,118,99.50248756218906,0.0,16.63526332490436,1688521604.322
4271,2645,118,99.50248756218906,0.0,16.63526332490436,1688521605.323
4271,2645,118,99.50248756218906,0.0,16.63526332490436,1688521605.323
3934,2142,119,99.50372208436724,0.0,16.646793212936338,1688521606.324
3934,2142,119,99.50372208436724,0.0,16.646793212936338,1688521606.324
3934,2142,119,99.50372208436724,0.0,16.646793212936338,1688521607.326
3934,2142,119,99.50372208436724,0.0,16.646793212936338,1688521607.326
4007,2412,118,99.75124378109452,0.0,16.64147172615235,1688521608.328
4007,2412,118,99.75124378109452,0.0,16.64147172615235,1688521608.328
4007,2412,118,99.75124378109452,0.0,16.64147172615235,1688521609.331
4007,2412,118,99.75124378109452,0.0,16.64147172615235,1688521609.331
3741,2070,119,99.75186104218362,0.0,16.640683357739906,1688521610.335
3741,2070,119,99.75186104218362,0.0,16.640683357739906,1688521610.335
3861,2066,119,99.50372208436724,0.0,16.650045232637662,1688521611.337
3861,2066,119,99.50372208436724,0.0,16.650045232637662,1688521611.337
3861,2066,119,99.50372208436724,0.0,16.650045232637662,1688521612.339
3861,2066,119,99.50372208436724,0.0,16.650045232637662,1688521612.339
3961,2606,118,99.50617283950616,0.0,16.600772206859986,1688521613.341
3961,2606,118,99.50617283950616,0.0,16.600772206859986,1688521613.341
3961,2606,118,99.50617283950616,0.0,16.600772206859986,1688521614.343
3961,2606,118,99.50617283950616,0.0,16.600772206859986,1688521614.343
4232,2680,118,99.75186104218362,0.0,16.600378022653768,1688521615.346
4232,2680,118,99.75186104218362,0.0,16.600378022653768,1688521615.346
4232,2680,118,99.75186104218362,0.0,16.600378022653768,1688521616.349
4232,2680,118,99.75186104218362,0.0,16.600378022653768,1688521616.349
4350,2606,157,99.75186104218362,0.0,16.596140542436885,1688521617.351
4350,2606,157,99.75186104218362,0.0,16.596140542436885,1688521617.351
3855,2527,118,98.50746268656717,0.0,16.599983838447546,1688521618.352
3855,2527,118,98.50746268656717,0.0,16.599983838447546,1688521618.352
3855,2527,118,98.50746268656717,0.0,16.599983838447546,1688521619.354
3855,2527,118,98.50746268656717,0.0,16.599983838447546,1688521619.354
4087,2297,198,99.50372208436724,12.3,16.599195470035102,1688521620.355
4087,2297,198,99.50372208436724,12.3,16.599195470035102,1688521620.355
4087,2297,198,99.50372208436724,12.3,16.599195470035102,1688521621.356
4087,2297,198,99.50372208436724,12.3,16.599195470035102,1688521621.356
3968,2527,118,99.25187032418953,0.0,16.590621963549786,1688521622.357
3968,2527,118,99.25187032418953,0.0,16.590621963549786,1688521622.357
3968,2527,118,99.25187032418953,0.0,16.590621963549786,1688521623.359
3968,2527,118,99.25187032418953,0.0,16.590621963549786,1688521623.359
3861,2103,119,98.51116625310172,0.0,16.594760897715112,1688521624.362
3861,2103,119,98.51116625310172,0.0,16.594760897715112,1688521624.362
3861,2103,119,98.51116625310172,0.0,16.594760897715112,1688521625.365
3861,2103,119,98.51116625310172,0.0,16.594760897715112,1688521625.365
4159,2645,118,99.25373134328358,0.0,16.633686588079474,1688521626.369
4159,2645,118,99.25373134328358,0.0,16.633686588079474,1688521626.369
4120,2416,118,99.50248756218906,0.0,16.637529884090135,1688521627.371
4120,2416,118,99.50248756218906,0.0,16.637529884090135,1688521627.371
4120,2416,118,99.50248756218906,0.0,16.637529884090135,1688521628.373
4120,2416,118,99.50248756218906,0.0,16.637529884090135,1688521628.373
4007,2408,198,99.50738916256158,0.0,16.631420028893704,1688521629.374
4007,2408,198,99.50738916256158,0.0,16.631420028893704,1688521629.374
4007,2408,198,99.50738916256158,0.0,16.631420028893704,1688521630.378
4007,2408,198,99.50738916256158,0.0,16.631420028893704,1688521630.378
3901,1990,119,99.25558312655087,0.0,16.637924068296357,1688521631.384
3901,1990,119,99.25558312655087,0.0,16.637924068296357,1688521631.384
3901,1990,119,99.25558312655087,0.0,16.637924068296357,1688521632.386
3901,1990,119,99.25558312655087,0.0,16.637924068296357,1688521632.386
4612,2373,158,99.50617283950616,11.8,16.643245555080345,1688521633.389
4612,2373,158,99.50617283950616,11.8,16.643245555080345,1688521633.389
3934,2066,119,99.0074441687345,0.0,16.63122293679059,1688521634.396
3934,2066,119,99.0074441687345,0.0,16.63122293679059,1688521634.396
3934,2066,119,99.0074441687345,0.0,16.63122293679059,1688521635.399
3934,2066,119,99.0074441687345,0.0,16.63122293679059,1688521635.399
3821,2146,119,99.5049504950495,0.0,16.638121160399464,1688521636.402
3821,2146,119,99.5049504950495,0.0,16.638121160399464,1688521636.402
3821,2146,119,99.5049504950495,0.0,16.638121160399464,1688521637.405
3821,2146,119,99.5049504950495,0.0,16.638121160399464,1688521637.405
4001,2680,118,99.50372208436724,0.0,16.58697575964224,1688521638.408
4001,2680,118,99.50372208436724,0.0,16.58697575964224,1688521638.408
4001,2680,118,99.50372208436724,0.0,16.58697575964224,1688521639.411
4001,2680,118,99.50372208436724,0.0,16.58697575964224,1688521639.411
4238,2641,118,99.50617283950616,0.0,16.578500799208477,1688521640.413
4238,2641,118,99.50617283950616,0.0,16.578500799208477,1688521640.413
4047,2182,119,99.25373134328358,0.0,16.590030687240453,1688521641.415
4047,2182,119,99.25373134328358,0.0,16.590030687240453,1688521641.415
4047,2182,119,99.25373134328358,0.0,16.590030687240453,1688521642.418
4047,2182,119,99.25373134328358,0.0,16.590030687240453,1688521642.418
4007,2606,158,99.50372208436724,0.0,16.590030687240453,1688521643.42
4007,2606,158,99.50372208436724,0.0,16.590030687240453,1688521643.42
4007,2606,158,99.50372208436724,0.0,16.590030687240453,1688521644.423
4007,2606,158,99.50372208436724,0.0,16.590030687240453,1688521644.423
