energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4192,2601,157,99.75247524752476,0.0,12.786941465616298,1688507524.217
4192,2601,157,99.75247524752476,0.0,12.786941465616298,1688507524.217
4192,2601,157,99.75247524752476,0.0,12.786941465616298,1688507525.219
4192,2601,157,99.75247524752476,0.0,12.786941465616298,1688507525.219
4040,2294,119,100.0,0.0,12.77265228814077,1688507526.221
4040,2294,119,100.0,0.0,12.77265228814077,1688507526.221
4040,2294,119,100.0,0.0,12.77265228814077,1688507527.224
4040,2294,119,100.0,0.0,12.77265228814077,1688507527.224
3888,2175,119,98.76237623762376,0.0,12.78329526170875,1688507528.226
3888,2175,119,98.76237623762376,0.0,12.78329526170875,1688507528.226
3928,2026,158,99.25373134328358,0.0,12.776002853893653,1688507529.229
3928,2026,158,99.25373134328358,0.0,12.776002853893653,1688507529.229
3928,2026,158,99.25373134328358,0.0,12.776002853893653,1688507530.232
3928,2026,158,99.25373134328358,0.0,12.776002853893653,1688507530.232
3855,2103,119,99.0074441687345,0.0,12.78290107750253,1688507531.234
3855,2103,119,99.0074441687345,0.0,12.78290107750253,1688507531.234
3855,2103,119,99.0074441687345,0.0,12.78290107750253,1688507532.237
3855,2103,119,99.0074441687345,0.0,12.78290107750253,1688507532.237
3855,2218,198,100.0,0.0,12.786350189306964,1688507533.24
3855,2218,198,100.0,0.0,12.786350189306964,1688507533.24
3855,2218,198,100.0,0.0,12.786350189306964,1688507534.243
3855,2218,198,100.0,0.0,12.786350189306964,1688507534.243
3928,2026,119,100.0,0.0,12.780240334110532,1688507535.246
3928,2026,119,100.0,0.0,12.780240334110532,1688507535.246
3848,2412,118,99.75124378109452,0.0,12.77334211050166,1688507536.249
3848,2412,118,99.75124378109452,0.0,12.77334211050166,1688507536.249
3848,2412,118,99.75124378109452,0.0,12.77334211050166,1688507537.252
3848,2412,118,99.75124378109452,0.0,12.77334211050166,1688507537.252
4159,2182,118,99.0074441687345,0.0,12.78309816960564,1688507538.255
