energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3833,1934,82,26.86567164179105,10.6,34.38435878611094,1699907912.148
3833,1934,82,26.86567164179105,10.6,34.38435878611094,1699907912.148
3791,1892,41,28.179551122194518,0.0,34.39165118673966,1699907913.151
3791,1892,41,28.179551122194518,0.0,34.39165118673966,1699907913.151
3668,1769,41,29.07268170426065,0.0,34.40140723622944,1699907914.153
3668,1769,41,29.07268170426065,0.0,34.40140723622944,1699907914.153
3668,1769,41,29.07268170426065,0.0,34.40140723622944,1699907915.155
3668,1769,41,29.07268170426065,0.0,34.40140723622944,1699907915.155
3874,1810,164,28.21158690176322,0.0,34.39677557637065,1699907916.158
3874,1810,164,28.21158690176322,0.0,34.39677557637065,1699907916.158
3709,1810,41,28.960396039603964,0.0,34.39519884109958,1699907917.16
3709,1810,41,28.960396039603964,0.0,34.39519884109958,1699907917.16
3709,1810,41,28.960396039603964,0.0,34.39519884109958,1699907918.163
3709,1810,41,28.960396039603964,0.0,34.39519884109958,1699907918.163
3791,1851,123,28.287841191067,99.7,34.39785958186952,1699907919.165
3791,1851,123,28.287841191067,99.7,34.39785958186952,1699907919.165
3709,1810,41,28.53598014888338,0.0,34.393326467965174,1699907920.168
3709,1810,41,28.53598014888338,0.0,34.393326467965174,1699907920.168
3709,1810,41,28.53598014888338,0.0,34.393326467965174,1699907921.17
3709,1810,41,28.53598014888338,0.0,34.393326467965174,1699907921.17
3709,1810,41,27.500000000000004,0.0,34.397958127823955,1699907922.173
3709,1810,41,27.500000000000004,0.0,34.397958127823955,1699907922.173
3915,1851,164,27.431421446384043,0.0,34.39214391651187,1699907923.175
3915,1851,164,27.431421446384043,0.0,34.39214391651187,1699907923.175
3709,1851,82,27.38693467336684,0.0,34.39411483560072,1699907924.178
3709,1851,82,27.38693467336684,0.0,34.39411483560072,1699907924.178
3709,1851,82,27.38693467336684,0.0,34.39411483560072,1699907925.18
3709,1851,82,27.38693467336684,0.0,34.39411483560072,1699907925.18
3833,1892,164,27.86069651741293,0.0,34.39539593300846,1699907926.183
3833,1892,164,27.86069651741293,0.0,34.39539593300846,1699907926.183
3709,1851,41,27.930174563591027,0.0,34.38899044596972,1699907927.186
3709,1851,41,27.930174563591027,0.0,34.38899044596972,1699907927.186
3709,1851,41,27.930174563591027,0.0,34.38899044596972,1699907928.188
3709,1851,41,27.930174563591027,0.0,34.38899044596972,1699907928.188
3709,1851,41,27.930174563591027,0.0,34.38899044596972,1699907928.188
3709,1892,41,27.06766917293233,0.0,34.38859626215195,1699907929.192
3709,1892,41,27.06766917293233,0.0,34.38859626215195,1699907929.192
3791,1934,41,27.182044887780545,0.0,34.392045370557426,1699907930.196
3791,1934,41,27.182044887780545,0.0,34.392045370557426,1699907930.196
3791,1934,41,27.182044887780545,0.0,34.392045370557426,1699907931.198
3791,1934,41,27.182044887780545,0.0,34.392045370557426,1699907931.198
3750,1810,82,27.431421446384043,0.0,34.387315164744194,1699907932.2
3750,1810,82,27.431421446384043,0.0,34.387315164744194,1699907932.2
3874,1851,164,27.611940298507463,0.0,34.38820207833418,1699907933.203
3874,1851,164,27.611940298507463,0.0,34.38820207833418,1699907933.203
3750,1851,41,27.25,0.0,34.38130386152323,1699907934.205
3750,1851,41,27.25,0.0,34.38130386152323,1699907934.205
3750,1851,41,27.25,0.0,34.38130386152323,1699907935.208
3750,1851,41,27.25,0.0,34.38130386152323,1699907935.208
3750,1892,41,27.318295739348372,0.0,34.38090967770545,1699907936.21
3750,1892,41,27.318295739348372,0.0,34.38090967770545,1699907936.21
3709,1851,41,26.88442211055276,0.0,34.37933294243438,1699907937.213
3709,1851,41,26.88442211055276,0.0,34.37933294243438,1699907937.213
3709,1851,41,26.88442211055276,0.0,34.37933294243438,1699907938.215
3709,1851,41,26.88442211055276,0.0,34.37933294243438,1699907938.215
3750,1851,82,27.182044887780545,0.0,34.3772634773911,1699907939.218
3750,1851,82,27.182044887780545,0.0,34.3772634773911,1699907939.218
3874,1892,123,27.431421446384043,0.0,34.385344245655354,1699907940.22
3874,1892,123,27.431421446384043,0.0,34.385344245655354,1699907940.22
3874,1892,123,27.431421446384043,0.0,34.385344245655354,1699907941.223
3874,1892,123,27.431421446384043,0.0,34.385344245655354,1699907941.223
4162,1975,205,27.970297029702973,0.0,34.3784460288444,1699907942.226
4162,1975,205,27.970297029702973,0.0,34.3784460288444,1699907942.226
3709,1851,41,26.75,0.0,34.37874166670773,1699907943.228
3709,1851,41,26.75,0.0,34.37874166670773,1699907943.228
3750,1851,41,27.25,0.0,34.37992421816104,1699907944.231
3750,1851,41,27.25,0.0,34.37992421816104,1699907944.231
3750,1851,41,27.25,0.0,34.37992421816104,1699907945.233
3750,1851,41,27.25,0.0,34.37992421816104,1699907945.233
3791,1892,123,26.93266832917705,74.0,34.37381436898562,1699907946.234
3791,1892,123,26.93266832917705,74.0,34.37381436898562,1699907946.234
3709,1851,41,27.363184079601982,0.0,34.377657661208865,1699907947.237
3709,1851,41,27.363184079601982,0.0,34.377657661208865,1699907947.237
3709,1851,41,27.363184079601982,0.0,34.377657661208865,1699907948.24
3709,1851,41,27.363184079601982,0.0,34.377657661208865,1699907948.24
3709,1892,82,27.611940298507463,2.3,34.37460273662116,1699907949.242
3709,1892,82,27.611940298507463,2.3,34.37460273662116,1699907949.242
3750,1851,41,27.901234567901238,0.0,34.37617947189223,1699907950.245
3750,1851,41,27.901234567901238,0.0,34.37617947189223,1699907950.245
3750,1851,41,27.901234567901238,0.0,34.37617947189223,1699907951.247
3750,1851,41,27.901234567901238,0.0,34.37617947189223,1699907951.247
3709,1810,41,27.0,0.0,34.36100339490813,1699907952.25
3709,1810,41,27.0,0.0,34.36100339490813,1699907952.25
3833,1892,123,26.93266832917705,0.0,34.3702667146257,1699907953.253
3833,1892,123,26.93266832917705,0.0,34.3702667146257,1699907953.253
3833,1892,123,26.93266832917705,0.0,34.3702667146257,1699907954.255
3833,1892,123,26.93266832917705,0.0,34.3702667146257,1699907954.255
3709,1851,41,27.0,0.0,34.367211790037985,1699907955.258
3709,1851,41,27.0,0.0,34.367211790037985,1699907955.258
3791,1851,82,26.88442211055276,0.0,34.36031357322704,1699907956.261
3791,1851,82,26.88442211055276,0.0,34.36031357322704,1699907956.261
3709,1892,41,31.909547738693465,0.0,34.077388138023466,1699907957.263
3709,1892,41,31.909547738693465,0.0,34.077388138023466,1699907957.263
3709,1892,41,31.909547738693465,0.0,34.077388138023466,1699907958.266
3709,1892,41,31.909547738693465,0.0,34.077388138023466,1699907958.266
3750,1892,41,27.04714640198511,0.0,34.075811402752386,1699907959.269
3750,1892,41,27.04714640198511,0.0,34.075811402752386,1699907959.269
3915,1892,164,27.22772277227723,0.0,34.077782321841234,1699907960.271
3915,1892,164,27.22772277227723,0.0,34.077782321841234,1699907960.271
3915,1892,164,27.22772277227723,0.0,34.077782321841234,1699907961.274
3915,1892,164,27.22772277227723,0.0,34.077782321841234,1699907961.274
3750,1892,41,27.182044887780545,0.0,34.079161965203426,1699907962.277
3750,1892,41,27.182044887780545,0.0,34.079161965203426,1699907962.277
3791,1892,82,26.5,0.0,34.07157392671137,1699907963.279
3791,1892,82,26.5,0.0,34.07157392671137,1699907963.279
3791,1892,82,26.5,0.0,34.07157392671137,1699907964.282
3791,1892,82,26.5,0.0,34.07157392671137,1699907964.282
3750,1892,41,26.93266832917705,0.0,34.080443062611174,1699907965.285
3750,1892,41,26.93266832917705,0.0,34.080443062611174,1699907965.285
3750,1851,41,26.817042606516296,0.0,34.080443062611174,1699907966.287
