energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2426,728,40,7.160493827160497,0,56.595490138496615,1688504891.511
2426,728,40,7.160493827160497,0,56.595490138496615,1688504891.511
2426,728,40,7.160493827160497,0,56.595490138496615,1688504892.513
2426,728,40,7.160493827160497,0,56.595490138496615,1688504892.513
2773,924,80,8.457711442786064,0,56.605443289703715,1688504893.515
2773,924,80,8.457711442786064,0,56.605443289703715,1688504893.515
2548,726,80,4.455445544554459,58.5,56.605049105497486,1688504894.518
2548,726,80,4.455445544554459,58.5,56.605049105497486,1688504894.518
2548,726,80,4.455445544554459,58.5,56.605049105497486,1688504895.521
2548,726,80,4.455445544554459,58.5,56.605049105497486,1688504895.521
2426,728,40,5.405405405405405,0,56.59893925030106,1688504896.524
2426,728,40,5.405405405405405,0,56.59893925030106,1688504896.524
2426,728,40,5.405405405405405,0,56.59893925030106,1688504897.527
2426,728,40,5.405405405405405,0,56.59893925030106,1688504897.527
2467,768,80,3.960396039603964,0,56.591646842485964,1688504898.53
2467,768,80,3.960396039603964,0,56.591646842485964,1688504898.53
2544,768,40,4.749999999999998,0,56.59736251347617,1688504899.533
2544,768,40,4.749999999999998,0,56.59736251347617,1688504899.533
2544,768,40,4.749999999999998,0,56.59736251347617,1688504900.536
2544,768,40,4.749999999999998,0,56.59736251347617,1688504900.536
2426,768,40,5.198019801980203,0,56.588394822784636,1688504901.539
2426,768,40,5.198019801980203,0,56.588394822784636,1688504901.539
2548,807,40,4.19753086419753,0,56.59489886218729,1688504902.542
2548,807,40,4.19753086419753,0,56.59489886218729,1688504902.542
2548,807,40,4.19753086419753,0,56.59489886218729,1688504903.544
2548,807,40,4.19753086419753,0,56.59489886218729,1688504903.544
2426,728,40,3.9800995024875663,0,56.601402901589935,1688504904.547
2426,728,40,3.9800995024875663,0,56.601402901589935,1688504904.547
2426,728,40,3.9800995024875663,0,56.601402901589935,1688504905.55
2426,728,40,3.9800995024875663,0,56.601402901589935,1688504905.55
2507,768,40,4.5000000000000036,0,56.59499740823885,1688504906.553
2507,768,40,4.5000000000000036,0,56.59499740823885,1688504906.553
2624,848,40,31.07769423558897,0,55.154254134499595,1688504907.556
2624,848,40,31.07769423558897,0,55.154254134499595,1688504907.556
2624,848,40,31.07769423558897,0,55.154254134499595,1688504908.559
2624,848,40,31.07769423558897,0,55.154254134499595,1688504908.559
3094,1003,80,29.620253164556964,17.4,53.39579839054589,1688504909.562
3094,1003,80,29.620253164556964,17.4,53.39579839054589,1688504909.562
3094,964,40,30.637254901960787,0,50.92179976624877,1688504910.565
3094,964,40,30.637254901960787,0,50.92179976624877,1688504910.565
3094,964,40,30.637254901960787,0,50.92179976624877,1688504911.568
3094,964,40,30.637254901960787,0,50.92179976624877,1688504911.568
3285,1121,80,29.323308270676694,0,48.640557218793916,1688504912.57
3285,1121,80,29.323308270676694,0,48.640557218793916,1688504912.57
3285,1121,80,29.323308270676694,0,48.640557218793916,1688504913.573
3285,1121,80,29.323308270676694,0,48.640557218793916,1688504913.573
3325,1121,120,31.829573934837097,0,45.71718859940439,1688504914.576
3325,1121,120,31.829573934837097,0,45.71718859940439,1688504914.576
3129,1043,40,27.66497461928934,0,44.240574562898985,1688504915.579
3129,1043,40,27.66497461928934,0,44.240574562898985,1688504915.579
3129,1043,40,27.66497461928934,0,44.240574562898985,1688504916.582
3129,1043,40,27.66497461928934,0,44.240574562898985,1688504916.582
3285,1400,40,26.980198019801982,0,43.565238471590156,1688504917.585
3285,1400,40,26.980198019801982,0,43.565238471590156,1688504917.585
3365,1560,40,25.879396984924618,0,41.17273743192931,1688504918.587
3365,1560,40,25.879396984924618,0,41.17273743192931,1688504918.587
3365,1560,40,25.879396984924618,0,41.17273743192931,1688504919.589
3365,1560,40,25.879396984924618,0,41.17273743192931,1688504919.589
3325,1482,40,26.749999999999996,0,40.42575836113975,1688504920.592
3325,1482,40,26.749999999999996,0,40.42575836113975,1688504920.592
3365,1442,40,26.13065326633166,0,39.53598606164647,1688504921.594
3365,1442,40,26.13065326633166,0,39.53598606164647,1688504921.594
3405,1600,40,26.817042606516296,0,37.728947114275975,1688504922.597
3405,1600,40,26.817042606516296,0,37.728947114275975,1688504922.597
3405,1600,40,26.817042606516296,0,37.728947114275975,1688504923.6
3405,1600,40,26.817042606516296,0,37.728947114275975,1688504923.6
3440,1440,40,26.142131979695428,9.3,31.86732942171206,1688504924.603
3440,1440,40,26.142131979695428,9.3,31.86732942171206,1688504924.603
3520,1480,40,26.515151515151516,0,26.162104312966495,1688504925.606
3520,1480,40,26.515151515151516,0,26.162104312966495,1688504925.606
3520,1480,40,26.515151515151516,0,26.162104312966495,1688504926.608
3520,1480,40,26.515151515151516,0,26.162104312966495,1688504926.608
3787,1873,119,26.38190954773869,0,20.808097331964202,1688504927.611
3787,1873,119,26.38190954773869,0,20.808097331964202,1688504927.611
3787,1873,119,26.38190954773869,0,20.808097331964202,1688504928.613
3787,1873,119,26.38190954773869,0,20.808097331964202,1688504928.613
3594,1557,79,28.967254408060448,0,15.128691288726134,1688504929.616
3594,1557,79,28.967254408060448,0,15.128691288726134,1688504929.616
3480,1677,80,28.71536523929471,0,9.100432222982121,1688504930.619
3480,1677,80,28.71536523929471,0,9.100432222982121,1688504930.619
3480,1677,80,28.71536523929471,0,9.100432222982121,1688504931.622
3480,1677,80,28.71536523929471,0,9.100432222982121,1688504931.622
3634,1791,79,31.73803526448362,0,2.279764356681521,1688504932.625
3634,1791,79,31.73803526448362,0,2.279764356681521,1688504932.625
3560,1477,40,30.886075949367086,1.7,1.7750114806150061,1688504933.628
3560,1477,40,30.886075949367086,1.7,1.7750114806150061,1688504933.628
3560,1477,40,30.886075949367086,1.7,1.7750114806150061,1688504934.631
3560,1477,40,30.886075949367086,1.7,1.7750114806150061,1688504934.631
3365,1240,40,33.333333333333336,0,4.833486736686921,1688504935.634
3365,1240,40,33.333333333333336,0,4.833486736686921,1688504935.634
3560,1717,40,26.368159203980102,0,2.461680367852701,1688504936.637
3560,1717,40,26.368159203980102,0,2.461680367852701,1688504936.637
3560,1717,40,26.368159203980102,0,2.461680367852701,1688504937.64
3560,1717,40,26.368159203980102,0,2.461680367852701,1688504937.64
3560,1913,39,28.53598014888338,0,2.9580568295370107,1688504938.643
3560,1913,39,28.53598014888338,0,2.9580568295370107,1688504938.643
3560,1913,39,28.53598014888338,0,2.9580568295370107,1688504939.645
3560,1913,39,28.53598014888338,0,2.9580568295370107,1688504939.645
3708,1873,39,27.114427860696523,0,2.206544640375894,1688504940.648
3708,1873,39,27.114427860696523,0,2.206544640375894,1688504940.648
3520,1990,40,28.6783042394015,0,1.6676948304712276,1688504941.651
3520,1990,40,28.6783042394015,0,1.6676948304712276,1688504941.651
3520,1990,40,28.6783042394015,0,1.6676948304712276,1688504942.654
3520,1990,40,28.6783042394015,0,1.6676948304712276,1688504942.654
3708,1834,79,28.784119106699755,7,2.6628128590771754,1688504943.657
3708,1834,79,28.784119106699755,7,2.6628128590771754,1688504943.657
3674,1632,119,33.66834170854271,0,1.5672764039363234,1688504944.659
3674,1632,119,33.66834170854271,0,1.5672764039363234,1688504944.659
3674,1632,119,33.66834170854271,0,1.5672764039363234,1688504945.662
3674,1632,119,33.66834170854271,0,1.5672764039363234,1688504945.662
3554,1674,39,30.65326633165829,0,1.892774012223652,1688504946.665
3554,1674,39,30.65326633165829,0,1.892774012223652,1688504946.665
3285,1201,40,26.56641604010025,0,1.752050250602609,1688504947.668
3285,1201,40,26.56641604010025,0,1.752050250602609,1688504947.668
3285,1201,40,26.56641604010025,0,1.752050250602609,1688504948.671
3285,1201,40,26.56641604010025,0,1.752050250602609,1688504948.671
3440,1320,120,35.27918781725889,6.4,2.321449336489435,1688504949.674
3440,1320,120,35.27918781725889,6.4,2.321449336489435,1688504949.674
3440,1320,120,35.27918781725889,6.4,2.321449336489435,1688504950.677
3440,1320,120,35.27918781725889,6.4,2.321449336489435,1688504950.677
3861,1947,39,36.68341708542714,14.6,1.654686751665921,1688504951.68
3861,1947,39,36.68341708542714,14.6,1.654686751665921,1688504951.68
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504952.683
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504952.683
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504953.685
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504953.685
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504954.688
3365,1201,80,33.91521197007481,18.7,1.5880696208145029,1688504954.688
3582,1592,79,45.21531100478469,0,1.9384008340937804,1688504955.691
3582,1592,79,45.21531100478469,0,1.9384008340937804,1688504955.691
3582,1592,79,45.21531100478469,0,1.9384008340937804,1688504956.694
3582,1592,79,45.21531100478469,0,1.9384008340937804,1688504956.694
3674,565,40,61.596385542168676,0,1.692429889411621,1688504957.697
3674,565,40,61.596385542168676,0,1.692429889411621,1688504957.697
3674,565,40,61.596385542168676,0,1.692429889411621,1688504958.7
3674,565,40,61.596385542168676,0,1.692429889411621,1688504958.7
3674,565,40,61.596385542168676,0,1.692429889411621,1688504959.703
3674,565,40,61.596385542168676,0,1.692429889411621,1688504959.703
3674,565,40,61.596385542168676,0,1.692429889411621,1688504960.705
3674,565,40,61.596385542168676,0,1.692429889411621,1688504960.705
3250,1280,40,40.38461538461539,0,1.762101947861255,1688504961.706
3250,1280,40,40.38461538461539,0,1.762101947861255,1688504961.706
3250,1280,40,40.38461538461539,0,1.762101947861255,1688504962.71
3250,1280,40,40.38461538461539,0,1.762101947861255,1688504962.71
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504963.712
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504963.712
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504964.713
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504964.713
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504965.714
4318,1505,752,63.27345309381238,0,1.9272651302680255,1688504965.714
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504966.716
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504966.716
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504967.719
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504967.719
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504968.722
3134,1043,40,45.78313253012048,0,1.916227972493826,1688504968.722
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504969.724
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504969.724
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504970.727
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504970.727
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504971.73
3827,1632,39,51.88284518828452,0,1.8582828941792788,1688504971.73
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504972.733
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504972.733
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504973.736
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504973.736
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504974.739
3325,1161,40,43.63636363636364,0,1.8558192428903952,1688504974.739
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504975.742
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504975.742
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504976.744
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504976.744
4093,1388,595,29.648241206030146,85.4,1.8200470261758022,1688504977.747
4093,1388,595,29.648241206030146,85.4,1.8200470261758022,1688504977.747
4093,1388,595,29.648241206030146,85.4,1.8200470261758022,1688504978.749
4093,1388,595,29.648241206030146,85.4,1.8200470261758022,1688504978.749
4126,1426,674,28.607594936708857,89.1,1.6783378040392056,1688504979.751
4126,1426,674,28.607594936708857,89.1,1.6783378040392056,1688504979.751
4166,1388,556,28.101265822784814,91.4,1.6940066262365068,1688504980.754
4166,1388,556,28.101265822784814,91.4,1.6940066262365068,1688504980.754
4166,1388,556,28.101265822784814,91.4,1.6940066262365068,1688504981.756
4166,1388,556,28.101265822784814,91.4,1.6940066262365068,1688504981.756
4206,1428,634,23.809523809523814,46.2,1.6875025868338536,1688504982.759
4206,1428,634,23.809523809523814,46.2,1.6875025868338536,1688504982.759
4053,1468,555,24.626865671641795,90.3,2.0453233000313373,1688504983.761
4053,1468,555,24.626865671641795,90.3,2.0453233000313373,1688504983.761
4053,1468,555,24.626865671641795,90.3,2.0453233000313373,1688504984.764
4053,1468,555,24.626865671641795,90.3,2.0453233000313373,1688504984.764
4166,1468,595,24.438902743142144,34.8,2.0350745106695807,1688504985.766
4166,1468,595,24.438902743142144,34.8,2.0350745106695807,1688504985.766
4166,1468,595,24.438902743142144,34.8,2.0350745106695807,1688504986.769
4166,1468,595,24.438902743142144,34.8,2.0350745106695807,1688504986.769
4126,1505,634,23.94014962593516,2.1,2.007875800440304,1688504987.772
4126,1505,634,23.94014962593516,2.1,2.007875800440304,1688504987.772
4087,1470,555,24.378109452736318,62.6,1.9267724000102486,1688504988.774
4087,1470,555,24.378109452736318,62.6,1.9267724000102486,1688504988.774
4087,1470,555,24.378109452736318,62.6,1.9267724000102486,1688504989.777
4087,1470,555,24.378109452736318,62.6,1.9267724000102486,1688504989.777
4047,1510,516,23.750000000000004,6.7,1.9527885576208617,1688504990.779
4047,1510,516,23.750000000000004,6.7,1.9527885576208617,1688504990.779
4126,1507,595,25.310173697270464,17.7,1.764861237304805,1688504991.782
4126,1507,595,25.310173697270464,17.7,1.764861237304805,1688504991.782
4126,1507,595,25.310173697270464,17.7,1.764861237304805,1688504992.784
4126,1507,595,25.310173697270464,17.7,1.764861237304805,1688504992.784
3974,1468,555,33.91521197007481,60.8,1.76072230313948,1688504993.787
3974,1468,555,33.91521197007481,60.8,1.76072230313948,1688504993.787
3974,1468,555,33.91521197007481,60.8,1.76072230313948,1688504994.79
3974,1468,555,33.91521197007481,60.8,1.76072230313948,1688504994.79
4501,2010,394,25.313283208020053,30.3,1.8286205326611178,1688504995.793
4501,2010,394,25.313283208020053,30.3,1.8286205326611178,1688504995.793
4087,1550,556,23.61809045226131,48.8,1.786147184440761,1688504996.796
4087,1550,556,23.61809045226131,48.8,1.786147184440761,1688504996.796
4087,1550,556,23.61809045226131,48.8,1.786147184440761,1688504997.798
4087,1550,556,23.61809045226131,48.8,1.786147184440761,1688504997.798
4093,1550,476,24.310776942355893,6,1.6944993564942834,1688504998.801
4093,1550,476,24.310776942355893,6,1.6944993564942834,1688504998.801
3901,1507,437,24.378109452736318,81.3,1.6902618762774033,1688504999.802
3901,1507,437,24.378109452736318,81.3,1.6902618762774033,1688504999.802
