energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2426,728,80,4.5000000000000036,0,39.83487623601385,1688504234.79
2426,728,80,4.5000000000000036,0,39.83487623601385,1688504234.79
2507,768,40,4.938271604938271,0,39.832511130776524,1688504235.792
2507,768,40,4.938271604938271,0,39.832511130776524,1688504235.792
2507,768,40,4.938271604938271,0,39.832511130776524,1688504236.795
2507,768,40,4.938271604938271,0,39.832511130776524,1688504236.795
2390,728,40,4.761904761904767,0,39.825218722961424,1688504237.798
2390,728,40,4.761904761904767,0,39.825218722961424,1688504237.798
2390,728,40,4.761904761904767,0,39.825218722961424,1688504238.8
2390,728,40,4.761904761904767,0,39.825218722961424,1688504238.8
2584,848,40,5.500000000000005,0,39.83014602553919,1688504239.802
2584,848,40,5.500000000000005,0,39.83014602553919,1688504239.802
2390,728,40,5.459057071960293,0,39.82295216377565,1688504240.803
2390,728,40,5.459057071960293,0,39.82295216377565,1688504240.803
2390,728,40,5.459057071960293,0,39.82295216377565,1688504241.804
2390,728,40,5.459057071960293,0,39.82295216377565,1688504241.804
2426,687,40,4.987531172069826,0,39.82324780193032,1688504242.806
2426,687,40,4.987531172069826,0,39.82324780193032,1688504242.806
2548,768,40,16.834170854271356,0,38.831874523283474,1688504243.809
2548,768,40,16.834170854271356,0,38.831874523283474,1688504243.809
2548,768,40,16.834170854271356,0,38.831874523283474,1688504244.81
2548,768,40,16.834170854271356,0,38.831874523283474,1688504244.81
3170,1442,40,46.231155778894475,0,38.53505381599875,1688504245.811
3170,1442,40,46.231155778894475,0,38.53505381599875,1688504245.811
3170,1442,40,46.231155778894475,0,38.53505381599875,1688504246.813
3170,1442,40,46.231155778894475,0,38.53505381599875,1688504246.813
3405,1600,40,26.119402985074625,0,37.204090843692164,1688504247.815
3405,1600,40,26.119402985074625,0,37.204090843692164,1688504247.815
3365,1562,40,26.184538653366584,0,36.44045749018974,1688504248.816
3365,1562,40,26.184538653366584,0,36.44045749018974,1688504248.816
3365,1562,40,26.184538653366584,0,36.44045749018974,1688504249.819
3365,1562,40,26.184538653366584,0,36.44045749018974,1688504249.819
3365,1560,40,27.4074074074074,0,31.049200101699526,1688504250.821
3365,1560,40,27.4074074074074,0,31.049200101699526,1688504250.821
3520,1717,40,26.550868486352353,0,28.75041635706782,1688504251.823
3520,1717,40,26.550868486352353,0,28.75041635706782,1688504251.823
3520,1717,40,26.550868486352353,0,28.75041635706782,1688504252.825
3520,1717,40,26.550868486352353,0,28.75041635706782,1688504252.825
3674,1794,119,26.302729528535984,0,26.583388683365623,1688504253.827
3674,1794,119,26.302729528535984,0,26.583388683365623,1688504253.827
3520,1757,40,26.302729528535984,0,24.865041182394947,1688504254.83
3520,1757,40,26.302729528535984,0,24.865041182394947,1688504254.83
3520,1757,40,26.302729528535984,0,24.865041182394947,1688504255.833
3520,1757,40,26.302729528535984,0,24.865041182394947,1688504255.833
3594,1757,39,26.184538653366584,0,22.68076794967056,1688504256.835
3594,1757,39,26.184538653366584,0,22.68076794967056,1688504256.835
3554,1757,40,26.799007444168733,0,21.194102215906515,1688504257.836
3554,1757,40,26.799007444168733,0,21.194102215906515,1688504257.836
3554,1757,40,26.799007444168733,0,21.194102215906515,1688504258.838
3554,1757,40,26.799007444168733,0,21.194102215906515,1688504258.838
3622,1791,79,32.83582089552238,87.3,18.94882897726937,1688504259.84
3622,1791,79,32.83582089552238,87.3,18.94882897726937,1688504259.84
3714,1754,119,26.184538653366584,0,17.53705824268739,1688504260.843
3714,1754,119,26.184538653366584,0,17.53705824268739,1688504260.843
3714,1754,119,26.184538653366584,0,17.53705824268739,1688504261.846
3714,1754,119,26.184538653366584,0,17.53705824268739,1688504261.846
3520,1757,40,26.66666666666667,0,15.459411837745899,1688504262.849
3520,1757,40,26.66666666666667,0,15.459411837745899,1688504262.849
3520,1757,40,26.550868486352353,0,13.259765420978878,1688504263.851
3520,1757,40,26.550868486352353,0,13.259765420978878,1688504263.851
