energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2548,807,40,4.749999999999998,2.3,55.95208296789173,1688505691.526
2548,807,40,4.749999999999998,2.3,55.95208296789173,1688505691.526
2548,807,40,4.749999999999998,2.3,55.95208296789173,1688505692.528
2548,807,40,4.749999999999998,2.3,55.95208296789173,1688505692.528
2548,848,40,3.960396039603964,0,55.95208296789173,1688505693.531
2548,848,40,3.960396039603964,0,55.95208296789173,1688505693.531
2665,967,40,4.455445544554459,0,55.959276829655266,1688505694.534
2665,967,40,4.455445544554459,0,55.959276829655266,1688505694.534
2665,967,40,4.455445544554459,0,55.959276829655266,1688505695.537
2665,967,40,4.455445544554459,0,55.959276829655266,1688505695.537
2624,888,40,5.2369077306733125,0,55.96991980322324,1688505696.54
2624,888,40,5.2369077306733125,0,55.96991980322324,1688505696.54
3365,1362,40,32.49999999999999,0,53.6263961511854,1688505697.543
3365,1362,40,32.49999999999999,0,53.6263961511854,1688505697.543
3365,1362,40,32.49999999999999,0,53.6263961511854,1688505698.546
3365,1362,40,32.49999999999999,0,53.6263961511854,1688505698.546
3014,1123,40,31.094527363184078,0,51.65508093587214,1688505699.55
3014,1123,40,31.094527363184078,0,51.65508093587214,1688505699.55
3014,1123,40,31.094527363184078,0,51.65508093587214,1688505700.552
3014,1123,40,31.094527363184078,0,51.65508093587214,1688505700.552
3129,1081,40,32.83582089552238,0,49.234789909672685,1688505701.553
3129,1081,40,32.83582089552238,0,49.234789909672685,1688505701.553
3210,1123,40,30.500000000000004,0,46.51215959730142,1688505702.556
3210,1123,40,30.500000000000004,0,46.51215959730142,1688505702.556
3210,1123,40,30.500000000000004,0,46.51215959730142,1688505703.558
3210,1123,40,30.500000000000004,0,46.51215959730142,1688505703.558
3094,1003,40,29.87341772151899,0,43.74626756829734,1688505704.56
3094,1003,40,29.87341772151899,0,43.74626756829734,1688505704.56
3325,1362,40,47,0,43.09773600301157,1688505705.563
3325,1362,40,47,0,43.09773600301157,1688505705.563
3325,1362,40,47,0,43.09773600301157,1688505706.565
3325,1362,40,47,0,43.09773600301157,1688505706.565
3285,1442,40,27.611940298507463,0,41.56938528943961,1688505707.568
3285,1442,40,27.611940298507463,0,41.56938528943961,1688505707.568
3285,1442,40,27.611940298507463,0,41.56938528943961,1688505708.571
3285,1442,40,27.611940298507463,0,41.56938528943961,1688505708.571
3285,1282,40,26.932668329177055,2.3,40.05010081261074,1688505709.574
3285,1282,40,26.932668329177055,2.3,40.05010081261074,1688505709.574
3365,1440,40,26.749999999999996,0,39.35278895180507,1688505710.577
3365,1440,40,26.749999999999996,0,39.35278895180507,1688505710.577
3365,1440,40,26.749999999999996,0,39.35278895180507,1688505711.579
3365,1440,40,26.749999999999996,0,39.35278895180507,1688505711.579
3354,1397,40,26.315789473684216,0,38.21310386556742,1688505712.582
3354,1397,40,26.315789473684216,0,38.21310386556742,1688505712.582
