energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2472,783,41,4.726368159203975,0,47.44071229015871,1699896559.43
2472,783,41,4.726368159203975,0,47.44071229015871,1699896559.43
2555,865,41,3.9408866995073843,0,47.45145379919291,1699896560.432
2555,865,41,3.9408866995073843,0,47.45145379919291,1699896560.432
2555,865,41,3.9408866995073843,0,47.45145379919291,1699896561.434
2555,865,41,3.9408866995073843,0,47.45145379919291,1699896561.434
2555,741,82,3.4567901234567877,0,47.445343950017495,1699896562.437
2555,741,82,3.4567901234567877,0,47.445343950017495,1699896562.437
2843,906,164,3.508771929824561,0,47.43834718725209,1699896563.44
2843,906,164,3.508771929824561,0,47.43834718725209,1699896563.44
2843,906,164,3.508771929824561,0,47.43834718725209,1699896564.443
2843,906,164,3.508771929824561,0,47.43834718725209,1699896564.443
2514,741,41,5.500000000000005,0,47.44120501993092,1699896565.446
2514,741,41,5.500000000000005,0,47.44120501993092,1699896565.446
2679,906,41,4.455445544554459,0,47.44810323674187,1699896566.449
2679,906,41,4.455445544554459,0,47.44810323674187,1699896566.449
2679,906,41,4.455445544554459,0,47.44810323674187,1699896567.452
2679,906,41,4.455445544554459,0,47.44810323674187,1699896567.452
2720,947,41,6.75,0,47.44692068528857,1699896568.455
2720,947,41,6.75,0,47.44692068528857,1699896568.455
2720,906,82,5.223880597014929,0,47.424353661721305,1699896569.458
2720,906,82,5.223880597014929,0,47.424353661721305,1699896569.458
2720,906,82,5.223880597014929,0,47.424353661721305,1699896570.46
2720,906,82,5.223880597014929,0,47.424353661721305,1699896570.46
2555,783,41,5.185185185185182,0,47.42553621317461,1699896571.463
2555,783,41,5.185185185185182,0,47.42553621317461,1699896571.463
2637,947,41,4.702970297029707,0,47.43085769471449,1699896572.466
2637,947,41,4.702970297029707,0,47.43085769471449,1699896572.466
2637,947,41,4.702970297029707,0,47.43085769471449,1699896573.469
2637,947,41,4.702970297029707,0,47.43085769471449,1699896573.469
3256,1358,41,31.127450980392158,0,44.78834792634675,1699896574.472
3256,1358,41,31.127450980392158,0,44.78834792634675,1699896574.472
3049,1236,82,27.500000000000004,0,44.1290754911284,1699896575.475
3049,1236,82,27.500000000000004,0,44.1290754911284,1699896575.475
3049,1236,82,27.500000000000004,0,44.1290754911284,1699896576.478
3049,1236,82,27.500000000000004,0,44.1290754911284,1699896576.478
3049,1236,41,28.287841191067,0,43.453740065335964,1699896577.481
3049,1236,41,28.287841191067,0,43.453740065335964,1699896577.481
3173,1275,41,28.287841191067,0,41.13643194662751,1699896578.484
3173,1275,41,28.287841191067,0,41.13643194662751,1699896578.484
3173,1275,41,28.287841191067,0,41.13643194662751,1699896579.487
3173,1275,41,28.287841191067,0,41.13643194662751,1699896579.487
3173,1318,82,46.984924623115575,0,40.798222230981864,1699896580.49
3173,1318,82,46.984924623115575,0,40.798222230981864,1699896580.49
3503,1604,41,26.61691542288557,0,40.210691250597435,1699896581.493
3503,1604,41,26.61691542288557,0,40.210691250597435,1699896581.493
3503,1604,41,26.61691542288557,0,40.210691250597435,1699896582.496
3503,1604,41,26.61691542288557,0,40.210691250597435,1699896582.496
2967,1112,41,28.109452736318406,0,39.57329601726525,1699896583.499
2967,1112,41,28.109452736318406,0,39.57329601726525,1699896583.499
3256,1524,41,28.817733990147786,0,38.19168173598553,1699896584.501
3256,1524,41,28.817733990147786,0,38.19168173598553,1699896584.501
3297,1442,41,28.179551122194514,0,37.53309912244828,1699896585.504
3297,1442,41,28.179551122194514,0,37.53309912244828,1699896585.504
