energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2584,848,40,5.48628428927681,0,56.8648164973974,1688505345.863
2584,848,40,5.48628428927681,0,56.8648164973974,1688505345.863
2588,807,40,4.987531172069826,2.3,56.86649178027384,1688505346.865
2588,807,40,4.987531172069826,2.3,56.86649178027384,1688505346.865
2588,807,40,4.987531172069826,2.3,56.86649178027384,1688505347.867
2588,807,40,4.987531172069826,2.3,56.86649178027384,1688505347.867
2507,808,40,5.721393034825873,0,56.871813267057824,1688505348.87
2507,808,40,5.721393034825873,0,56.871813267057824,1688505348.87
2507,808,40,5.721393034825873,0,56.871813267057824,1688505349.873
2507,808,40,5.721393034825873,0,56.871813267057824,1688505349.873
2507,767,40,5.198019801980203,0,56.8573269974792,1688505350.876
2507,767,40,5.198019801980203,0,56.8573269974792,1688505350.876
3129,1201,40,34.005037783375315,0,55.08862246416373,1688505351.879
3129,1201,40,34.005037783375315,0,55.08862246416373,1688505351.879
3129,1201,40,34.005037783375315,0,55.08862246416373,1688505352.882
3129,1201,40,34.005037783375315,0,55.08862246416373,1688505352.882
3210,1123,40,31.57894736842105,0,53.20944780705471,1688505353.885
3210,1123,40,31.57894736842105,0,53.20944780705471,1688505353.885
3134,1003,40,32.58706467661692,0,50.76560427453353,1688505354.888
3134,1003,40,32.58706467661692,0,50.76560427453353,1688505354.888
3134,1003,40,32.58706467661692,0,50.76560427453353,1688505355.891
3134,1003,40,32.58706467661692,0,50.76560427453353,1688505355.891
3134,1043,80,31.73803526448362,0,48.39419208990554,1688505356.894
3134,1043,80,31.73803526448362,0,48.39419208990554,1688505356.894
3134,922,80,29.72292191435768,9.4,45.558233818245604,1688505357.896
3134,922,80,29.72292191435768,9.4,45.558233818245604,1688505357.896
3134,922,80,29.72292191435768,9.4,45.558233818245604,1688505358.897
3134,922,80,29.72292191435768,9.4,45.558233818245604,1688505358.897
3094,1004,40,48.10126582278481,0,44.34877812750677,1688505359.9
3094,1004,40,48.10126582278481,0,44.34877812750677,1688505359.9
3094,1004,40,48.10126582278481,0,44.34877812750677,1688505360.903
3094,1004,40,48.10126582278481,0,44.34877812750677,1688505360.903
3520,1480,120,28.03970223325062,0,43.19490240984514,1688505361.905
3520,1480,120,28.03970223325062,0,43.19490240984514,1688505361.905
3405,1600,40,27.86069651741293,0,41.35898946936893,1688505362.908
3405,1600,40,27.86069651741293,0,41.35898946936893,1688505362.908
3405,1600,40,27.86069651741293,0,41.35898946936893,1688505363.91
3405,1600,40,27.86069651741293,0,41.35898946936893,1688505363.91
3440,1480,40,29.528535980148884,0,40.76603787716038,1688505364.913
3440,1480,40,29.528535980148884,0,40.76603787716038,1688505364.913
3405,1440,40,28.249999999999996,0,40.068134740045366,1688505365.915
3405,1440,40,28.249999999999996,0,40.068134740045366,1688505365.915
3405,1440,40,28.249999999999996,0,40.068134740045366,1688505366.916
3405,1440,40,28.249999999999996,0,40.068134740045366,1688505366.916
3365,1402,40,27.764127764127768,0,37.8324204684091,1688505367.92
3365,1402,40,27.764127764127768,0,37.8324204684091,1688505367.92
3325,1160,40,31.5136476426799,2.3,31.211702540714303,1688505368.923
3325,1160,40,31.5136476426799,2.3,31.211702540714303,1688505368.923
3325,1160,40,31.5136476426799,2.3,31.211702540714303,1688505369.925
3325,1160,40,31.5136476426799,2.3,31.211702540714303,1688505369.925
3674,1674,39,26.732673267326735,0,28.40422407795387,1688505370.926
3674,1674,39,26.732673267326735,0,28.40422407795387,1688505370.926
3594,1717,79,25.935162094763086,78.9,26.017931439541016,1688505371.929
3594,1717,79,25.935162094763086,78.9,26.017931439541016,1688505371.929
3594,1717,79,25.935162094763086,78.9,26.017931439541016,1688505372.932
3594,1717,79,25.935162094763086,78.9,26.017931439541016,1688505372.932
3674,1757,119,26.799007444168733,0,24.15166631518575,1688505373.935
3674,1757,119,26.799007444168733,0,24.15166631518575,1688505373.935
3520,1757,40,26,0,21.79749968957994,1688505374.938
3520,1757,40,26,0,21.79749968957994,1688505374.938
3520,1757,40,26,0,21.79749968957994,1688505375.941
3520,1757,40,26,0,21.79749968957994,1688505375.941
3520,1717,40,26.368159203980102,0,20.167646542905963,1688505376.944
3520,1717,40,26.368159203980102,0,20.167646542905963,1688505376.944
3520,1717,40,26.368159203980102,0,20.167646542905963,1688505377.947
3520,1717,40,26.368159203980102,0,20.167646542905963,1688505377.947
3520,1757,40,26.799007444168733,0,17.752381365335836,1688505378.95
3520,1757,40,26.799007444168733,0,17.752381365335836,1688505378.95
3560,1717,80,26.184538653366584,0,16.38190142635555,1688505379.952
3560,1717,80,26.184538653366584,0,16.38190142635555,1688505379.952
3560,1717,80,26.184538653366584,0,16.38190142635555,1688505380.955
3560,1717,80,26.184538653366584,0,16.38190142635555,1688505380.955
3560,1757,40,26.550868486352353,0,13.976490853940954,1688505381.958
3560,1757,40,26.550868486352353,0,13.976490853940954,1688505381.958
3708,1794,119,26.732673267326735,0,16.6360516933168,1688505382.961
3708,1794,119,26.732673267326735,0,16.6360516933168,1688505382.961
3708,1794,119,26.732673267326735,0,16.6360516933168,1688505383.964
3708,1794,119,26.732673267326735,0,16.6360516933168,1688505383.964
3560,1757,40,26,0,16.624620351336382,1688505384.967
3560,1757,40,26,0,16.624620351336382,1688505384.967
3560,1757,40,26.732673267326735,0,16.21102257295857,1688505385.97
3560,1757,40,26.732673267326735,0,16.21102257295857,1688505385.97
3560,1757,40,26.732673267326735,0,16.21102257295857,1688505386.972
3560,1757,40,26.732673267326735,0,16.21102257295857,1688505386.972
3594,1717,39,26.749999999999996,0,16.66433441011319,1688505387.975
3594,1717,39,26.749999999999996,0,16.66433441011319,1688505387.975
3554,1717,39,30.09950248756219,0,17.128979043196676,1688505388.978
3554,1717,39,30.09950248756219,0,17.128979043196676,1688505388.978
3554,1717,39,30.09950248756219,0,17.128979043196676,1688505389.981
3554,1717,39,30.09950248756219,0,17.128979043196676,1688505389.981
3520,1717,80,27.182044887780542,0,17.321340935832723,1688505390.984
3520,1717,80,27.182044887780542,0,17.321340935832723,1688505390.984
3405,1280,120,29.528535980148884,0.9,12.711258098021785,1688505391.987
3405,1280,120,29.528535980148884,0.9,12.711258098021785,1688505391.987
3405,1280,120,29.528535980148884,0.9,12.711258098021785,1688505392.989
3405,1280,120,29.528535980148884,0.9,12.711258098021785,1688505392.989
3520,1400,120,27.341772151898734,35.5,7.502015266754307,1688505393.992
3520,1400,120,27.341772151898734,35.5,7.502015266754307,1688505393.992
3520,1400,120,27.341772151898734,35.5,7.502015266754307,1688505394.996
3520,1400,120,27.341772151898734,35.5,7.502015266754307,1688505394.996
3634,1907,119,29.675810473815456,0,2.2351229953269462,1688505395.999
3634,1907,119,29.675810473815456,0,2.2351229953269462,1688505395.999
3394,1317,39,41.35338345864662,0,1.7271180995591051,1688505397.002
3394,1317,39,41.35338345864662,0,1.7271180995591051,1688505397.002
3394,1317,39,41.35338345864662,0,1.7271180995591051,1688505398.005
3394,1317,39,41.35338345864662,0,1.7271180995591051,1688505398.005
3440,1320,40,32.418952618453865,0.4,1.7714638227590136,1688505399.008
3440,1320,40,32.418952618453865,0.4,1.7714638227590136,1688505399.008
3901,1990,39,33.66834170854271,0,1.7115478234133594,1688505400.011
3901,1990,39,33.66834170854271,0,1.7115478234133594,1688505400.011
3901,1990,39,33.66834170854271,0,1.7115478234133594,1688505401.014
3901,1990,39,33.66834170854271,0,1.7115478234133594,1688505401.014
3520,1714,79,42.19512195121952,0,2.9990519869840373,1688505402.017
3520,1714,79,42.19512195121952,0,2.9990519869840373,1688505402.017
3520,1714,79,42.19512195121952,0,2.9990519869840373,1688505403.02
3520,1714,79,42.19512195121952,0,2.9990519869840373,1688505403.02
3440,1320,80,37.03703703703704,44.3,5.041714543623381,1688505404.023
3440,1320,80,37.03703703703704,44.3,5.041714543623381,1688505404.023
3250,1043,40,26.43391521197007,32.3,3.7822960047459784,1688505405.026
3250,1043,40,26.43391521197007,32.3,3.7822960047459784,1688505405.026
3250,1043,40,26.43391521197007,32.3,3.7822960047459784,1688505406.029
3250,1043,40,26.43391521197007,32.3,3.7822960047459784,1688505406.029
3480,1720,40,26.43391521197007,0,3.7688937417344497,1688505407.032
3480,1720,40,26.43391521197007,0,3.7688937417344497,1688505407.032
3708,1754,119,26.368159203980102,0,3.8868533654462065,1688505408.035
3708,1754,119,26.368159203980102,0,3.8868533654462065,1688505408.035
3708,1754,119,26.368159203980102,0,3.8868533654462065,1688505409.037
3708,1754,119,26.368159203980102,0,3.8868533654462065,1688505409.037
3405,1640,40,26.43391521197007,0,3.071976065134998,1688505410.04
3405,1640,40,26.43391521197007,0,3.071976065134998,1688505410.04
3405,1640,40,26.43391521197007,0,3.071976065134998,1688505411.043
3405,1640,40,26.43391521197007,0,3.071976065134998,1688505411.043
3560,1717,40,28.03970223325062,0,1.771660914862124,1688505412.046
3560,1717,40,28.03970223325062,0,1.771660914862124,1688505412.046
3440,1680,40,29.850746268656714,0,1.7702812701403492,1688505413.049
3440,1680,40,29.850746268656714,0,1.7702812701403492,1688505413.049
3440,1680,40,29.850746268656714,0,1.7702812701403492,1688505414.052
3440,1680,40,29.850746268656714,0,1.7702812701403492,1688505414.052
3440,1640,40,26.184538653366584,0,2.0381294382677972,1688505415.055
3440,1640,40,26.184538653366584,0,2.0381294382677972,1688505415.055
3594,1717,80,26,82.2,2.228421863821182,1688505416.058
3594,1717,80,26,82.2,2.228421863821182,1688505416.058
3594,1717,80,26,82.2,2.228421863821182,1688505417.061
3594,1717,80,26,82.2,2.228421863821182,1688505417.061
3560,1717,40,39.328537170263786,0,6.4223447259138675,1688505418.063
3560,1717,40,39.328537170263786,0,6.4223447259138675,1688505418.063
3560,1717,40,39.328537170263786,0,6.4223447259138675,1688505419.066
3560,1717,40,39.328537170263786,0,6.4223447259138675,1688505419.066
3170,1123,40,30.25,20.4,3.2797111418136806,1688505420.069
3170,1123,40,30.25,20.4,3.2797111418136806,1688505420.069
3170,1123,40,30.25,20.4,3.2797111418136806,1688505421.072
3170,1123,40,30.25,20.4,3.2797111418136806,1688505421.072
3480,1440,80,48.38709677419355,0,1.8707982427268086,1688505422.074
3480,1440,80,48.38709677419355,0,1.8707982427268086,1688505422.074
3480,1440,80,48.38709677419355,0,1.8707982427268086,1688505423.077
3480,1440,80,48.38709677419355,0,1.8707982427268086,1688505423.077
3440,1557,80,66.5158371040724,0,1.8449791772193063,1688505424.08
3440,1557,80,66.5158371040724,0,1.8449791772193063,1688505424.08
