energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2720,865,82,5.025125628140703,0,48.760242620139834,1699900893.478
2720,865,82,5.025125628140703,0,48.760242620139834,1699900893.478
2843,947,123,4.679802955665025,33.6,48.760242620139834,1699900894.48
2843,947,123,4.679802955665025,33.6,48.760242620139834,1699900894.48
2843,947,123,4.679802955665025,33.6,48.760242620139834,1699900895.483
2843,947,123,4.679802955665025,33.6,48.760242620139834,1699900895.483
2596,783,41,4.455445544554459,0,48.7601440741854,1699900896.486
2596,783,41,4.455445544554459,0,48.7601440741854,1699900896.486
2514,783,41,4.207920792079212,0,48.75551241432661,1699900897.489
2514,783,41,4.207920792079212,0,48.75551241432661,1699900897.489
2514,783,41,4.207920792079212,0,48.75551241432661,1699900898.492
2514,783,41,4.207920792079212,0,48.75551241432661,1699900898.492
2679,906,41,5.679012345679013,0,48.74743164606235,1699900899.494
2679,906,41,5.679012345679013,0,48.74743164606235,1699900899.494
2720,865,82,4.534005037783373,0,48.746544732472366,1699900900.497
2720,865,82,4.534005037783373,0,48.746544732472366,1699900900.497
2720,865,82,4.534005037783373,0,48.746544732472366,1699900901.501
2720,865,82,4.534005037783373,0,48.746544732472366,1699900901.501
2514,783,41,4.950495049504955,0,48.739252331843645,1699900902.504
2514,783,41,4.950495049504955,0,48.739252331843645,1699900902.504
2802,865,164,6.549118387909325,0,48.29303625012934,1699900903.507
2802,865,164,6.549118387909325,0,48.29303625012934,1699900903.507
2802,865,164,6.549118387909325,0,48.29303625012934,1699900904.509
2802,865,164,6.549118387909325,0,48.29303625012934,1699900904.509
3874,1851,41,28.46534653465347,0,45.386324777902054,1699900905.512
3874,1851,41,28.46534653465347,0,45.386324777902054,1699900905.512
3214,1277,123,26.249999999999996,11.6,44.74232696562224,1699900906.515
3214,1277,123,26.249999999999996,11.6,44.74232696562224,1699900906.515
3214,1277,123,26.249999999999996,11.6,44.74232696562224,1699900907.518
3214,1277,123,26.249999999999996,11.6,44.74232696562224,1699900907.518
3132,1318,41,28.179551122194514,0,44.09143093653148,1699900908.521
3132,1318,41,28.179551122194514,0,44.09143093653148,1699900908.521
3214,1277,41,35.338345864661655,0,43.19939295692063,1699900909.524
3214,1277,41,35.338345864661655,0,43.19939295692063,1699900909.524
3214,1277,41,35.338345864661655,0,43.19939295692063,1699900910.527
3214,1277,41,35.338345864661655,0,43.19939295692063,1699900910.527
3585,1522,164,26.749999999999996,0,42.64250976836774,1699900911.529
3585,1522,164,26.749999999999996,0,42.64250976836774,1699900911.529
3420,1483,41,27.431421446384043,0,42.00501598908111,1699900912.532
3420,1483,41,27.431421446384043,0,42.00501598908111,1699900912.532
3173,1236,164,26.932668329177055,0,40.724214219195765,1699900913.535
3173,1236,164,26.932668329177055,0,40.724214219195765,1699900913.535
3173,1236,164,26.932668329177055,0,40.724214219195765,1699900914.538
3173,1236,164,26.932668329177055,0,40.724214219195765,1699900914.538
3503,1607,41,29.396984924623116,0,40.13796433621909,1699900915.539
