energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3250,1280,40,40.38461538461539,0.0,1.762101947861255,1688504961.706
3250,1280,40,40.38461538461539,0.0,1.762101947861255,1688504961.706
3250,1280,40,40.38461538461539,0.0,1.762101947861255,1688504962.71
3250,1280,40,40.38461538461539,0.0,1.762101947861255,1688504962.71
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504963.712
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504963.712
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504964.713
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504964.713
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504965.714
4318,1505,752,63.27345309381238,0.0,1.9272651302680253,1688504965.714
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504966.716
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504966.716
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504967.719
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504967.719
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504968.722
3134,1043,40,45.78313253012048,0.0,1.916227972493826,1688504968.722
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504969.724
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504969.724
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504970.727
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504970.727
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504971.73
3827,1632,39,51.88284518828452,0.0,1.8582828941792788,1688504971.73
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504972.733
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504972.733
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504973.736
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504973.736
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504974.739
3325,1161,40,43.63636363636364,0.0,1.8558192428903952,1688504974.739
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504975.742
2741,764,40,45.861297539149895,40.3,1.7554993624070463,1688504975.742
