energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2782,805,40,69.28746928746929,27.9,3.739034288113178,1688504371.131
2782,805,40,69.28746928746929,27.9,3.739034288113178,1688504371.131
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504372.133
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504372.133
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504373.136
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504373.136
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504374.139
3747,1515,358,59.03890160183066,0.0,3.677738644045749,1688504374.139
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504375.142
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504375.142
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504376.145
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504376.145
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504377.148
3940,1592,119,52.03703703703704,0.0,3.916022996706591,1688504377.148
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504378.15
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504378.15
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504379.153
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504379.153
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504380.156
3827,1671,39,58.93909626719057,2.8,4.046103784759656,1688504380.156
3325,1280,40,75.08896797153025,1.9,4.251276664097899,1688504381.159
3325,1280,40,75.08896797153025,1.9,4.251276664097899,1688504381.159
3325,1280,40,75.08896797153025,1.9,4.251276664097899,1688504382.161
3325,1280,40,75.08896797153025,1.9,4.251276664097899,1688504382.161
4093,1907,198,28.10126582278481,37.9,4.966326814183536,1688504383.163
4093,1907,198,28.10126582278481,37.9,4.966326814183536,1688504383.163
3554,1557,239,42.462311557788944,45.1,4.462657944684131,1688504384.164
3554,1557,239,42.462311557788944,45.1,4.462657944684131,1688504384.164
3554,1557,239,42.462311557788944,45.1,4.462657944684131,1688504385.167
3554,1557,239,42.462311557788944,45.1,4.462657944684131,1688504385.167
3520,1360,80,33.08641975308642,9.4,4.568792042209245,1688504386.169
3520,1360,80,33.08641975308642,9.4,4.568792042209245,1688504386.169
3520,1360,80,33.08641975308642,9.4,4.568792042209245,1688504387.172
3520,1360,80,33.08641975308642,9.4,4.568792042209245,1688504387.172
3662,1632,199,31.909547738693465,21.7,4.712767823531615,1688504388.175
3662,1632,199,31.909547738693465,21.7,4.712767823531615,1688504388.175
3861,1711,238,29.441624365482237,32.8,4.45989865524058,1688504389.177
3861,1711,238,29.441624365482237,32.8,4.45989865524058,1688504389.177
3861,1711,238,29.441624365482237,32.8,4.45989865524058,1688504390.179
3861,1711,238,29.441624365482237,32.8,4.45989865524058,1688504390.179
3668,1634,239,30.864197530864203,36.3,4.447777490899272,1688504391.182
3668,1634,239,30.864197530864203,36.3,4.447777490899272,1688504391.182
3668,1634,239,30.864197530864203,36.3,4.447777490899272,1688504392.184
3668,1634,239,30.864197530864203,36.3,4.447777490899272,1688504392.184
3594,1597,199,32.418952618453865,42.8,4.540213687258192,1688504393.185
3594,1597,199,32.418952618453865,42.8,4.540213687258192,1688504393.185
3674,1634,239,32.0,26.6,4.434769412093965,1688504394.187
3674,1634,239,32.0,26.6,4.434769412093965,1688504394.187
3674,1634,239,32.0,26.6,4.434769412093965,1688504395.19
3674,1634,239,32.0,26.6,4.434769412093965,1688504395.19
3634,1594,159,29.39698492462312,47.4,4.445510931713499,1688504396.192
3634,1594,159,29.39698492462312,47.4,4.445510931713499,1688504396.192
3560,1597,159,30.07518796992481,8.4,4.442061819909061,1688504397.194
3560,1597,159,30.07518796992481,8.4,4.442061819909061,1688504397.194
3560,1597,159,30.07518796992481,8.4,4.442061819909061,1688504398.196
3560,1597,159,30.07518796992481,8.4,4.442061819909061,1688504398.196
3634,1674,159,29.39698492462312,2.5,4.4577306421063625,1688504399.199
3634,1674,159,29.39698492462312,2.5,4.4577306421063625,1688504399.199
3594,1637,199,29.42643391521197,43.8,4.524939049267114,1688504400.201
3594,1637,199,29.42643391521197,43.8,4.524939049267114,1688504400.201
3594,1637,199,29.42643391521197,43.8,4.524939049267114,1688504401.204
3594,1637,199,29.42643391521197,43.8,4.524939049267114,1688504401.204
3827,1791,199,28.39195979899497,33.7,4.653246008392182,1688504402.206
3827,1791,199,28.39195979899497,33.7,4.653246008392182,1688504402.206
3827,1791,199,28.39195979899497,33.7,4.653246008392182,1688504403.209
3827,1791,199,28.39195979899497,33.7,4.653246008392182,1688504403.209
3554,1677,119,29.25,38.5,4.660735508310389,1688504404.212
3554,1677,119,29.25,38.5,4.660735508310389,1688504404.212
3594,1637,159,29.000000000000004,44.0,4.648023067659748,1688504405.214
3594,1637,159,29.000000000000004,44.0,4.648023067659748,1688504405.214
3594,1637,159,29.000000000000004,44.0,4.648023067659748,1688504406.217
3594,1637,159,29.000000000000004,44.0,4.648023067659748,1688504406.217
3594,1677,119,28.000000000000004,18.9,4.623288008719355,1688504407.219
3594,1677,119,28.000000000000004,18.9,4.623288008719355,1688504407.219
