energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3405,1280,40,43.57142857142857,0.0,2.4960729398455195,1688505755.706
3405,1280,40,43.57142857142857,0.0,2.4960729398455195,1688505755.706
3405,1280,40,43.57142857142857,0.0,2.4960729398455195,1688505756.709
3405,1280,40,43.57142857142857,0.0,2.4960729398455195,1688505756.709
4652,1576,867,71.29909365558913,0.0,2.3493378690796,1688505757.712
4652,1576,867,71.29909365558913,0.0,2.3493378690796,1688505757.712
4652,1576,867,71.29909365558913,0.0,2.3493378690796,1688505758.715
4652,1576,867,71.29909365558913,0.0,2.3493378690796,1688505758.715
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505759.718
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505759.718
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505760.721
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505760.721
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505761.724
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505761.724
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505762.727
3440,1240,120,49.64871194379391,0.0,2.2976011920130395,1688505762.727
3940,1671,119,68.47345132743364,0.0,2.3563346387400297,1688505763.73
3940,1671,119,68.47345132743364,0.0,2.3563346387400297,1688505763.73
3940,1671,119,68.47345132743364,0.0,2.3563346387400297,1688505764.733
3940,1671,119,68.47345132743364,0.0,2.3563346387400297,1688505764.733
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505765.736
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505765.736
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505766.739
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505766.739
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505767.742
3480,1240,80,51.89309576837417,0.0,2.4980438608766264,1688505767.742
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505768.744
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505768.744
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505769.746
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505769.746
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505770.748
3445,1200,80,72.50509164969449,13.8,2.418418651219901,1688505770.748
3634,1357,120,53.51239669421488,34.5,2.15934108168088,1688505771.751
3634,1357,120,53.51239669421488,34.5,2.15934108168088,1688505771.751
3634,1357,120,53.51239669421488,34.5,2.15934108168088,1688505772.752
3634,1357,120,53.51239669421488,34.5,2.15934108168088,1688505772.752
4762,1574,708,25.563909774436087,6.0,2.390727210732848,1688505773.755
4762,1574,708,25.563909774436087,6.0,2.390727210732848,1688505773.755
4864,1876,705,30.673316708229425,22.8,2.388854835753296,1688505774.756
4864,1876,705,30.673316708229425,22.8,2.388854835753296,1688505774.756
4864,1876,705,30.673316708229425,22.8,2.388854835753296,1688505775.759
4864,1876,705,30.673316708229425,22.8,2.388854835753296,1688505775.759
4620,1776,592,54.7677261613692,75.6,2.483064861040213,1688505776.761
4620,1776,592,54.7677261613692,75.6,2.483064861040213,1688505776.761
4620,1776,592,54.7677261613692,75.6,2.483064861040213,1688505777.764
4620,1776,592,54.7677261613692,75.6,2.483064861040213,1688505777.764
4238,1545,595,34.413965087281795,33.0,2.57599378765691,1688505778.767
4238,1545,595,34.413965087281795,33.0,2.57599378765691,1688505778.767
4166,1505,673,24.17302798982188,54.6,2.529480051322784,1688505779.769
4166,1505,673,24.17302798982188,54.6,2.529480051322784,1688505779.769
4166,1505,673,24.17302798982188,54.6,2.529480051322784,1688505780.772
4166,1505,673,24.17302798982188,54.6,2.529480051322784,1688505780.772
4278,1616,553,33.25,14.9,2.3839275331755285,1688505781.774
4278,1616,553,33.25,14.9,2.3839275331755285,1688505781.774
4278,1616,553,33.25,14.9,2.3839275331755285,1688505782.776
4278,1616,553,33.25,14.9,2.3839275331755285,1688505782.776
4166,1547,516,25.935162094763086,43.6,2.366681974153342,1688505783.779
4166,1547,516,25.935162094763086,43.6,2.366681974153342,1688505783.779
4014,1547,476,24.87562189054726,49.0,2.369835447803113,1688505784.782
4014,1547,476,24.87562189054726,49.0,2.369835447803113,1688505784.782
4014,1547,476,24.87562189054726,49.0,2.369835447803113,1688505785.784
4014,1547,476,24.87562189054726,49.0,2.369835447803113,1688505785.784
4652,2125,473,25.92592592592593,50.9,2.91164163925444,1688505786.786
4652,2125,473,25.92592592592593,50.9,2.91164163925444,1688505786.786
4652,2125,473,25.92592592592593,50.9,2.91164163925444,1688505787.788
4652,2125,473,25.92592592592593,50.9,2.91164163925444,1688505787.788
