energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3379,1401,164,31.06060606060605,11.8,8.206217264265758,1699900975.708
3379,1401,164,31.06060606060605,11.8,8.206217264265758,1699900975.708
3379,1401,164,31.06060606060605,11.8,8.206217264265758,1699900976.711
3379,1401,164,31.06060606060605,11.8,8.206217264265758,1699900976.711
3750,1769,123,31.421446384039896,7.7,8.20582308044799,1699900977.713
3750,1769,123,31.421446384039896,7.7,8.20582308044799,1699900977.713
3791,1810,123,29.69543147208121,6.3,8.207005631901296,1699900978.715
3791,1810,123,29.69543147208121,6.3,8.207005631901296,1699900978.715
3791,1810,123,29.69543147208121,6.3,8.207005631901296,1699900979.717
3791,1810,123,29.69543147208121,6.3,8.207005631901296,1699900979.717
3791,1851,123,30.75,6.5,8.202078334179186,1699900980.72
3791,1851,123,30.75,6.5,8.202078334179186,1699900980.72
4238,1851,288,31.01736972704715,6.4,8.13920601524506,1699900981.722
4238,1851,288,31.01736972704715,6.4,8.13920601524506,1699900981.722
4238,1851,288,31.01736972704715,6.4,8.13920601524506,1699900982.723
4238,1851,288,31.01736972704715,6.4,8.13920601524506,1699900982.723
3833,1851,164,30.59701492537313,6.1,8.130435425299703,1699900983.724
3833,1851,164,30.59701492537313,6.1,8.130435425299703,1699900983.724
3791,1851,123,30.42394014962594,3.5,8.135461268976256,1699900984.725
3791,1851,123,30.42394014962594,3.5,8.135461268976256,1699900984.725
3791,1851,123,28.49872773536896,7.8,8.127380500711995,1699900985.727
3791,1851,123,28.49872773536896,7.8,8.127380500711995,1699900985.727
3791,1851,123,28.49872773536896,7.8,8.127380500711995,1699900986.73
3791,1851,123,28.49872773536896,7.8,8.127380500711995,1699900986.73
3750,1851,123,29.648241206030143,2.2,8.122059019172115,1699900987.731
3750,1851,123,29.648241206030143,2.2,8.122059019172115,1699900987.731
3791,1851,123,30.000000000000004,5.6,8.124227030169843,1699900988.732
3791,1851,123,30.000000000000004,5.6,8.124227030169843,1699900988.732
3791,1851,123,30.000000000000004,5.6,8.124227030169843,1699900989.734
3791,1851,123,30.000000000000004,5.6,8.124227030169843,1699900989.734
3833,1810,164,28.894472361809044,9.2,8.131716522707451,1699900990.736
3833,1810,164,28.894472361809044,9.2,8.131716522707451,1699900990.736
3750,1851,82,28.57142857142857,9.2,8.129745603618607,1699900991.737
3750,1851,82,28.57142857142857,9.2,8.129745603618607,1699900991.737
3750,1851,82,28.57142857142857,9.2,8.129745603618607,1699900992.738
3750,1851,82,28.57142857142857,9.2,8.129745603618607,1699900992.738
3750,1851,82,30.272952853598014,9.2,8.132800528206316,1699900993.74
3750,1851,82,30.272952853598014,9.2,8.132800528206316,1699900993.74
3833,1892,82,28.57142857142857,11.3,8.125311035668709,1699900994.742
3833,1892,82,28.57142857142857,11.3,8.125311035668709,1699900994.742
3833,1892,82,28.57142857142857,11.3,8.125311035668709,1699900995.743
3833,1892,82,28.57142857142857,11.3,8.125311035668709,1699900995.743
3791,1892,82,28.030303030303028,9.2,8.128760144074185,1699900996.745
3791,1892,82,28.030303030303028,9.2,8.128760144074185,1699900996.745
3833,1851,123,28.32080200501253,9.1,8.126099403304247,1699900997.746
3833,1851,123,28.32080200501253,9.1,8.126099403304247,1699900997.746
3833,1851,123,28.32080200501253,9.1,8.126099403304247,1699900998.747
3833,1851,123,28.32080200501253,9.1,8.126099403304247,1699900998.747
3750,1851,82,28.6783042394015,0.0,8.11112041822903,1699900999.748
3750,1851,82,28.6783042394015,0.0,8.11112041822903,1699900999.748
3791,1851,82,28.75,3.7,8.115653532133372,1699901000.75
3791,1851,82,28.75,3.7,8.115653532133372,1699901000.75
3791,1892,82,29.104477611940293,0.0,8.11732881335889,1699901001.751
3791,1892,82,29.104477611940293,0.0,8.11732881335889,1699901001.751
3791,1892,82,29.104477611940293,0.0,8.11732881335889,1699901002.754
3791,1892,82,29.104477611940293,0.0,8.11732881335889,1699901002.754
3750,1851,82,28.428927680798,9.2,8.105109115008057,1699901003.757
3750,1851,82,28.428927680798,9.2,8.105109115008057,1699901003.757
3833,1851,123,28.25,9.2,8.109642228912397,1699901004.759
3833,1851,123,28.25,9.2,8.109642228912397,1699901004.759
3833,1851,123,28.25,9.2,8.109642228912397,1699901005.761
3833,1851,123,28.25,9.2,8.109642228912397,1699901005.761
3791,1892,82,28.855721393034827,0.0,8.11870845672108,1699901006.764
3791,1892,82,28.855721393034827,0.0,8.11870845672108,1699901006.764
3833,1934,82,28.75,5.6,8.121763381308789,1699901007.767
3833,1934,82,28.75,5.6,8.121763381308789,1699901007.767
3833,1934,82,28.75,5.6,8.121763381308789,1699901008.769
3833,1934,82,28.75,5.6,8.121763381308789,1699901008.769
3791,1934,82,28.71287128712872,9.2,8.109050953185744,1699901009.77
3791,1934,82,28.71287128712872,9.2,8.109050953185744,1699901009.77
3750,1851,82,28.358208955223883,4.4,8.128563052165301,1699901010.773
3750,1851,82,28.358208955223883,4.4,8.128563052165301,1699901010.773
3874,1851,123,27.63819095477387,0.0,8.112992791363432,1699901011.775
3874,1851,123,27.63819095477387,0.0,8.112992791363432,1699901011.775
3874,1851,123,27.63819095477387,0.0,8.112992791363432,1699901012.776
3874,1851,123,27.63819095477387,0.0,8.112992791363432,1699901012.776
3750,1851,82,28.60696517412935,9.1,8.111416056092358,1699901013.779
3750,1851,82,28.60696517412935,9.1,8.111416056092358,1699901013.779
3791,1851,82,28.358208955223883,0.0,8.112204423727896,1699901014.781
3791,1851,82,28.358208955223883,0.0,8.112204423727896,1699901014.781
3791,1851,82,28.358208955223883,0.0,8.112204423727896,1699901015.784
3791,1851,82,28.358208955223883,0.0,8.112204423727896,1699901015.784
3750,1851,82,27.81954887218045,18.0,8.107178580051343,1699901016.786
3750,1851,82,27.81954887218045,18.0,8.107178580051343,1699901016.786
3750,1851,82,27.0,0.0,8.116737537632236,1699901017.789
3750,1851,82,27.0,0.0,8.116737537632236,1699901017.789
3750,1851,82,27.0,0.0,8.116737537632236,1699901018.79
3750,1851,82,27.0,0.0,8.116737537632236,1699901018.79
