energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4087,1545,555,24.68827930174564,84.3,1.97870616917992,1688506486.434
4087,1545,555,24.68827930174564,84.3,1.97870616917992,1688506486.434
4166,1547,555,26.354679802955665,24.2,1.968851564024384,1688506487.437
4166,1547,555,26.354679802955665,24.2,1.968851564024384,1688506487.437
4166,1547,555,26.354679802955665,24.2,1.968851564024384,1688506488.439
4166,1547,555,26.354679802955665,24.2,1.968851564024384,1688506488.439
4350,1426,791,25.062656641604008,46.6,1.981366912571914,1688506489.442
4350,1426,791,25.062656641604008,46.6,1.981366912571914,1688506489.442
4429,1500,906,24.685138539042818,63.3,1.9863927612012369,1688506490.444
4429,1500,906,24.685138539042818,63.3,1.9863927612012369,1688506490.444
4429,1500,906,24.685138539042818,63.3,1.9863927612012369,1688506491.447
4429,1500,906,24.685138539042818,63.3,1.9863927612012369,1688506491.447
4350,1463,870,26.368159203980102,38.8,1.9349517222893429,1688506492.45
4350,1463,870,26.368159203980102,38.8,1.9349517222893429,1688506492.45
4350,1463,870,26.368159203980102,38.8,1.9349517222893429,1688506493.452
4350,1463,870,26.368159203980102,38.8,1.9349517222893429,1688506493.452
4318,1500,713,25.313283208020053,29.6,2.0873039179939177,1688506494.453
4318,1500,713,25.313283208020053,29.6,2.0873039179939177,1688506494.453
4501,1545,672,25.310173697270464,5.0,1.960869333848401,1688506495.457
4501,1545,672,25.310173697270464,5.0,1.960869333848401,1688506495.457
4501,1545,672,25.310173697270464,5.0,1.960869333848401,1688506496.46
4501,1545,672,25.310173697270464,5.0,1.960869333848401,1688506496.46
4238,1505,673,24.93765586034913,15.2,1.9289404131444663,1688506497.463
4238,1505,673,24.93765586034913,15.2,1.9289404131444663,1688506497.463
4093,1465,555,25.742574257425744,17.4,1.9216480053293703,1688506498.465
4093,1465,555,25.742574257425744,17.4,1.9216480053293703,1688506498.465
4093,1465,555,25.742574257425744,17.4,1.9216480053293703,1688506499.468
4093,1465,555,25.742574257425744,17.4,1.9216480053293703,1688506499.468
