energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3791,1892,82,27.22772277227723,0.0,5.917093288527773,1699894670.374
3791,1892,82,27.22772277227723,0.0,5.917093288527773,1699894670.374
3833,1934,82,28.46347607052897,21.1,5.928327527334184,1699894671.377
3833,1934,82,28.46347607052897,21.1,5.928327527334184,1699894671.377
3791,1769,123,32.1608040201005,9.3,5.919359845479944,1699894672.378
3791,1769,123,32.1608040201005,9.3,5.919359845479944,1699894672.378
3791,1810,123,31.155778894472363,9.3,5.920443850978808,1699894673.381
3791,1810,123,31.155778894472363,9.3,5.920443850978808,1699894673.381
3791,1810,123,31.155778894472363,9.3,5.920443850978808,1699894674.383
3791,1810,123,31.155778894472363,9.3,5.920443850978808,1699894674.383
3791,1810,123,30.65326633165829,3.0,5.922020586249883,1699894675.386
3791,1810,123,30.65326633165829,3.0,5.922020586249883,1699894675.386
3833,1851,164,30.25,3.1,5.909012520263512,1699894676.389
3833,1851,164,30.25,3.1,5.909012520263512,1699894676.389
3833,1851,164,30.25,3.1,5.909012520263512,1699894677.391
3833,1851,164,30.25,3.1,5.909012520263512,1699894677.391
3791,1810,82,29.82456140350877,0.6,5.922020586249883,1699894678.393
3791,1810,82,29.82456140350877,0.6,5.922020586249883,1699894678.393
3791,1810,123,28.787878787878785,8.9,5.918571477844406,1699894679.396
3791,1810,123,28.787878787878785,8.9,5.918571477844406,1699894679.396
3791,1810,123,28.787878787878785,8.9,5.918571477844406,1699894680.399
3791,1810,123,28.787878787878785,8.9,5.918571477844406,1699894680.399
3750,1810,123,29.75,2.2,5.903592492769191,1699894681.402
3750,1810,123,29.75,2.2,5.903592492769191,1699894681.402
3750,1851,123,29.2191435768262,7.6,5.919064207616617,1699894682.404
3750,1851,123,29.2191435768262,7.6,5.919064207616617,1699894682.404
3750,1851,123,29.2191435768262,7.6,5.919064207616617,1699894683.407
3750,1851,123,29.2191435768262,7.6,5.919064207616617,1699894683.407
3791,1851,82,28.643216080402013,0.0,5.911476169124567,1699894684.409
3791,1851,82,28.643216080402013,0.0,5.911476169124567,1699894684.409
3915,1851,164,28.894472361809044,7.6,5.904577952313613,1699894685.412
3915,1851,164,28.894472361809044,7.6,5.904577952313613,1699894685.412
3915,1851,164,28.894472361809044,7.6,5.904577952313613,1699894686.414
3915,1851,164,28.894472361809044,7.6,5.904577952313613,1699894686.414
3750,1851,82,29.35323383084577,9.2,5.906056141630246,1699894687.416
3750,1851,82,29.35323383084577,9.2,5.906056141630246,1699894687.416
3791,1851,82,28.35443037974683,9.2,5.9033954008603065,1699894688.418
3791,1851,82,28.35443037974683,9.2,5.9033954008603065,1699894688.418
3791,1851,82,28.35443037974683,9.2,5.9033954008603065,1699894689.42
3791,1851,82,28.35443037974683,9.2,5.9033954008603065,1699894689.42
3833,1769,164,28.500000000000004,9.2,5.905267773994708,1699894690.423
3833,1769,164,28.500000000000004,9.2,5.905267773994708,1699894690.423
3791,1851,82,28.643216080402013,2.6,5.904479406359171,1699894691.425
3791,1851,82,28.643216080402013,2.6,5.904479406359171,1699894691.425
3791,1851,82,28.643216080402013,2.6,5.904479406359171,1699894692.428
3791,1851,82,28.643216080402013,2.6,5.904479406359171,1699894692.428
3833,1851,82,28.07017543859649,4.4,5.904183768495844,1699894693.43
3833,1851,82,28.07017543859649,4.4,5.904183768495844,1699894693.43
3791,1892,82,28.75,1.4,5.915023823484487,1699894694.432
3791,1892,82,28.75,1.4,5.915023823484487,1699894694.432
3791,1892,82,28.75,1.4,5.915023823484487,1699894695.434
3791,1892,82,28.75,1.4,5.915023823484487,1699894695.434
3750,1892,82,28.927680798004985,9.8,5.905464865903593,1699894696.436
3750,1892,82,28.927680798004985,9.8,5.905464865903593,1699894696.436
3791,1851,82,28.358208955223883,3.7,5.908224152627974,1699894697.439
3791,1851,82,28.358208955223883,3.7,5.908224152627974,1699894697.439
3791,1851,82,28.358208955223883,3.7,5.908224152627974,1699894698.441
3791,1851,82,28.358208955223883,3.7,5.908224152627974,1699894698.441
3956,1851,164,28.179551122194518,3.5,5.905957595675804,1699894699.444
3956,1851,164,28.179551122194518,3.5,5.905957595675804,1699894699.444
3791,1851,82,28.855721393034827,1.6,5.920443850978808,1699894700.447
3791,1851,82,28.855721393034827,1.6,5.920443850978808,1699894700.447
3750,1851,82,28.25,0.0,5.915516553256698,1699894701.45
3750,1851,82,28.25,0.0,5.915516553256698,1699894701.45
3750,1851,82,28.25,0.0,5.915516553256698,1699894702.452
3750,1851,82,28.25,0.0,5.915516553256698,1699894702.452
3750,1851,164,28.428927680798,4.9,5.918867115707732,1699894703.457
3750,1851,164,28.428927680798,4.9,5.918867115707732,1699894703.457
3791,1851,82,28.53598014888338,0.0,5.911574715079009,1699894704.459
3791,1851,82,28.53598014888338,0.0,5.911574715079009,1699894704.459
3791,1851,82,28.53598014888338,0.0,5.911574715079009,1699894705.461
3791,1851,82,28.53598014888338,0.0,5.911574715079009,1699894705.461
3791,1851,82,29.000000000000004,0.0,5.898960832910407,1699894706.463
3791,1851,82,29.000000000000004,0.0,5.898960832910407,1699894706.463
3791,1851,82,28.71287128712872,0.0,5.899946292454829,1699894707.465
3791,1851,82,28.71287128712872,0.0,5.899946292454829,1699894707.465
3791,1851,82,28.71287128712872,0.0,5.899946292454829,1699894708.468
3791,1851,82,28.71287128712872,0.0,5.899946292454829,1699894708.468
3791,1892,82,28.000000000000004,9.1,5.899157924819291,1699894709.47
3791,1892,82,28.000000000000004,9.1,5.899157924819291,1699894709.47
3791,1851,82,28.784119106699755,2.2,5.904085222541402,1699894710.473
3791,1851,82,28.784119106699755,2.2,5.904085222541402,1699894710.473
3791,1851,82,28.784119106699755,2.2,5.904085222541402,1699894711.476
3791,1851,82,28.784119106699755,2.2,5.904085222541402,1699894711.476
3750,1892,82,27.38693467336684,9.3,5.906450325448014,1699894712.478
3750,1892,82,27.38693467336684,9.3,5.906450325448014,1699894712.478
3791,1851,82,27.56892230576441,0.0,5.906844509265784,1699894713.481
3791,1851,82,27.56892230576441,0.0,5.906844509265784,1699894713.481
3791,1851,82,27.56892230576441,0.0,5.906844509265784,1699894714.484
3791,1851,82,27.56892230576441,0.0,5.906844509265784,1699894714.484
3791,1851,82,28.428927680798,0.0,5.898763741001522,1699894715.487
3791,1851,82,28.428927680798,0.0,5.898763741001522,1699894715.487
3791,1851,82,28.287841191067,1.6,5.904282314450287,1699894716.489
3791,1851,82,28.287841191067,1.6,5.904282314450287,1699894716.489
3791,1851,82,28.287841191067,1.6,5.904282314450287,1699894717.492
3791,1851,82,28.287841191067,1.6,5.904282314450287,1699894717.492
3750,1851,82,28.000000000000004,0.0,5.9146296396667175,1699894718.495
3750,1851,82,28.000000000000004,0.0,5.9146296396667175,1699894718.495
3833,1851,82,28.287841191067,13.2,5.915713645165582,1699894719.497
3833,1851,82,28.287841191067,13.2,5.915713645165582,1699894719.497
3833,1851,82,28.287841191067,13.2,5.915713645165582,1699894720.5
3833,1851,82,28.287841191067,13.2,5.915713645165582,1699894720.5
3791,1851,82,27.930174563591027,9.2,5.91206744485122,1699894721.503
3791,1851,82,27.930174563591027,9.2,5.91206744485122,1699894721.503
3750,1851,82,28.109452736318406,0.0,5.9038881306325175,1699894722.505
3750,1851,82,28.109452736318406,0.0,5.9038881306325175,1699894722.505
3833,1851,82,27.611940298507463,5.5,5.90309976299698,1699894723.508
3833,1851,82,27.611940298507463,5.5,5.90309976299698,1699894723.508
3833,1851,82,27.611940298507463,5.5,5.90309976299698,1699894724.511
3833,1851,82,27.611940298507463,5.5,5.90309976299698,1699894724.511
3750,1892,82,28.000000000000004,0.0,5.909997979807934,1699894725.513
3750,1892,82,28.000000000000004,0.0,5.909997979807934,1699894725.513
3791,1851,82,28.179551122194518,0.0,5.912363082714546,1699894726.516
3791,1851,82,28.179551122194518,0.0,5.912363082714546,1699894726.516
3791,1851,82,28.179551122194518,0.0,5.912363082714546,1699894727.519
3791,1851,82,28.179551122194518,0.0,5.912363082714546,1699894727.519
3750,1851,82,28.25,2.3,5.9034939468147485,1699894728.521
3750,1851,82,28.25,2.3,5.9034939468147485,1699894728.521
3750,1851,82,27.68079800498753,3.8,5.897876827411543,1699894729.524
3750,1851,82,27.68079800498753,3.8,5.897876827411543,1699894729.524
3750,1851,82,27.68079800498753,3.8,5.897876827411543,1699894730.527
3750,1851,82,27.68079800498753,3.8,5.897876827411543,1699894730.527
3791,1851,82,27.06766917293233,0.0,5.895905908322699,1699894731.529
3791,1851,82,27.06766917293233,0.0,5.895905908322699,1699894731.529
