energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3594,1677,119,29.177057356608483,0.7,5.132968187363637,1688504435.284
3594,1677,119,29.177057356608483,0.7,5.132968187363637,1688504435.284
3594,1677,119,29.177057356608483,0.7,5.132968187363637,1688504436.287
3594,1677,119,29.177057356608483,0.7,5.132968187363637,1688504436.287
3634,1557,239,32.00992555831266,15.1,5.127252516373426,1688504437.289
3634,1557,239,32.00992555831266,15.1,5.127252516373426,1688504437.289
3634,1557,239,32.00992555831266,15.1,5.127252516373426,1688504438.29
3634,1557,239,32.00992555831266,15.1,5.127252516373426,1688504438.29
3674,1634,199,30.57644110275689,23.1,5.13099726633253,1688504439.293
3674,1634,199,30.57644110275689,23.1,5.13099726633253,1688504439.293
3594,1597,199,30.126582278481017,9.2,5.130603082126309,1688504440.294
3594,1597,199,30.126582278481017,9.2,5.130603082126309,1688504440.294
3594,1597,199,30.126582278481017,9.2,5.130603082126309,1688504441.297
3594,1597,199,30.126582278481017,9.2,5.130603082126309,1688504441.297
3634,1597,199,30.84577114427861,32.3,5.108627312629465,1688504442.3
3634,1597,199,30.84577114427861,32.3,5.108627312629465,1688504442.3
3634,1597,199,30.000000000000004,28.6,5.114342983619675,1688504443.302
3634,1597,199,30.000000000000004,28.6,5.114342983619675,1688504443.302
3634,1597,199,30.000000000000004,28.6,5.114342983619675,1688504444.305
3634,1597,199,30.000000000000004,28.6,5.114342983619675,1688504444.305
3594,1557,199,30.59701492537313,15.6,5.125380141393874,1688504445.308
3594,1557,199,30.59701492537313,15.6,5.125380141393874,1688504445.308
3594,1557,199,30.59701492537313,15.6,5.125380141393874,1688504446.31
3594,1557,199,30.59701492537313,15.6,5.125380141393874,1688504446.31
3634,1634,159,30.17456359102244,2.5,5.120452838816108,1688504447.311
3634,1634,159,30.17456359102244,2.5,5.120452838816108,1688504447.311
3634,1637,159,32.25,25.5,5.02072423464209,1688504448.314
3634,1637,159,32.25,25.5,5.02072423464209,1688504448.314
3634,1637,159,32.25,25.5,5.02072423464209,1688504449.317
3634,1637,159,32.25,25.5,5.02072423464209,1688504449.317
3594,1634,159,30.25,44.1,5.028410826663408,1688504450.319
3594,1634,159,30.25,44.1,5.028410826663408,1688504450.319
3588,1632,159,29.500000000000004,6.3,5.023187885930974,1688504451.32
3588,1632,159,29.500000000000004,6.3,5.023187885930974,1688504451.32
3588,1632,159,29.500000000000004,6.3,5.023187885930974,1688504452.322
3588,1632,159,29.500000000000004,6.3,5.023187885930974,1688504452.322
3634,1677,159,28.860759493670884,8.4,5.0141216491878815,1688504453.324
3634,1677,159,28.860759493670884,8.4,5.0141216491878815,1688504453.324
3634,1677,159,28.860759493670884,8.4,5.0141216491878815,1688504454.325
3634,1677,159,28.860759493670884,8.4,5.0141216491878815,1688504454.325
3594,1637,159,29.82456140350877,31.7,5.020231504384314,1688504455.326
3594,1637,159,29.82456140350877,31.7,5.020231504384314,1688504455.326
3674,1714,159,29.702970297029708,12.6,5.0301846555914045,1688504456.327
3674,1714,159,29.702970297029708,12.6,5.0301846555914045,1688504456.327
3674,1714,159,29.702970297029708,12.6,5.0301846555914045,1688504457.328
3674,1714,159,29.702970297029708,12.6,5.0301846555914045,1688504457.328
3634,1677,159,29.601990049751247,0.4,5.023582070137196,1688504458.33
3634,1677,159,29.601990049751247,0.4,5.023582070137196,1688504458.33
3634,1674,199,28.894472361809044,31.8,5.008405978197671,1688504459.332
3634,1674,199,28.894472361809044,31.8,5.008405978197671,1688504459.332
3634,1674,199,28.894472361809044,31.8,5.008405978197671,1688504460.335
3634,1674,199,28.894472361809044,31.8,5.008405978197671,1688504460.335
3634,1674,159,29.42643391521197,32.9,5.025651537219858,1688504461.337
3634,1674,159,29.42643391521197,32.9,5.025651537219858,1688504461.337
