energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4093,1666,436,24.93765586034913,29.3,1.824087414289572,1688505868.964
4093,1666,436,24.93765586034913,29.3,1.824087414289572,1688505868.964
4093,1666,436,24.93765586034913,29.3,1.824087414289572,1688505869.967
4093,1666,436,24.93765586034913,29.3,1.824087414289572,1688505869.967
4469,1463,752,23.40966921119593,30.3,1.832858012877998,1688505870.969
4469,1463,752,23.40966921119593,30.3,1.832858012877998,1688505870.969
4469,1463,752,23.40966921119593,30.3,1.832858012877998,1688505871.971
4469,1463,752,23.40966921119593,30.3,1.832858012877998,1688505871.971
4318,1502,751,24.120603015075385,81.9,1.7854573620798735,1688505872.974
4318,1502,751,24.120603015075385,81.9,1.7854573620798735,1688505872.974
4166,1463,713,24.623115577889443,11.1,1.782796618687879,1688505873.976
4166,1463,713,24.623115577889443,11.1,1.782796618687879,1688505873.976
4166,1463,713,24.623115577889443,11.1,1.782796618687879,1688505874.978
4166,1463,713,24.623115577889443,11.1,1.782796618687879,1688505874.978
4318,1505,634,25.373134328358205,78.1,1.7873297370594252,1688505875.981
4318,1505,634,25.373134328358205,78.1,1.7873297370594252,1688505875.981
4318,1505,634,25.373134328358205,78.1,1.7873297370594252,1688505876.983
4318,1505,634,25.373134328358205,78.1,1.7873297370594252,1688505876.983
4238,1505,595,26.16136919315404,66.1,1.7057336063715935,1688505877.985
4238,1505,595,26.16136919315404,66.1,1.7057336063715935,1688505877.985
4159,1505,673,31.829573934837097,35.4,1.8358143944246588,1688505878.987
4159,1505,673,31.829573934837097,35.4,1.8358143944246588,1688505878.987
4159,1505,673,31.829573934837097,35.4,1.8358143944246588,1688505879.99
4159,1505,673,31.829573934837097,35.4,1.8358143944246588,1688505879.99
4238,1507,595,24.12935323383084,0.4,1.7943265067198553,1688505880.992
4238,1507,595,24.12935323383084,0.4,1.7943265067198553,1688505880.992
4087,1470,595,24.938271604938265,11.2,1.784176263409654,1688505881.995
4087,1470,595,24.938271604938265,11.2,1.784176263409654,1688505881.995
4087,1470,595,24.938271604938265,11.2,1.784176263409654,1688505882.997
4087,1470,595,24.938271604938265,11.2,1.784176263409654,1688505882.997
4166,1507,555,23.67758186397985,56.4,1.7807271516052166,1688505884.0
4166,1507,555,23.67758186397985,56.4,1.7807271516052166,1688505884.0
4166,1507,555,23.67758186397985,56.4,1.7807271516052166,1688505885.002
4166,1507,555,23.67758186397985,56.4,1.7807271516052166,1688505885.002
4206,1547,515,22.97979797979798,49.9,1.800732000070953,1688505886.005
4206,1547,515,22.97979797979798,49.9,1.800732000070953,1688505886.005
4087,1507,555,23.94014962593516,43.4,1.7888079278327558,1688505887.008
4087,1507,555,23.94014962593516,43.4,1.7888079278327558,1688505887.008
4087,1507,555,23.94014962593516,43.4,1.7888079278327558,1688505888.01
4087,1507,555,23.94014962593516,43.4,1.7888079278327558,1688505888.01
4166,1547,555,23.67758186397985,0.0,1.8188644735571375,1688505889.013
4166,1547,555,23.67758186397985,0.0,1.8188644735571375,1688505889.013
4166,1547,555,23.67758186397985,0.0,1.8188644735571375,1688505890.015
4166,1547,555,23.67758186397985,0.0,1.8188644735571375,1688505890.015
4053,1550,437,24.250000000000004,90.3,1.7932425001527463,1688505891.018
4053,1550,437,24.250000000000004,90.3,1.7932425001527463,1688505891.018
4093,1587,515,24.438902743142144,0.0,1.8017174605865067,1688505892.021
4093,1587,515,24.438902743142144,0.0,1.8017174605865067,1688505892.021
4093,1587,515,24.438902743142144,0.0,1.8017174605865067,1688505893.023
4093,1587,515,24.438902743142144,0.0,1.8017174605865067,1688505893.023
4014,1552,437,24.56575682382134,50.0,1.7848660857705416,1688505894.026
4014,1552,437,24.56575682382134,50.0,1.7848660857705416,1688505894.026
3901,1587,358,23.9294710327456,0.0,1.781909704223881,1688505895.029
3901,1587,358,23.9294710327456,0.0,1.781909704223881,1688505895.029
3901,1587,358,23.9294710327456,0.0,1.781909704223881,1688505896.031
3901,1587,358,23.9294710327456,0.0,1.781909704223881,1688505896.031
4093,1550,516,23.86934673366834,19.6,1.7874282831109805,1688505897.034
4093,1550,516,23.86934673366834,19.6,1.7874282831109805,1688505897.034
4093,1550,516,23.86934673366834,19.6,1.7874282831109805,1688505898.036
4093,1550,516,23.86934673366834,19.6,1.7874282831109805,1688505898.036
3940,1589,358,23.9294710327456,78.7,1.8102909670718224,1688505899.039
3940,1589,358,23.9294710327456,78.7,1.8102909670718224,1688505899.039
4014,1669,357,23.173803526448367,0.0,1.7778693161101111,1688505900.041
4014,1669,357,23.173803526448367,0.0,1.7778693161101111,1688505900.041
