energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3750,1892,82,26.93266832917705,10.9,4.950751659267508,1699897465.566
3750,1892,82,26.93266832917705,10.9,4.950751659267508,1699897465.566
3833,1851,82,30.126582278481017,9.0,4.9500618375864125,1699897466.569
3833,1851,82,30.126582278481017,9.0,4.9500618375864125,1699897466.569
3750,1769,123,31.92019950124688,7.4,4.936659587782272,1699897467.57
3750,1769,123,31.92019950124688,7.4,4.936659587782272,1699897467.57
3750,1769,123,31.92019950124688,7.4,4.936659587782272,1699897468.573
3750,1769,123,31.92019950124688,7.4,4.936659587782272,1699897468.573
3750,1769,123,31.328320802005017,11.0,4.942375253139921,1699897469.575
3750,1769,123,31.328320802005017,11.0,4.942375253139921,1699897469.575
3709,1769,123,31.343283582089555,6.9,4.9397145123699815,1699897470.577
3709,1769,123,31.343283582089555,6.9,4.9397145123699815,1699897470.577
3709,1769,123,31.343283582089555,6.9,4.9397145123699815,1699897471.579
3709,1769,123,31.343283582089555,6.9,4.9397145123699815,1699897471.579
3750,1810,123,28.934010152284262,5.7,4.951934210720815,1699897472.58
3750,1810,123,28.934010152284262,5.7,4.951934210720815,1699897472.58
3750,1810,82,29.675810473815456,1.2,4.940404334051077,1699897473.582
3750,1810,82,29.675810473815456,1.2,4.940404334051077,1699897473.582
3750,1810,82,29.675810473815456,1.2,4.940404334051077,1699897474.585
3750,1810,82,29.675810473815456,1.2,4.940404334051077,1699897474.585
3915,1810,164,29.145728643216085,3.7,4.948485102315337,1699897475.587
3915,1810,164,29.145728643216085,3.7,4.948485102315337,1699897475.587
3791,1851,82,29.32330827067669,9.1,4.952131302629699,1699897476.588
3791,1851,82,29.32330827067669,9.1,4.952131302629699,1699897476.588
3791,1851,82,29.32330827067669,9.1,4.952131302629699,1699897477.59
3791,1851,82,29.32330827067669,9.1,4.952131302629699,1699897477.59
3791,1892,82,29.2191435768262,9.0,4.947992372543126,1699897478.592
3791,1892,82,29.2191435768262,9.0,4.947992372543126,1699897478.592
3750,1810,82,29.20792079207921,9.0,4.947204004907588,1699897479.593
3750,1810,82,29.20792079207921,9.0,4.947204004907588,1699897479.593
3750,1810,82,29.20792079207921,9.0,4.947204004907588,1699897480.596
3750,1810,82,29.20792079207921,9.0,4.947204004907588,1699897480.596
