energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3594,1597,199,30.09950248756219,8.5,4.790520658208788,1688505541.391
3594,1597,199,30.09950248756219,8.5,4.790520658208788,1688505541.391
3708,1711,199,36.02015113350126,43.8,4.552236305547946,1688505542.393
3708,1711,199,36.02015113350126,43.8,4.552236305547946,1688505542.393
3634,1594,239,30.964467005076145,41.5,4.577069910539895,1688505543.395
3634,1594,239,30.964467005076145,41.5,4.577069910539895,1688505543.395
3634,1594,239,30.964467005076145,41.5,4.577069910539895,1688505544.397
3634,1594,239,30.964467005076145,41.5,4.577069910539895,1688505544.397
3594,1555,239,31.25,44.9,4.535877660989757,1688505545.399
3594,1555,239,31.25,44.9,4.535877660989757,1688505545.399
3634,1594,199,30.05050505050505,44.5,4.514788805956912,1688505546.401
3634,1594,199,30.05050505050505,44.5,4.514788805956912,1688505546.401
3634,1594,199,30.05050505050505,44.5,4.514788805956912,1688505547.403
3634,1594,199,30.05050505050505,44.5,4.514788805956912,1688505547.403
3594,1597,199,30.42394014962594,14.6,4.510354233636921,1688505548.405
3594,1597,199,30.42394014962594,14.6,4.510354233636921,1688505548.405
3594,1597,199,30.42394014962594,14.6,4.510354233636921,1688505549.407
3594,1597,199,30.42394014962594,14.6,4.510354233636921,1688505549.407
3634,1637,199,30.05050505050505,18.2,4.517548095400461,1688505550.409
3634,1637,199,30.05050505050505,18.2,4.517548095400461,1688505550.409
3634,1637,199,30.07518796992481,23.3,4.505131292904487,1688505551.411
3634,1637,199,30.07518796992481,23.3,4.505131292904487,1688505551.411
3634,1637,199,30.07518796992481,23.3,4.505131292904487,1688505552.413
3634,1637,199,30.07518796992481,23.3,4.505131292904487,1688505552.413
3634,1637,159,30.25,35.1,4.468472161725896,1688505553.415
3634,1637,159,30.25,35.1,4.468472161725896,1688505553.415
3634,1637,159,30.25,35.1,4.468472161725896,1688505554.418
3634,1637,159,30.25,35.1,4.468472161725896,1688505554.418
3634,1634,159,28.787878787878785,46.4,4.451620786909931,1688505555.421
3634,1634,159,28.787878787878785,46.4,4.451620786909931,1688505555.421
3674,1674,159,29.57393483709273,22.0,4.456548089487698,1688505556.423
3674,1674,159,29.57393483709273,22.0,4.456548089487698,1688505556.423
