energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
3674,1674,159,29.57393483709273,22.0,4.456548089487698,1688505557.425
3674,1674,159,29.57393483709273,22.0,4.456548089487698,1688505557.425
3594,1637,159,29.07268170426065,38.5,4.449748411930379,1688505558.427
3594,1637,159,29.07268170426065,38.5,4.449748411930379,1688505558.427
3634,1557,239,31.92019950124688,42.0,4.474187832716106,1688505559.429
3634,1557,239,31.92019950124688,42.0,4.474187832716106,1688505559.429
3634,1557,239,31.92019950124688,42.0,4.474187832716106,1688505560.43
3634,1557,239,31.92019950124688,42.0,4.474187832716106,1688505560.43
3594,1594,199,30.55555555555556,10.1,4.471034359066335,1688505561.432
3594,1594,199,30.55555555555556,10.1,4.471034359066335,1688505561.432
3594,1594,199,30.55555555555556,10.1,4.471034359066335,1688505562.434
3594,1594,199,30.55555555555556,10.1,4.471034359066335,1688505562.434
3674,1634,199,30.15075376884422,38.9,4.483648253665421,1688505563.436
3674,1634,199,30.15075376884422,38.9,4.483648253665421,1688505563.436
3594,1597,199,29.262086513994912,22.0,4.469359076189894,1688505564.437
3594,1597,199,29.262086513994912,22.0,4.469359076189894,1688505564.437
3594,1597,199,29.262086513994912,22.0,4.469359076189894,1688505565.439
3594,1597,199,29.262086513994912,22.0,4.469359076189894,1688505565.439
3554,1594,199,29.97481108312342,20.9,4.441174905445063,1688505566.441
3554,1594,199,29.97481108312342,20.9,4.441174905445063,1688505566.441
3594,1597,159,29.32330827067669,38.9,4.444919655404167,1688505567.443
3594,1597,159,29.32330827067669,38.9,4.444919655404167,1688505567.443
3594,1597,159,29.32330827067669,38.9,4.444919655404167,1688505568.445
3594,1597,159,29.32330827067669,38.9,4.444919655404167,1688505568.445
3594,1634,199,29.32330827067669,24.5,4.435360688403297,1688505569.447
3594,1634,199,29.32330827067669,24.5,4.435360688403297,1688505569.447
3594,1634,199,29.32330827067669,24.5,4.435360688403297,1688505570.45
3594,1634,199,29.32330827067669,24.5,4.435360688403297,1688505570.45
3634,1634,199,28.71536523929471,20.8,4.463249220993463,1688505571.452
3634,1634,199,28.71536523929471,20.8,4.463249220993463,1688505571.452
3674,1594,199,30.09950248756219,13.6,4.476552937953435,1688505572.455
3674,1594,199,30.09950248756219,13.6,4.476552937953435,1688505572.455
3674,1594,199,30.09950248756219,13.6,4.476552937953435,1688505573.457
3674,1594,199,30.09950248756219,13.6,4.476552937953435,1688505573.457
