energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
5029,2075,471,31.155778894472363,27.0,1.6599096923983547,1688506526.528
5029,2075,471,31.155778894472363,27.0,1.6599096923983547,1688506526.528
4053,1505,595,25.249999999999996,47.2,1.6527158306348138,1688506527.531
4053,1505,595,25.249999999999996,47.2,1.6527158306348138,1688506527.531
4429,1502,713,24.43324937027708,84.6,1.6641471726152348,1688506528.534
4429,1502,713,24.43324937027708,84.6,1.6641471726152348,1688506528.534
4429,1502,713,24.43324937027708,84.6,1.6641471726152348,1688506529.536
4429,1502,713,24.43324937027708,84.6,1.6641471726152348,1688506529.536
4278,1463,673,25.0620347394541,26.8,1.659712600295244,1688506530.539
4278,1463,673,25.0620347394541,26.8,1.659712600295244,1688506530.539
4245,1463,673,25.62189054726368,67.2,1.6436495938917213,1688506531.541
4245,1463,673,25.62189054726368,67.2,1.6436495938917213,1688506531.541
4245,1463,673,25.62189054726368,67.2,1.6436495938917213,1688506532.544
4245,1463,673,25.62189054726368,67.2,1.6436495938917213,1688506532.544
4318,1545,634,23.9294710327456,33.3,1.651631824067705,1688506533.546
4318,1545,634,23.9294710327456,33.3,1.651631824067705,1688506533.546
4318,1545,634,23.9294710327456,33.3,1.651631824067705,1688506534.549
4318,1545,634,23.9294710327456,33.3,1.651631824067705,1688506534.549
4278,1582,633,32.82828282828283,72.6,1.7726463753776778,1688506535.551
4278,1582,633,32.82828282828283,72.6,1.7726463753776778,1688506535.551
4245,1507,595,26.0,0.6,1.7444622046328468,1688506536.554
4245,1507,595,26.0,0.6,1.7444622046328468,1688506536.554
4245,1507,595,26.0,0.6,1.7444622046328468,1688506537.556
4245,1507,595,26.0,0.6,1.7444622046328468,1688506537.556
4304,1542,593,33.66834170854271,37.7,1.7011019419484918,1688506538.559
4304,1542,593,33.66834170854271,37.7,1.7011019419484918,1688506538.559
