energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19992,19992,0.41288191577208977,0,75.89683501545905,1688528550.849
50048,19992,19992,0.41288191577208977,0,75.89683501545905,1688528550.849
50048,19992,19992,0.4125412541254092,0,75.90071733519616,1688528551.851
50048,19992,19992,0.4125412541254092,0,75.90071733519616,1688528551.851
50048,19992,19992,0.4125412541254092,0,75.90071733519616,1688528552.853
50048,19992,19992,0.4125412541254092,0,75.90071733519616,1688528552.853
50048,19992,19992,1.0708401976935789,0,75.89457458587525,1688528553.856
50048,19992,19992,1.0708401976935789,0,75.89457458587525,1688528553.856
50048,19992,19992,1.0708401976935789,0,75.89457458587525,1688528554.86
50048,19992,19992,1.0708401976935789,0,75.89457458587525,1688528554.86
50048,19992,19992,0.2481389578163795,0,75.89892942479091,1688528555.863
50048,19992,19992,0.2481389578163795,0,75.89892942479091,1688528555.863
50048,19992,19992,5.276174773289366,0,75.76422314654351,1688528556.866
50048,19992,19992,5.276174773289366,0,75.76422314654351,1688528556.866
50048,19992,19992,5.276174773289366,0,75.76422314654351,1688528557.869
50048,19992,19992,5.276174773289366,0,75.76422314654351,1688528557.869
50056,19992,19984,91.29353233830845,0,75.31098785881127,1688528558.872
50056,19992,19984,91.29353233830845,0,75.31098785881127,1688528558.872
50008,19968,19968,99.66777408637874,0,74.59650054850538,1688528559.875
50008,19968,19968,99.66777408637874,0,74.59650054850538,1688528559.875
50008,19968,19968,99.66777408637874,0,74.59650054850538,1688528560.878
50008,19968,19968,99.66777408637874,0,74.59650054850538,1688528560.878
50008,19968,19968,100,0,73.35461798101494,1688528561.88
50008,19968,19968,100,0,73.35461798101494,1688528561.88
50008,19968,19968,97.1737323358271,0,73.14516427703927,1688528562.883
50008,19968,19968,97.1737323358271,0,73.14516427703927,1688528562.883
50000,19968,19968,96.74728940783986,0,73.15112823531966,1688528563.885
50000,19968,19968,96.74728940783986,0,73.15112823531966,1688528563.885
50000,19968,19968,96.74728940783986,0,73.15112823531966,1688528564.888
50000,19968,19968,96.74728940783986,0,73.15112823531966,1688528564.888
50000,19968,19968,97.26141078838174,0,73.15152412976653,1688528565.891
50000,19968,19968,97.26141078838174,0,73.15152412976653,1688528565.891
50000,19968,19968,97.25,0,73.15184339948176,1688528566.893
50000,19968,19968,97.25,0,73.15184339948176,1688528566.893
50000,19968,19968,98.07531380753139,0,73.07261342695173,1688528567.896
50000,19968,19968,98.07531380753139,0,73.07261342695173,1688528567.896
50000,19968,19968,98.07531380753139,0,73.07261342695173,1688528568.899
50000,19968,19968,98.07531380753139,0,73.07261342695173,1688528568.899
50000,19968,19968,97.50208159866777,0,73.0542107205662,1688528569.902
50000,19968,19968,97.50208159866777,0,73.0542107205662,1688528569.902
50000,19968,19968,98.00166527893423,0,73.048795906196,1688528570.905
50000,19968,19968,98.00166527893423,0,73.048795906196,1688528570.905
50000,19968,19968,98.00332778702163,0,73.03948600130006,1688528571.907
50000,19968,19968,98.00332778702163,0,73.03948600130006,1688528571.907
50000,19968,19968,98.00332778702163,0,73.03948600130006,1688528572.91
50000,19968,19968,98.00332778702163,0,73.03948600130006,1688528572.91
50000,19968,19968,98.25,0,73.0483616993833,1688528573.912
50000,19968,19968,98.25,0,73.0483616993833,1688528573.912
50000,19968,19968,98.16971713810317,0,73.04975371534168,1688528574.915
50000,19968,19968,98.16971713810317,0,73.04975371534168,1688528574.915
50016,19976,19976,97.10024855012428,0,73.04734003629459,1688528575.918
50016,19976,19976,97.10024855012428,0,73.04734003629459,1688528575.918
50016,19976,19976,97.10024855012428,0,73.04734003629459,1688528576.921
50016,19976,19976,97.10024855012428,0,73.04734003629459,1688528576.921
50000,19968,19968,98.5,0,73.04796580493642,1688528577.923
50000,19968,19968,98.5,0,73.04796580493642,1688528577.923
50000,19968,19968,97.25913621262458,0,73.04474756620695,1688528578.926
50000,19968,19968,97.25913621262458,0,73.04474756620695,1688528578.926
50000,19968,19968,97.09302325581395,0,73.04387915258155,1688528579.929
50000,19968,19968,97.09302325581395,0,73.04387915258155,1688528579.929
50000,19968,19968,97.09302325581395,0,73.04387915258155,1688528580.932
50000,19968,19968,97.09302325581395,0,73.04387915258155,1688528580.932
50000,19968,19968,96.76079734219269,0,73.04690582948187,1688528581.934
50000,19968,19968,96.76079734219269,0,73.04690582948187,1688528581.934
50000,19968,19968,98.01488833746899,0,73.04709739131101,1688528582.937
50000,19968,19968,98.01488833746899,0,73.04709739131101,1688528582.937
50000,19968,19968,97.4937343358396,0,73.0435215705005,1688528583.94
50000,19968,19968,97.4937343358396,0,73.0435215705005,1688528583.94
50000,19968,19968,97.4937343358396,0,73.0435215705005,1688528584.943
50000,19968,19968,97.4937343358396,0,73.0435215705005,1688528584.943
50000,19968,19968,96.50291423813488,0,73.03645932439974,1688528585.946
50000,19968,19968,96.50291423813488,0,73.03645932439974,1688528585.946
50000,19968,19968,98.50249584026622,0,73.03911564843041,1688528586.948
50000,19968,19968,98.50249584026622,0,73.03911564843041,1688528586.948
50000,19968,19968,97.92874896437448,0,73.0405204351774,1688528587.951
50000,19968,19968,97.92874896437448,0,73.0405204351774,1688528587.951
50000,19968,19968,97.92874896437448,0,73.0405204351774,1688528588.954
50000,19968,19968,97.92874896437448,0,73.0405204351774,1688528588.954
50000,19968,19968,98.25291181364393,0,73.03744267512263,1688528589.956
50000,19968,19968,98.25291181364393,0,73.03744267512263,1688528589.956
50000,19968,19968,97.51449875724938,0,73.07735138952566,1688528590.959
50000,19968,19968,97.51449875724938,0,73.07735138952566,1688528590.959
50000,19968,19968,98.16666666666667,0,73.0741459215848,1688528591.962
50000,19968,19968,98.16666666666667,0,73.0741459215848,1688528591.962
50000,19968,19968,98.7510407993339,0,73.07163007622883,1688528592.965
50000,19968,19968,98.7510407993339,0,73.07163007622883,1688528592.965
50000,19968,19968,98.7510407993339,0,73.07163007622883,1688528593.968
50000,19968,19968,98.7510407993339,0,73.07163007622883,1688528593.968
50000,19968,19968,97.4188176519567,0,73.06819473409303,1688528594.971
50000,19968,19968,97.4188176519567,0,73.06819473409303,1688528594.971
50000,19968,19968,97.25913621262458,0,73.07206428304154,1688528595.973
50000,19968,19968,97.25913621262458,0,73.07206428304154,1688528595.973
50000,19968,19968,96.42560266001664,0,73.06961229162862,1688528596.975
50000,19968,19968,96.42560266001664,0,73.06961229162862,1688528596.975
50000,19968,19968,97.75,0,73.06629188659028,1688528597.978
50000,19968,19968,97.75,0,73.06629188659028,1688528597.978
50000,19968,19968,97.75,0,73.06629188659028,1688528598.98
50000,19968,19968,97.75,0,73.06629188659028,1688528598.98
50000,19968,19968,97.0906068162926,0,73.07216644935042,1688528599.983
50000,19968,19968,97.0906068162926,0,73.07216644935042,1688528599.983
50000,19968,19968,97.51655629139073,0,73.07217922013902,1688528600.986
50000,19968,19968,97.51655629139073,0,73.07217922013902,1688528600.986
50000,19968,19968,98.24707846410683,0,73.07751740977757,1688528601.988
50000,19968,19968,98.24707846410683,0,73.07751740977757,1688528601.988
50000,19968,19968,98.83040935672514,0,73.08071010692981,1688528602.991
50000,19968,19968,98.83040935672514,0,73.08071010692981,1688528602.991
50000,19968,19968,98.83040935672514,0,73.08071010692981,1688528603.993
50000,19968,19968,98.83040935672514,0,73.08071010692981,1688528603.993
50000,19968,19968,98.0849292256453,0,73.0771342861193,1688528604.996
50000,19968,19968,98.0849292256453,0,73.0771342861193,1688528604.996
50000,19968,19968,96.83597002497918,0,73.07152790991996,1688528605.998
50000,19968,19968,96.83597002497918,0,73.07152790991996,1688528605.998
50000,19968,19968,98.25145711906744,0,73.07309871691888,1688528607.001
50000,19968,19968,98.25145711906744,0,73.07309871691888,1688528607.001
50000,19968,19968,98.25145711906744,0,73.07309871691888,1688528608.003
50000,19968,19968,98.25145711906744,0,73.07309871691888,1688528608.003
50000,19968,19968,98.17123857024106,0,73.06931856349061,1688528609.006
50000,19968,19968,98.17123857024106,0,73.06931856349061,1688528609.006
50000,19968,19968,97.33555370524563,0,73.06804148462972,1688528610.009
50000,19968,19968,97.33555370524563,0,73.06804148462972,1688528610.009
50000,19968,19968,96.92179700499169,0,73.07359677767462,1688528611.012
50000,19968,19968,96.92179700499169,0,73.07359677767462,1688528611.012
50000,19968,19968,96.92179700499169,0,73.07359677767462,1688528612.014
50000,19968,19968,96.92179700499169,0,73.07359677767462,1688528612.014
50000,19968,19968,97.25913621262458,0,73.07664899615216,1688528613.017
50000,19968,19968,97.25913621262458,0,73.07664899615216,1688528613.017
