energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50016,19976,19976,96.3455149501661,0.0,73.06938241743366,1688528853.553
50000,19968,19968,96.8543046357616,0.0,73.0725878853745,1688528676.191
50000,19968,19968,97.00996677740864,0.0,73.06954843768557,1688528651.121
50000,19968,19968,96.7741935483871,0.0,73.06150284086192,1688529260.635
50000,19968,19968,96.6722129783694,0.0,73.06556395163958,1688528987.921
50000,19968,19968,98.00332778702165,0.0,73.07266451010616,1688528733.305
50000,19968,19968,98.17427385892115,0.0,73.06813088014998,1688528752.337
50016,19976,19976,97.42310889443058,0.0,73.0680287138411,1688529004.969
50000,19968,19968,96.59751037344398,0.0,73.07037853894516,1688528778.396
50016,19976,19976,96.91923397169026,0.0,73.05953613941615,1688529240.587
50000,19968,19968,96.75540765391015,0.0,73.0647210795914,1688528939.783
50000,19968,19968,97.25457570715474,0.0,73.05722462667792,1688529081.186
50016,19976,19976,97.66472060050042,0.0,73.06714752942709,1688528870.59
50000,19968,19968,96.83069224353628,0.0,73.06643236526499,1688528979.898
50000,19968,19968,97.57929883138564,0.0,73.07064672550595,1688528770.376
50000,19968,19968,96.6722129783694,0.0,73.0759849151445,1688529280.684
50000,19968,19968,97.41666666666666,0.0,73.06371218729127,1688529333.792
50000,19968,19968,96.843853820598,0.0,73.06869279484877,1688528707.253
50000,19968,19968,97.1924029727498,0.0,73.05945951468449,1688529394.921
50000,19968,19968,96.2624584717608,0.0,73.07689164113573,1688528808.461
50048,19992,19992,0.4125412541254092,0.0,75.90071733519616,1688528552.853
50000,19968,19968,98.00498753117208,0.0,73.06901206456399,1688528871.594
50000,19968,19968,96.50872817955111,0.0,73.06571720110288,1688529259.634
50000,19968,19968,96.93961952026469,0.0,73.06368664571406,1688529114.269
50000,19968,19968,98.014888337469,0.0,73.07862846838655,1688529289.706
50000,19968,19968,98.0849292256453,0.0,73.07206428304154,1688528801.444
50000,19968,19968,97.1737323358271,0.0,73.0559092354512,1688529327.78
50048,19992,19992,1.0708401976935789,0.0,75.89457458587525,1688528554.86
50000,19968,19968,97.67634854771784,0.0,73.06763281939423,1688528679.199
50000,19968,19968,96.43153526970954,0.0,73.06327798047857,1688529243.596
50000,19968,19968,96.83333333333334,0.0,73.06925470954756,1688528807.457
50008,19976,19968,97.1737323358271,0.0,73.06166886111384,1688529229.564
50000,19968,19968,97.25913621262458,0.0,73.06082598906565,1688528967.864
50000,19968,19968,97.3399833748961,0.0,73.070710579449,1688529143.339
