energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19992,19992,0.660066006600657,0,76.12545767313678,1688528177.03
50048,19992,19992,0.660066006600657,0,76.12545767313678,1688528177.03
50048,19992,19992,0.4125412541254092,0,76.12854820398015,1688528178.032
50048,19992,19992,0.4125412541254092,0,76.12854820398015,1688528178.032
50040,19992,19984,0.5780346820809301,0,76.12333772222769,1688528179.035
50040,19992,19984,0.5780346820809301,0,76.12333772222769,1688528179.035
50040,19992,19984,0.5780346820809301,0,76.12333772222769,1688528180.038
50040,19992,19984,0.5780346820809301,0,76.12333772222769,1688528180.038
50040,19992,19984,0.49586776859503745,0,76.12197124784652,1688528181.041
50040,19992,19984,0.49586776859503745,0,76.12197124784652,1688528181.041
50040,19992,19984,0.49586776859503745,0,76.12197124784652,1688528182.044
50040,19992,19984,0.49586776859503745,0,76.12197124784652,1688528182.044
50048,19992,19992,0.4125412541254092,0,76.12337603459352,1688528183.047
50048,19992,19992,0.4125412541254092,0,76.12337603459352,1688528183.047
50040,19992,19984,0.5766062602965416,0,76.12263532885419,1688528184.051
50040,19992,19984,0.5766062602965416,0,76.12263532885419,1688528184.051
50040,19992,19984,0.5766062602965416,0,76.12263532885419,1688528185.054
50040,19992,19984,0.5766062602965416,0,76.12263532885419,1688528185.054
50040,19992,19984,10.107705053852523,0,75.93734395692668,1688528186.057
50040,19992,19984,10.107705053852523,0,75.93734395692668,1688528186.057
50024,19976,19976,100,0,75.50041696624808,1688528187.06
50024,19976,19976,100,0,75.50041696624808,1688528187.06
50000,19968,19968,99.58677685950413,0,74.42569125086044,1688528188.063
50000,19968,19968,99.58677685950413,0,74.42569125086044,1688528188.063
50000,19968,19968,99.58677685950413,0,74.42569125086044,1688528189.066
50000,19968,19968,99.58677685950413,0,74.42569125086044,1688528189.066
50008,19968,19968,100,0,73.65801360599818,1688528190.069
50008,19968,19968,100,0,73.65801360599818,1688528190.069
50000,19968,19968,100,0,72.80120862743395,1688528191.072
50000,19968,19968,100,0,72.80120862743395,1688528191.072
50000,19968,19968,100,0,72.80120862743395,1688528192.074
50000,19968,19968,100,0,72.80120862743395,1688528192.074
50000,19968,19968,100,0,72.02913783129023,1688528193.077
50000,19968,19968,100,0,72.02913783129023,1688528193.077
50000,19968,19968,100,0,71.96165698428044,1688528194.079
50000,19968,19968,100,0,71.96165698428044,1688528194.079
50000,19968,19968,100,0,71.96165698428044,1688528195.082
50000,19968,19968,100,0,71.96165698428044,1688528195.082
50040,19984,19984,8.684863523573206,0,71.79747572592355,1688528196.085
50040,19984,19984,8.684863523573206,0,71.79747572592355,1688528196.085
50056,19992,19984,87.27121464226289,0,71.82454979777457,1688528197.088
50056,19992,19984,87.27121464226289,0,71.82454979777457,1688528197.088
50000,19968,19968,97.42310889443058,0,71.82079518592353,1688528198.091
50000,19968,19968,97.42310889443058,0,71.82079518592353,1688528198.091
50000,19968,19968,97.42310889443058,0,71.82079518592353,1688528199.094
50000,19968,19968,97.42310889443058,0,71.82079518592353,1688528199.094
50000,19968,19968,97.99833194328608,0.8,71.81503556026088,1688528200.097
50000,19968,19968,97.99833194328608,0.8,71.81503556026088,1688528200.097
50000,19968,19968,97.42310889443058,0,71.82106337248432,1688528201.099
50000,19968,19968,97.42310889443058,0,71.82106337248432,1688528201.099
50016,19976,19976,97.83333333333333,0,71.81056578424774,1688528202.102
50016,19976,19976,97.83333333333333,0,71.81056578424774,1688528202.102
50016,19976,19976,97.83333333333333,0,71.81056578424774,1688528203.104
50016,19976,19976,97.83333333333333,0,71.81056578424774,1688528203.104
50000,19968,19968,97.33333333333334,0,71.81659359647118,1688528204.107
50000,19968,19968,97.33333333333334,0,71.81659359647118,1688528204.107
50000,19968,19968,98.42061512884456,0,71.8096590582565,1688528205.109
50000,19968,19968,98.42061512884456,0,71.8096590582565,1688528205.109
50000,19968,19968,98.16819317235637,0,71.8142182297899,1688528206.111
50000,19968,19968,98.16819317235637,0,71.8142182297899,1688528206.111
50000,19968,19968,98.16819317235637,0,71.8142182297899,1688528207.113
50000,19968,19968,98.16819317235637,0,71.8142182297899,1688528207.113
50008,19976,19968,97.25913621262458,0,71.8157762660002,1688528208.116
50008,19976,19968,97.25913621262458,0,71.8157762660002,1688528208.116
50000,19968,19968,96.09958506224066,0,71.81629986833316,1688528209.118
50000,19968,19968,96.09958506224066,0,71.81629986833316,1688528209.118
50000,19968,19968,97.59535655058042,0,71.81484399843174,1688528210.121
50000,19968,19968,97.59535655058042,0,71.81484399843174,1688528210.121
50000,19968,19968,97.59535655058042,0,71.81484399843174,1688528211.123
50000,19968,19968,97.59535655058042,0,71.81484399843174,1688528211.123
50016,19976,19976,95.82637729549248,0,71.81287729698596,1688528212.125
50016,19976,19976,95.82637729549248,0,71.81287729698596,1688528212.125
