energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50000,19968,19968,96.83860232945092,0,71.64697198216687,1688530500.206
50000,19968,19968,96.83860232945092,0,71.64697198216687,1688530500.206
50000,19968,19968,97.5,0,71.64718908557323,1688530501.209
50000,19968,19968,97.5,0,71.64718908557323,1688530501.209
50000,19968,19968,96.50291423813488,0,71.6410335654637,1688530502.211
50000,19968,19968,96.50291423813488,0,71.6410335654637,1688530502.211
50000,19968,19968,96.42560266001664,0,71.64291087138922,1688530503.213
50000,19968,19968,96.42560266001664,0,71.64291087138922,1688530503.213
50000,19968,19968,96.42560266001664,0,71.64291087138922,1688530504.215
50000,19968,19968,96.42560266001664,0,71.64291087138922,1688530504.215
50000,19968,19968,96.75270607826812,0,71.6554134734374,1688530505.216
50000,19968,19968,96.75270607826812,0,71.6554134734374,1688530505.216
50000,19968,19968,97.9253112033195,0,71.64775100027202,1688530506.217
50000,19968,19968,97.9253112033195,0,71.64775100027202,1688530506.217
50000,19968,19968,98.41666666666666,0,71.64351109845384,1688530507.219
50000,19968,19968,98.41666666666666,0,71.64351109845384,1688530507.219
50000,19968,19968,98.41666666666666,0,71.64351109845384,1688530508.221
50000,19968,19968,98.41666666666666,0,71.64351109845384,1688530508.221
50000,19968,19968,96.75,0,71.64321737031584,1688530509.223
50000,19968,19968,96.75,0,71.64321737031584,1688530509.223
50000,19968,19968,97.0881863560732,0,71.63849217853053,1688530510.226
50000,19968,19968,97.0881863560732,0,71.63849217853053,1688530510.226
50000,19968,19968,96.00333055786844,0,71.63550381399601,1688530511.229
50000,19968,19968,96.00333055786844,0,71.63550381399601,1688530511.229
50000,19968,19968,96.00333055786844,0,71.63550381399601,1688530512.232
50000,19968,19968,96.00333055786844,0,71.63550381399601,1688530512.232
50000,19968,19968,96.91666666666666,0,71.6433195366247,1688530513.234
50000,19968,19968,96.91666666666666,0,71.6433195366247,1688530513.234
50000,19968,19968,96.9243557772236,0,71.64329399504749,1688530514.238
50000,19968,19968,96.9243557772236,0,71.64329399504749,1688530514.238
50000,19968,19968,96.92691029900332,0,71.63515900270357,1688530515.24
50000,19968,19968,96.92691029900332,0,71.63515900270357,1688530515.24
50000,19968,19968,96.00665557404326,0,71.63338386308693,1688530516.242
50000,19968,19968,96.00665557404326,0,71.63338386308693,1688530516.242
50000,19968,19968,96.00665557404326,0,71.63338386308693,1688530517.243
50000,19968,19968,96.00665557404326,0,71.63338386308693,1688530517.243
50000,19968,19968,98.00166527893424,0,71.63929673821288,1688530518.245
50000,19968,19968,98.00166527893424,0,71.63929673821288,1688530518.245
50000,19968,19968,96.19520264681556,0,71.64324291189305,1688530519.246
50000,19968,19968,96.19520264681556,0,71.64324291189305,1688530519.246
