energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50000,19968,19968,98.41534612176814,0,72.96042204902194,1688530149.2
50000,19968,19968,98.41534612176814,0,72.96042204902194,1688530149.2
50000,19968,19968,98.41534612176814,0,72.96042204902194,1688530150.206
50000,19968,19968,98.41534612176814,0,72.96042204902194,1688530150.206
50000,19968,19968,98.25291181364392,0,72.96171189867145,1688530151.21
50000,19968,19968,98.25291181364392,0,72.96171189867145,1688530151.21
50000,19968,19968,97.75374376039932,0,72.96259308308547,1688530152.212
50000,19968,19968,97.75374376039932,0,72.96259308308547,1688530152.212
50000,19968,19968,96.7581047381546,0,72.96954039208875,1688530153.214
50000,19968,19968,96.7581047381546,0,72.96954039208875,1688530153.214
50000,19968,19968,96.7581047381546,0,72.96954039208875,1688530154.217
50000,19968,19968,96.7581047381546,0,72.96954039208875,1688530154.217
50000,19968,19968,98.17275747508306,0,72.96826331322785,1688530155.224
50000,19968,19968,98.17275747508306,0,72.96826331322785,1688530155.224
50000,19968,19968,97.42096505823628,0,72.96422774402743,1688530156.225
50000,19968,19968,97.42096505823628,0,72.96422774402743,1688530156.225
50000,19968,19968,97.8297161936561,0,72.95914497016105,1688530157.229
50000,19968,19968,97.8297161936561,0,72.95914497016105,1688530157.229
50000,19968,19968,97.8297161936561,0,72.95914497016105,1688530158.231
50000,19968,19968,97.8297161936561,0,72.95914497016105,1688530158.231
50000,19968,19968,97.00249791840132,0,72.96467472162873,1688530159.236
50000,19968,19968,97.00249791840132,0,72.96467472162873,1688530159.236
50000,19968,19968,98.09444904722451,0,72.9633337888248,1688530160.239
50000,19968,19968,98.09444904722451,0,72.9633337888248,1688530160.239
50016,19976,19976,96.33638634471276,0,72.96454701374265,1688530161.242
50016,19976,19976,96.33638634471276,0,72.96454701374265,1688530161.242
50016,19976,19976,96.33638634471276,0,72.96454701374265,1688530162.244
50016,19976,19976,96.33638634471276,0,72.96454701374265,1688530162.244
50000,19968,19968,98.00498753117208,0,72.96201839759807,1688530163.247
50000,19968,19968,98.00498753117208,0,72.96201839759807,1688530163.247
50000,19968,19968,97.827903091061,0,72.95846811836478,1688530164.248
50000,19968,19968,97.827903091061,0,72.95846811836478,1688530164.248
50000,19968,19968,96.51162790697676,0,72.9540877378719,1688530165.252
50000,19968,19968,96.51162790697676,0,72.9540877378719,1688530165.252
50000,19968,19968,96.51162790697676,0,72.9540877378719,1688530166.253
50000,19968,19968,96.51162790697676,0,72.9540877378719,1688530166.253
50000,19968,19968,96.9243557772236,0,72.9631933101501,1688530167.255
