energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50000,19968,19968,97.1737323358271,0,72.95831486890148,1688530730.302
50000,19968,19968,96.8516984258492,0,72.9703066394053,1688530713.254
50000,19968,19968,97.50623441396507,0,72.97422727150824,1688530723.283
50000,19968,19968,97.00996677740864,0,72.96707562988722,1688530721.277
50000,19968,19968,98.24707846410683,0,72.96653925676564,1688530708.239
50000,19968,19968,98.24707846410683,0,72.96653925676564,1688530708.239
50000,19968,19968,97.50830564784052,0,72.95943869829907,1688530720.273
50000,19968,19968,96.8516984258492,0,72.9703066394053,1688530713.254
50000,19968,19968,98.34437086092716,0,72.96427882718186,1688530733.31
50000,19968,19968,97.8405315614618,0,72.96713948383027,1688530709.243
50000,19968,19968,96.92691029900332,0,72.96487905424648,1688530710.245
50000,19968,19968,97.50623441396507,0,72.97422727150824,1688530724.286
50000,19968,19968,96.75,0,72.95887678360027,1688530734.313
50000,19968,19968,98.0,0,72.9738824602158,1688530725.288
50000,19968,19968,97.2568578553616,0,72.95982182195732,1688530722.28
50000,19968,19968,97.58935993349958,0,72.97638553478316,1688530711.248
50000,19968,19968,97.58935993349958,0,72.97638553478316,1688530711.248
50000,19968,19968,96.66944213155703,0,72.9724649026802,1688530714.256
50000,19968,19968,96.74728940783986,0,72.96607950837573,1688530718.267
50000,19968,19968,96.92691029900332,0,72.96487905424648,1688530710.245
50000,19968,19968,98.1651376146789,0,72.94420314748857,1688530715.259
50000,19968,19968,97.34439834024896,0,72.96970641234067,1688530717.264
50000,19968,19968,97.50208159866776,0,72.96415111929578,1688530729.299
50000,19968,19968,97.50623441396507,0,72.97422727150824,1688530724.286
50000,19968,19968,97.1737323358271,0,72.95909388700662,1688530726.291
50000,19968,19968,97.67441860465117,0,72.95550529540749,1688530731.305
50000,19968,19968,96.7581047381546,0,72.96012832088394,1688530728.296
50000,19968,19968,97.50830564784052,0,72.95943869829907,1688530719.27
