energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50000,19968,19968,97.08333333333331,0.0,71.84952946029371,1688528446.661
50000,19968,19968,97.08333333333331,0.0,71.84952946029371,1688528446.661
50000,19968,19968,97.0906068162926,0.0,71.85041064470772,1688528447.662
50000,19968,19968,97.0906068162926,0.0,71.85041064470772,1688528447.662
50000,19968,19968,98.66666666666669,0.0,71.85113857965844,1688528448.663
50000,19968,19968,98.66666666666669,0.0,71.85113857965844,1688528448.663
50000,19968,19968,97.0906068162926,0.0,71.84285033785122,1688528449.665
50000,19968,19968,97.0906068162926,0.0,71.84285033785122,1688528449.665
50000,19968,19968,97.0906068162926,0.0,71.84285033785122,1688528450.667
50000,19968,19968,97.0906068162926,0.0,71.84285033785122,1688528450.667
50000,19968,19968,97.24770642201834,0.0,71.85277324060037,1688528451.668
50000,19968,19968,97.24770642201834,0.0,71.85277324060037,1688528451.668
50000,19968,19968,96.7688483844242,0.0,71.84278648390817,1688528452.67
50000,19968,19968,96.7688483844242,0.0,71.84278648390817,1688528452.67
50000,19968,19968,96.08333333333331,0.0,71.84608134736928,1688528453.672
50000,19968,19968,96.08333333333331,0.0,71.84608134736928,1688528453.672
50000,19968,19968,96.08333333333331,0.0,71.84608134736928,1688528454.675
50000,19968,19968,96.08333333333331,0.0,71.84608134736928,1688528454.675
50000,19968,19968,96.42560266001664,0.0,71.8495166895051,1688528455.678
50000,19968,19968,96.42560266001664,0.0,71.8495166895051,1688528455.678
50000,19968,19968,95.09966777408638,0.0,71.84562159897936,1688528456.68
50000,19968,19968,95.09966777408638,0.0,71.84562159897936,1688528456.68
50000,19968,19968,96.6722129783694,0.0,71.85127905833313,1688528457.682
50000,19968,19968,96.6722129783694,0.0,71.85127905833313,1688528457.682
50000,19968,19968,96.4196502914238,0.0,71.84627290919842,1688528458.684
50000,19968,19968,96.4196502914238,0.0,71.84627290919842,1688528458.684
50000,19968,19968,96.4196502914238,0.0,71.84627290919842,1688528459.686
50000,19968,19968,96.4196502914238,0.0,71.84627290919842,1688528459.686
50000,19968,19968,96.6804979253112,0.0,71.849095253481,1688528460.688
50000,19968,19968,96.6804979253112,0.0,71.849095253481,1688528460.688
50000,19968,19968,97.24770642201834,0.0,71.85111303808121,1688528461.69
50000,19968,19968,97.24770642201834,0.0,71.85111303808121,1688528461.69
50000,19968,19968,96.42857142857144,0.0,71.85586377144375,1688528462.692
50000,19968,19968,96.42857142857144,0.0,71.85586377144375,1688528462.692
50000,19968,19968,96.42857142857144,0.0,71.85586377144375,1688528463.694
50000,19968,19968,96.42857142857144,0.0,71.85586377144375,1688528463.694
50000,19968,19968,97.50415973377704,0.0,71.84550666188187,1688528464.696
50000,19968,19968,97.50415973377704,0.0,71.84550666188187,1688528464.696
50000,19968,19968,97.50830564784052,0.0,71.84973379291144,1688528465.699
