energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50008,19968,19968,100.0,0.0,75.30096278975323,1688527349.235
50048,19984,19984,8.271298593879239,49.2,68.45221873295898,1688527466.485
50048,19984,19984,7.577019150707742,43.7,68.46243536384615,1688527456.464
50040,19992,19984,8.457711442786064,0.0,74.8646998800823,1688527369.287
50056,19992,19984,7.883817427385898,0.0,74.71456648919528,1688527375.304
50048,19984,19984,7.940446650124066,57.7,68.46180959520431,1688527432.421
50048,19992,19984,8.526490066225168,0.0,75.31299287262287,1688527364.272
50048,19992,19984,7.72425249169435,33.7,68.46114551419664,1688527428.413
50048,19984,19984,8.119304059652032,33.5,68.45797835862162,1688527445.442
50048,19992,19992,0.1654259718775863,0.0,76.52513227344302,1688527328.154
50048,19992,19984,7.493755203996666,38.7,68.44326641014409,1688527477.506
50040,19984,19984,7.237936772046593,43.3,68.46565360257561,1688527417.39
50048,19984,19984,7.800829875518667,48.4,68.45930652063696,1688527436.428
50048,19992,19984,7.877280265339969,39.0,74.63094336538376,1688527379.313
50048,19992,19992,0.5766062602965416,0.0,76.49643631143867,1688527486.529
50048,19992,19992,0.577081615828523,0.0,76.52432771376066,1688527340.21
50048,19992,19992,0.1654259718775863,0.0,76.52513227344302,1688527328.154
50008,19968,19968,100.0,0.0,75.44170965101266,1688527348.233
50056,19992,19984,8.637873754152825,0.0,71.8216125163945,1688527391.338
50048,19992,19984,7.877280265339969,38.4,68.44532250711013,1688527472.496
50040,19984,19984,7.237936772046593,43.3,68.46565360257561,1688527416.389
50040,19984,19984,8.036454018227012,37.7,68.45903833407617,1688527459.47
50048,19984,19984,7.807308970099669,30.7,68.45995783085601,1688527439.434
50056,19992,19984,7.647547797173737,35.1,68.4639295461134,1688527426.409
50040,19984,19984,7.6348547717842274,60.4,68.46272909198416,1688527429.415
50048,19992,19984,8.126036484245436,30.7,68.4471359590926,1688527480.515
50056,19992,19984,8.029801324503316,42.2,68.46640707910355,1688527422.402
50048,19992,19984,8.450704225352112,0.0,74.66502860018109,1688527373.298
50048,19992,19992,0.5766062602965416,0.0,76.49643631143867,1688527485.527
50056,19992,19984,8.056478405315614,30.6,68.44879616161178,1688527478.508
50048,19984,19984,8.139534883720934,33.0,68.45598611559862,1688527462.477
50048,19992,19984,6.528925619834713,70.2,69.55450381016477,1688527393.342
50040,19984,19984,7.641196013289031,36.5,68.45718656972787,1688527443.44
50048,19992,19984,8.450704225352112,0.0,74.66502860018109,1688527372.295
50048,19984,19984,7.462686567164178,56.9,68.47087685511669,1688527395.346
50040,19992,19984,8.540630182421227,0.0,74.70442648303975,1688527376.307
50048,19992,19984,7.475083056478404,37.9,68.47086408432807,1688527402.36
50048,19984,19984,8.139534883720934,33.0,68.45598611559862,1688527461.474
50016,19976,19968,99.25373134328358,0.0,75.46894974311559,1688527352.243
50040,19984,19984,7.947019867549665,0.0,75.32041270080468,1688527363.27
50056,19992,19984,8.505367464905033,36.6,68.47446544671581,1688527410.379
50000,19968,19968,99.91701244813278,0.0,75.6875856441011,1688527346.227
50048,19992,19984,8.126036484245436,30.7,68.4471359590926,1688527480.515
50048,19992,19984,7.493755203996666,38.7,68.44326641014409,1688527477.506
50048,19992,19984,7.475083056478404,37.9,68.47086408432807,1688527403.363
50048,19992,19992,8.526490066225168,0.0,73.84665092454125,1688527385.326
50048,19992,19984,8.18181818181818,45.9,68.44907711896117,1688527471.493
50048,19992,19984,8.175061932287363,41.7,68.46702007695677,1688527407.372
50048,19984,19984,7.641196013289031,34.4,68.46318884037407,1688527415.387
50048,19992,19984,7.72425249169435,33.7,68.46114551419664,1688527428.413
50048,19984,19984,7.262103505843076,41.7,68.45235921163368,1688527458.468
50048,19984,19984,7.883817427385898,34.2,68.46423604504001,1688527442.438
50040,19992,19984,8.609271523178808,0.0,73.70913507279988,1688527386.327
50048,19984,19984,7.953603976801993,45.6,68.45723765288231,1688527455.461
50048,19992,19984,7.730673316708225,36.7,68.46483627210463,1688527419.392
50040,19984,19984,8.609271523178808,0.0,75.39171201360855,1688527358.257
50040,19992,19984,0.9053497942386856,0.0,76.52155645263251,1688527331.163
50040,19984,19984,7.237936772046593,43.3,68.46565360257561,1688527417.39
50040,19992,19984,0.4954582989265099,0.0,76.52598791627982,1688527343.218
50040,19984,19984,8.043117744610285,42.0,68.44739137486478,1688527474.5
50048,19992,19984,8.526490066225168,0.0,75.37089562817594,1688527360.263
50048,19992,19992,8.602150537634412,0.0,74.02180229031323,1688527382.322
50056,19992,19984,8.056478405315614,30.6,68.44879616161178,1688527478.508
50048,19992,19992,0.4950495049504955,0.0,76.52399567325682,1688527333.166
50048,19992,19992,8.684863523573206,0.0,74.66915356490179,1688527371.292
50008,19968,19968,100.0,0.0,75.3027634709471,1688527351.241
50008,19968,19968,100.0,0.0,75.44170965101266,1688527348.233
50048,19984,19984,8.566721581548597,33.0,68.45696946632151,1688527460.472
50040,19992,19984,8.381742738589216,0.0,73.69935264872541,1688527388.332
50040,19984,19984,7.864238410596025,64.8,68.46511722945404,1688527412.383
50008,19968,19968,100.0,0.0,75.30096278975323,1688527349.235
50040,19984,19984,8.62354892205639,0.1,69.98000094503836,1688527482.52
50040,19992,19984,0.4128819157720897,0.0,76.52343375855803,1688527336.198
50048,19984,19984,7.545605306799342,44.1,68.46920388180891,1688527397.349
50056,19992,19984,8.540630182421227,0.0,74.12401968233941,1688527381.319
50040,19984,19984,7.551867219917008,52.7,68.44828533006742,1688527468.488
50056,19992,19984,6.99417152373022,51.1,68.47180912268513,1688527401.357
50040,19984,19984,7.551867219917008,52.7,68.44828533006742,1688527468.488
50048,19992,19992,0.7431874483897594,0.0,76.52459590032144,1688527339.207
50056,19992,19984,8.312757201646093,52.3,68.46012385110794,1688527433.422
50040,19992,19984,8.609271523178808,0.0,73.70913507279988,1688527386.327
50040,19984,19984,7.468879668049788,46.4,68.45829762833685,1688527448.447
50048,19992,19992,0.577081615828523,0.0,76.52432771376066,1688527341.212
50056,19992,19984,8.505367464905033,36.6,68.47446544671581,1688527410.379
50048,19992,19984,8.112582781456956,30.5,68.46552589468953,1688527408.374
50048,19992,19984,8.175061932287363,41.7,68.46702007695677,1688527407.372
50056,19992,19992,7.628524046434492,0.0,72.66987383737933,1688527389.334
50040,19984,19984,8.62354892205639,0.1,69.98000094503836,1688527483.523
50048,19984,19984,7.392026578073086,38.2,68.46323992352852,1688527399.351
50048,19992,19992,8.684863523573206,0.0,74.66915356490179,1688527371.292
50056,19992,19992,7.628524046434492,0.0,72.66987383737933,1688527389.334
50040,19992,19984,0.4954582989265099,0.0,76.52598791627982,1688527342.215
50040,19992,19984,8.457711442786064,0.0,74.8646998800823,1688527369.287
50056,19992,19984,7.787903893951942,35.1,68.46537264522622,1688527421.4
50048,19984,19984,8.139534883720934,33.0,68.45598611559862,1688527462.477
50040,19992,19984,3.075644222776397,0.0,76.44021929998199,1688527344.221
50040,19984,19984,7.883817427385898,32.3,68.44468396767968,1688527475.502
50048,19984,19984,8.602150537634412,0.0,75.23088947265583,1688527366.278
50048,19984,19984,7.487520798668889,60.9,68.46510445866542,1688527413.384
50048,19992,19984,8.112582781456956,30.5,68.46552589468953,1688527408.374
