energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50040,19992,19984,0.3303055326176696,0,76.31082566979593,1688527855.031
50040,19992,19984,0.3303055326176696,0,76.31082566979593,1688527855.031
50048,19992,19992,0.660066006600657,0,76.31403113773678,1688527856.033
50048,19992,19992,0.660066006600657,0,76.31403113773678,1688527856.033
50048,19992,19992,0.660066006600657,0,76.31403113773678,1688527857.036
50048,19992,19992,0.660066006600657,0,76.31403113773678,1688527857.036
50040,19992,19984,0.41288191577208977,0,76.31778574958781,1688527858.039
50040,19992,19984,0.41288191577208977,0,76.31778574958781,1688527858.039
50040,19992,19984,0.41288191577208977,0,76.31778574958781,1688527859.042
50040,19992,19984,0.41288191577208977,0,76.31778574958781,1688527859.042
50040,19992,19984,0.41288191577208977,0,76.322319379544,1688527860.045
50040,19992,19984,0.41288191577208977,0,76.322319379544,1688527860.045
50040,19992,19984,0.6617038875103343,0,76.32072303096788,1688527861.047
50040,19992,19984,0.6617038875103343,0,76.32072303096788,1688527861.047
50040,19992,19984,0.6617038875103343,0,76.32072303096788,1688527862.051
50040,19992,19984,0.6617038875103343,0,76.32072303096788,1688527862.051
50048,19992,19984,4.971002485501241,0,76.1784692166526,1688527863.054
50048,19992,19984,4.971002485501241,0,76.1784692166526,1688527863.054
50048,19984,19984,90.77306733167082,0,75.70159519920514,1688527864.057
50048,19984,19984,90.77306733167082,0,75.70159519920514,1688527864.057
50000,19968,19968,99.6891996891997,0,74.6788593642446,1688527865.06
50000,19968,19968,99.6891996891997,0,74.6788593642446,1688527865.06
50000,19968,19968,99.6891996891997,0,74.6788593642446,1688527866.062
50000,19968,19968,99.6891996891997,0,74.6788593642446,1688527866.062
50008,19968,19968,100,0,73.89420934132104,1688527867.065
50008,19968,19968,100,0,73.89420934132104,1688527867.065
50000,19968,19968,100,0,73.14054125156282,1688527868.068
50000,19968,19968,100,0,73.14054125156282,1688527868.068
50000,19968,19968,100,0,73.14054125156282,1688527869.071
50000,19968,19968,100,0,73.14054125156282,1688527869.071
50000,19968,19968,100,0,72.43408676729197,1688527870.074
50000,19968,19968,100,0,72.43408676729197,1688527870.074
50008,19968,19968,100,0,72.36211060269183,1688527871.076
50008,19968,19968,100,0,72.36211060269183,1688527871.076
50008,19968,19968,31.95364238410596,0,71.94055964149842,1688527872.079
50008,19968,19968,31.95364238410596,0,71.94055964149842,1688527872.079
50008,19968,19968,31.95364238410596,0,71.94055964149842,1688527873.082
50008,19968,19968,31.95364238410596,0,71.94055964149842,1688527873.082
50040,19984,19984,8.526490066225168,0,71.72442681508025,1688527874.085
50040,19984,19984,8.526490066225168,0,71.72442681508025,1688527874.085
50048,19984,19984,8.602150537634412,0,71.64609079775285,1688527875.088
50048,19984,19984,8.602150537634412,0,71.64609079775285,1688527875.088
50048,19984,19984,8.602150537634412,0,71.64609079775285,1688527876.091
50048,19984,19984,8.602150537634412,0,71.64609079775285,1688527876.091
50056,19992,19984,8.381742738589216,0,71.64538840437936,1688527877.094
50056,19992,19984,8.381742738589216,0,71.64538840437936,1688527877.094
50048,19984,19984,8.132780082987557,0,71.24473045335023,1688527878.097
50048,19984,19984,8.132780082987557,0,71.24473045335023,1688527878.097
50048,19984,19984,8.132780082987557,0,71.24473045335023,1688527879.1
50048,19984,19984,8.132780082987557,0,71.24473045335023,1688527879.1
50040,19992,19984,8.609271523178808,0,71.18627855388698,1688527880.103
50040,19992,19984,8.609271523178808,0,71.18627855388698,1688527880.103
50040,19992,19984,8.533554266777132,0,71.07284840946213,1688527881.105
50040,19992,19984,8.533554266777132,0,71.07284840946213,1688527881.105
50040,19992,19984,8.533554266777132,0,71.07284840946213,1688527882.109
50040,19992,19984,8.533554266777132,0,71.07284840946213,1688527882.109
50040,19984,19984,8.774834437086088,0,71.05776610811493,1688527883.111
50040,19984,19984,8.774834437086088,0,71.05776610811493,1688527883.111
50048,19992,19984,8.526490066225168,0,71.1515547796592,1688527884.114
50048,19992,19984,8.526490066225168,0,71.1515547796592,1688527884.114
50040,19992,19984,8.450704225352112,0,71.09970537790679,1688527885.117
50040,19992,19984,8.450704225352112,0,71.09970537790679,1688527885.117
50040,19992,19984,8.450704225352112,0,71.09970537790679,1688527886.119
50040,19992,19984,8.450704225352112,0,71.09970537790679,1688527886.119
50040,19984,19984,7.775020678246481,0,70.74909614743619,1688527887.122
50040,19984,19984,7.775020678246481,0,70.74909614743619,1688527887.122
50040,19984,19984,8.609271523178808,0,70.6941179024746,1688527888.125
50040,19984,19984,8.609271523178808,0,70.6941179024746,1688527888.125
50040,19984,19984,8.609271523178808,0,70.6941179024746,1688527889.128
50040,19984,19984,8.609271523178808,0,70.6941179024746,1688527889.128
50032,19984,19984,8.533554266777132,0,70.57354888721733,1688527890.131
50032,19984,19984,8.533554266777132,0,70.57354888721733,1688527890.131
50040,19984,19984,8.533554266777132,0,70.5648136678088,1688527891.133
50040,19984,19984,8.533554266777132,0,70.5648136678088,1688527891.133
50040,19984,19984,8.533554266777132,0,70.5648136678088,1688527892.136
50040,19984,19984,8.533554266777132,0,70.5648136678088,1688527892.136
50032,19984,19976,10.53067993366501,0,70.58812035702017,1688527893.139
50032,19984,19976,10.53067993366501,0,70.58812035702017,1688527893.139
50040,19984,19984,11.333333333333329,0,70.56086749412863,1688527894.141
50040,19984,19984,11.333333333333329,0,70.56086749412863,1688527894.141
50032,19984,19984,8.450704225352112,0,70.44709253841134,1688527895.144
50032,19984,19984,8.450704225352112,0,70.44709253841134,1688527895.144
50032,19984,19984,8.450704225352112,0,70.44709253841134,1688527896.147
50032,19984,19984,8.450704225352112,0,70.44709253841134,1688527896.147
50040,19984,19984,8.029801324503316,0,70.46992670844418,1688527897.15
50040,19984,19984,8.029801324503316,0,70.46992670844418,1688527897.15
50040,19984,19984,8.609271523178808,0,70.46718098889325,1688527898.153
50040,19984,19984,8.609271523178808,0,70.46718098889325,1688527898.153
50040,19984,19984,8.609271523178808,0,70.46718098889325,1688527899.154
50040,19984,19984,8.609271523178808,0,70.46718098889325,1688527899.154
50032,19984,19984,8.533554266777132,0,70.39440026461074,1688527900.157
50032,19984,19984,8.533554266777132,0,70.39440026461074,1688527900.157
50040,19984,19984,8.526490066225168,0,70.3607492366261,1688527901.159
50040,19984,19984,8.526490066225168,0,70.3607492366261,1688527901.159
50048,19992,19984,7.794361525704807,0,70.44359334233248,1688527902.162
50048,19992,19984,7.794361525704807,0,70.44359334233248,1688527902.162
50048,19992,19984,7.794361525704807,0,70.44359334233248,1688527903.163
50048,19992,19984,7.794361525704807,0,70.44359334233248,1688527903.163
50048,19992,19984,8.450704225352112,0,70.43640338834564,1688527904.165
50048,19992,19984,8.450704225352112,0,70.43640338834564,1688527904.165
50056,19992,19984,8.533554266777132,0,70.35009839892624,1688527905.168
50056,19992,19984,8.533554266777132,0,70.35009839892624,1688527905.168
50056,19992,19984,8.533554266777132,0,70.35009839892624,1688527906.171
50056,19992,19984,8.533554266777132,0,70.35009839892624,1688527906.171
50048,19984,19984,8.692052980132448,0,70.33275566799524,1688527907.173
50048,19984,19984,8.692052980132448,0,70.33275566799524,1688527907.173
50048,19984,19984,8.533554266777132,0,70.35050706416172,1688527908.177
50048,19984,19984,8.533554266777132,0,70.35050706416172,1688527908.177
50048,19984,19984,8.533554266777132,0,70.35050706416172,1688527909.179
50048,19984,19984,8.533554266777132,0,70.35050706416172,1688527909.179
50048,19984,19984,8.533554266777132,0,70.27775188145642,1688527910.18
50048,19984,19984,8.533554266777132,0,70.27775188145642,1688527910.18
50032,19984,19984,8.533554266777132,0,70.10954782468772,1688527911.182
50032,19984,19984,8.533554266777132,0,70.10954782468772,1688527911.182
50056,19992,19984,8.450704225352112,0,70.10981601124851,1688527912.185
50056,19992,19984,8.450704225352112,0,70.10981601124851,1688527912.185
50056,19992,19984,8.450704225352112,0,70.10981601124851,1688527913.188
50056,19992,19984,8.450704225352112,0,70.10981601124851,1688527913.188
50040,19984,19984,7.6348547717842274,0,70.26371678477517,1688527914.19
50040,19984,19984,7.6348547717842274,0,70.26371678477517,1688527914.19
50048,19984,19984,8.540630182421227,8.1,70.09764544970416,1688527915.193
50048,19984,19984,8.540630182421227,8.1,70.09764544970416,1688527915.193
50048,19984,19984,8.540630182421227,8.1,70.09764544970416,1688527916.196
50048,19984,19984,8.540630182421227,8.1,70.09764544970416,1688527916.196
50056,19992,19984,7.26072607260726,72.1,68.09088204005685,1688527917.198
50056,19992,19984,7.26072607260726,72.1,68.09088204005685,1688527917.198
50048,19984,19984,5.560165975103737,55.4,66.85721108964199,1688527918.2
50048,19984,19984,5.560165975103737,55.4,66.85721108964199,1688527918.2
50048,19984,19984,8.29187396351575,38.8,66.85127267293882,1688527919.201
50048,19984,19984,8.29187396351575,38.8,66.85127267293882,1688527919.201
50048,19984,19984,8.29187396351575,38.8,66.85127267293882,1688527920.203
50048,19984,19984,8.29187396351575,38.8,66.85127267293882,1688527920.203
50048,19984,19984,8.215767634854776,36.3,66.85216662814145,1688527921.204
50048,19984,19984,8.215767634854776,36.3,66.85216662814145,1688527921.204
50040,19984,19984,8.450704225352112,38.7,66.84749251951058,1688527922.207
50040,19984,19984,8.450704225352112,38.7,66.84749251951058,1688527922.207
50040,19984,19984,8.450704225352112,38.7,66.84749251951058,1688527923.209
