energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50056,19992,19984,5.39867109634552,72.9,68.84211090919075,1688527732.56
50056,19992,19984,5.39867109634552,72.9,68.84211090919075,1688527732.56
50048,19984,19984,7.431874483897605,52.0,68.26272577157913,1688527733.561
50048,19984,19984,7.431874483897605,52.0,68.26272577157913,1688527733.561
50048,19984,19984,8.720930232558144,44.9,68.26160194218153,1688527734.562
50048,19984,19984,8.720930232558144,44.9,68.26160194218153,1688527734.562
50048,19984,19984,8.684863523573206,46.2,68.2622660231892,1688527735.563
50048,19984,19984,8.684863523573206,46.2,68.2622660231892,1688527735.563
50048,19984,19984,8.684863523573206,46.2,68.2622660231892,1688527736.566
50048,19984,19984,8.684863523573206,46.2,68.2622660231892,1688527736.566
50048,19984,19984,8.367854183927093,41.0,68.26488403485403,1688527737.569
50048,19984,19984,8.367854183927093,41.0,68.26488403485403,1688527737.569
50048,19984,19984,7.966804979253117,37.9,68.26331322785514,1688527738.572
50048,19984,19984,7.966804979253117,37.9,68.26331322785514,1688527738.572
50048,19984,19984,7.966804979253117,37.9,68.26331322785514,1688527739.575
50048,19984,19984,7.966804979253117,37.9,68.26331322785514,1688527739.575
50040,19984,19984,8.056478405315614,29.0,68.26330045706652,1688527740.578
50040,19984,19984,8.056478405315614,29.0,68.26330045706652,1688527740.578
50048,19984,19984,8.195364238410596,30.7,68.26266191763608,1688527741.579
50048,19984,19984,8.195364238410596,30.7,68.26266191763608,1688527741.579
