energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50056,19992,19984,5.070656691604325,50.5,67.41180812656363,1688527584.639
50056,19992,19984,5.070656691604325,50.5,67.41180812656363,1688527584.639
50064,19992,19992,8.278145695364236,50.1,67.02024297702407,1688527585.642
50064,19992,19992,8.278145695364236,50.1,67.02024297702407,1688527585.642
50056,19992,19984,8.381742738589216,36.2,67.02439348332199,1688527586.643
50056,19992,19984,8.381742738589216,36.2,67.02439348332199,1688527586.643
50056,19992,19984,8.381742738589216,36.2,67.02439348332199,1688527587.644
50056,19992,19984,8.381742738589216,36.2,67.02439348332199,1688527587.644
50064,19992,19992,7.993338884263112,41.7,67.02675607921465,1688527588.646
50064,19992,19992,7.993338884263112,41.7,67.02675607921465,1688527588.646
50056,19992,19984,8.354011579818032,33.0,67.03247739251147,1688527589.648
50056,19992,19984,8.354011579818032,33.0,67.03247739251147,1688527589.648
