energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19992,19984,8.175061932287363,41.7,68.46702007695677,1688527406.369
50048,19992,19984,7.475083056478404,37.9,68.47086408432807,1688527403.363
50056,19992,19984,8.505367464905033,36.6,68.47446544671581,1688527409.377
50048,19992,19984,8.175061932287363,41.7,68.46702007695677,1688527407.372
50056,19992,19984,7.622203811101902,35.2,68.46838655133793,1688527405.367
50048,19992,19984,8.175061932287363,41.7,68.46702007695677,1688527407.372
50048,19992,19984,8.112582781456956,30.5,68.46552589468953,1688527408.374
50056,19992,19984,8.505367464905033,36.6,68.47446544671581,1688527409.377
50048,19992,19984,8.112582781456956,30.5,68.46552589468953,1688527408.374
50048,19992,19984,7.475083056478404,37.9,68.47086408432807,1688527402.36
50056,19992,19984,7.883817427385898,36.6,68.47168141479905,1688527404.365
