energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19984,19984,8.319467554076542,35.0,67.20352933513998,1688527236.858
50048,19984,19984,8.319467554076542,35.0,67.20352933513998,1688527236.858
50048,19984,19984,7.923269391159304,47.9,67.2136821120841,1688527237.86
50048,19984,19984,7.923269391159304,47.9,67.2136821120841,1688527237.86
50048,19984,19984,7.923269391159304,47.9,67.2136821120841,1688527238.863
50048,19984,19984,7.923269391159304,47.9,67.2136821120841,1688527238.863
50048,19984,19984,8.540630182421227,44.8,67.20587916024402,1688527239.865
50048,19984,19984,8.540630182421227,44.8,67.20587916024402,1688527239.865
50048,19984,19984,8.132780082987557,38.3,67.2054066410655,1688527240.867
50048,19984,19984,8.132780082987557,38.3,67.2054066410655,1688527240.867
50048,19984,19984,8.126036484245436,28.5,67.20032386719912,1688527241.87
50048,19984,19984,8.126036484245436,28.5,67.20032386719912,1688527241.87
50048,19984,19984,8.126036484245436,28.5,67.20032386719912,1688527242.873
50048,19984,19984,8.126036484245436,28.5,67.20032386719912,1688527242.873
50056,19992,19984,8.602150537634412,34.6,67.20216286075882,1688527243.875
50056,19992,19984,8.602150537634412,34.6,67.20216286075882,1688527243.875
50048,19984,19984,8.202154101077053,40.4,67.20582807708959,1688527244.877
50048,19984,19984,8.202154101077053,40.4,67.20582807708959,1688527244.877
50048,19984,19984,8.202154101077053,40.4,67.20582807708959,1688527245.88
50048,19984,19984,8.202154101077053,40.4,67.20582807708959,1688527245.88
