energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19984,19984,7.6348547717842274,54.9,68.26429657857803,1688527749.594
50048,19984,19984,7.6348547717842274,54.9,68.26429657857803,1688527748.592
50040,19984,19984,7.953603976801993,35.1,68.26922610298108,1688527752.599
50048,19984,19984,7.6348547717842274,54.9,68.26429657857803,1688527748.592
50040,19984,19984,7.883817427385898,51.0,68.26664640368207,1688527751.598
50048,19984,19984,7.6348547717842274,54.9,68.26429657857803,1688527749.594
50048,19984,19984,8.02315963606286,52.3,68.26089954880804,1688527750.596
50048,19984,19984,8.02315963606286,52.3,68.26089954880804,1688527750.596
50040,19984,19984,7.953603976801993,35.1,68.26922610298108,1688527752.599
50040,19984,19984,7.883817427385898,51.0,68.26664640368207,1688527751.598
