energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50056,19992,19984,8.215767634854776,46.9,67.02978275611497,1688527603.687
50056,19992,19984,8.215767634854776,46.9,67.02978275611497,1688527603.687
50056,19992,19984,8.215767634854776,46.9,67.02978275611497,1688527604.693
50056,19992,19984,8.215767634854776,46.9,67.02978275611497,1688527604.693
50056,19992,19984,8.22942643391521,41.9,67.02873555144903,1688527605.695
50056,19992,19984,8.22942643391521,41.9,67.02873555144903,1688527605.695
50064,19992,19992,7.903494176372716,33.3,67.03011479661882,1688527606.697
50064,19992,19992,7.903494176372716,33.3,67.03011479661882,1688527606.697
50064,19992,19992,7.903494176372716,33.3,67.03011479661882,1688527607.7
50064,19992,19992,7.903494176372716,33.3,67.03011479661882,1688527607.7
50048,19992,19984,8.616404308202153,38.0,67.02805869965276,1688527608.701
50048,19992,19984,8.616404308202153,38.0,67.02805869965276,1688527608.701
50056,19992,19984,8.374792703150913,27.2,67.02632187240194,1688527609.702
50056,19992,19984,8.374792703150913,27.2,67.02632187240194,1688527609.702
