energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50048,19984,19984,8.374792703150913,31.8,67.20335054409945,1688527256.907
50048,19984,19984,8.374792703150913,31.8,67.20335054409945,1688527256.907
50056,19992,19984,8.62354892205639,45.3,67.20207346523856,1688527257.91
50056,19992,19984,8.62354892205639,45.3,67.20207346523856,1688527257.91
50048,19984,19984,8.354011579818032,41.0,67.20125613476758,1688527258.912
50048,19984,19984,8.354011579818032,41.0,67.20125613476758,1688527258.912
50048,19984,19984,8.354011579818032,41.0,67.20125613476758,1688527259.914
50048,19984,19984,8.354011579818032,41.0,67.20125613476758,1688527259.914
50056,19992,19984,8.835672997522703,46.8,67.19985134802059,1688527260.916
50056,19992,19984,8.835672997522703,46.8,67.19985134802059,1688527260.916
50056,19992,19984,8.767576509511999,34.5,67.19985134802059,1688527261.919
50056,19992,19984,8.767576509511999,34.5,67.19985134802059,1688527261.919
50056,19992,19984,8.767576509511999,34.5,67.19985134802059,1688527262.921
50056,19992,19984,8.767576509511999,34.5,67.19985134802059,1688527262.921
50056,19992,19984,8.498349834983498,28.1,67.19736104424184,1688527263.923
50056,19992,19984,8.498349834983498,28.1,67.19736104424184,1688527263.923
50056,19992,19984,8.684863523573206,28.4,67.19867643546856,1688527264.925
50056,19992,19984,8.684863523573206,28.4,67.19867643546856,1688527264.925
50056,19992,19984,8.132780082987557,22.8,67.2011411976701,1688527265.927
50056,19992,19984,8.132780082987557,22.8,67.2011411976701,1688527265.927
