energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4560,1200,760,0.8250825082508295,0,26.03111027200241,1699823668.902
4560,1200,760,0.8250825082508295,0,26.03111027200241,1699823668.902
4560,1200,760,0.8250825082508295,0,26.03111027200241,1699823669.903
4560,1200,760,0.8250825082508295,0,26.03111027200241,1699823669.903
4560,1200,760,1.1532125205930832,0,26.030996193780116,1699823670.905
4560,1200,760,1.1532125205930832,0,26.030996193780116,1699823670.905
4560,1200,760,1.1532125205930832,0,26.030996193780116,1699823671.906
4560,1200,760,1.1532125205930832,0,26.030996193780116,1699823671.906
4560,1200,760,0.8223684210526327,0,26.029513176890262,1699823672.907
4560,1200,760,0.8223684210526327,0,26.029513176890262,1699823672.907
4560,1200,760,0.8264462809917328,0,26.02557747822104,1699823673.908
4560,1200,760,0.8264462809917328,0,26.02557747822104,1699823673.908
4560,1200,760,0.8264462809917328,0,26.02557747822104,1699823674.909
4560,1200,760,0.8264462809917328,0,26.02557747822104,1699823674.909
4560,1200,760,1.320132013201325,0,26.016280103103895,1699823675.91
4560,1200,760,1.320132013201325,0,26.016280103103895,1699823675.91
4560,1200,760,1.320132013201325,0,26.016280103103895,1699823676.911
4560,1200,760,1.320132013201325,0,26.016280103103895,1699823676.911
4560,1200,760,1.1532125205930832,0,26.017420885326857,1699823677.913
4560,1200,760,1.1532125205930832,0,26.017420885326857,1699823677.913
4560,1200,760,1.1532125205930832,0,26.017420885326857,1699823678.914
4560,1200,760,1.1532125205930832,0,26.017420885326857,1699823678.914
4520,1200,760,0.990099009900991,0,26.01496820354749,1699823679.915
4520,1200,760,0.990099009900991,0,26.01496820354749,1699823679.915
4560,1200,760,0.8264462809917328,0,26.016280103103895,1699823680.916
4560,1200,760,0.8264462809917328,0,26.016280103103895,1699823680.916
4560,1200,760,0.8264462809917328,0,26.016280103103895,1699823681.917
4560,1200,760,0.8264462809917328,0,26.016280103103895,1699823681.917
4520,1200,760,25.249169435215947,0,25.49802273921205,1699823682.918
4520,1200,760,25.249169435215947,0,25.49802273921205,1699823682.918
4520,1200,760,25.249169435215947,0,25.49802273921205,1699823683.92
4520,1200,760,25.249169435215947,0,25.49802273921205,1699823683.92
5440,1240,1560,64.29752066115702,0,24.762959713846186,1699823684.921
5440,1240,1560,64.29752066115702,0,24.762959713846186,1699823684.921
5440,1240,1560,64.29752066115702,0,24.762959713846186,1699823685.922
5440,1240,1560,64.29752066115702,0,24.762959713846186,1699823685.922
6560,1240,2680,100,0,23.913191035961447,1699823686.923
6560,1240,2680,100,0,23.913191035961447,1699823686.923
6560,1240,2680,100,0,23.913191035961447,1699823687.924
6560,1240,2680,100,0,23.913191035961447,1699823687.924
6560,1240,2680,100,0,23.37844936894779,1699823688.926
6560,1240,2680,100,0,23.37844936894779,1699823688.926
6560,1240,2680,100,0,23.37844936894779,1699823689.927
6560,1240,2680,100,0,23.37844936894779,1699823689.927
6520,1240,2680,99.50576606260296,0,23.00786626381844,1699823690.928
6520,1240,2680,99.50576606260296,0,23.00786626381844,1699823690.928
6520,1240,2680,99.50576606260296,0,23.00786626381844,1699823691.929
6520,1240,2680,99.50576606260296,0,23.00786626381844,1699823691.929
6560,1240,2680,99.835255354201,0,22.508545884827768,1699823692.93
6560,1240,2680,99.835255354201,0,22.508545884827768,1699823692.93
5720,1240,1840,17.79242174629324,0,21.548235409537966,1699823693.931
5720,1240,1840,17.79242174629324,0,21.548235409537966,1699823693.931
5720,1240,1840,17.79242174629324,0,21.548235409537966,1699823694.932
5720,1240,1840,17.79242174629324,0,21.548235409537966,1699823694.932
5240,1240,1320,17.520661157024797,0,19.30562867652721,1699823695.934
5240,1240,1320,17.520661157024797,0,19.30562867652721,1699823695.934
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823696.935
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823696.935
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823697.936
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823697.936
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823698.937
5600,1360,1400,17.79242174629324,0,17.851644694250403,1699823698.937
6680,1520,2200,45.75707154742097,0,20.12408288239163,1699823699.938
6680,1520,2200,45.75707154742097,0,20.12408288239163,1699823699.938
5240,1240,1360,18.003273322422263,0,20.10936679171541,1699823700.94
5240,1240,1360,18.003273322422263,0,20.10936679171541,1699823700.94
5240,1240,1360,18.003273322422263,0,20.10936679171541,1699823701.941
5240,1240,1360,18.003273322422263,0,20.10936679171541,1699823701.941
5160,1240,1280,21.297836938435942,0,21.155521129283137,1699823702.942
5160,1240,1280,21.297836938435942,0,21.155521129283137,1699823702.942
5160,1240,1280,21.297836938435942,0,21.155521129283137,1699823703.943
5160,1240,1280,21.297836938435942,0,21.155521129283137,1699823703.943
5320,1280,1400,22.84768211920529,0,21.158430123951693,1699823704.944
5320,1280,1400,22.84768211920529,0,21.158430123951693,1699823704.944
5280,1240,1400,21.07023411371237,0,21.1476497319447,1699823705.946
5280,1240,1400,21.07023411371237,0,21.1476497319447,1699823705.946
5280,1240,1400,21.07023411371237,0,21.1476497319447,1699823706.947
5280,1240,1400,21.07023411371237,0,21.1476497319447,1699823706.947
5280,1240,1400,21.131447587354412,0,21.1535817995041,1699823707.948
5280,1240,1400,21.131447587354412,0,21.1535817995041,1699823707.948
5280,1240,1400,21.131447587354412,0,21.1535817995041,1699823708.949
5280,1240,1400,21.131447587354412,0,21.1535817995041,1699823708.949
5240,1240,1400,20.666666666666668,0,21.15278325194803,1699823709.951
5240,1240,1400,20.666666666666668,0,21.15278325194803,1699823709.951
5240,1240,1400,20.666666666666668,0,21.15278325194803,1699823710.952
5240,1240,1400,20.666666666666668,0,21.15278325194803,1699823710.952
5240,1240,1400,21.464226289517473,0,21.15455146439362,1699823711.953
5240,1240,1400,21.464226289517473,0,21.15455146439362,1699823711.953
5240,1240,1400,21.464226289517473,0,21.15455146439362,1699823712.954
5240,1240,1400,21.464226289517473,0,21.15455146439362,1699823712.954
5200,1240,1400,20.198675496688743,0,21.15489369906051,1699823713.955
5200,1240,1400,20.198675496688743,0,21.15489369906051,1699823713.955
5240,1240,1400,20.297029702970292,0,21.14605263683255,1699823714.956
