energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435559.855
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435559.855
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435560.864
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435560.864
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435561.87
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435561.87
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435562.88
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435562.88
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435563.89
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435563.89
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435564.898
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435564.898
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435565.909
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435565.909
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435566.919
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435566.919
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435567.924
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435567.924
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435568.933
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435568.933
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435569.943
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435569.943
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435570.953
6040,1400,1680,20.398009950248756,0.0,26.988652081782583,1689435570.953
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435571.963
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435571.963
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435572.972
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435572.972
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435573.981
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435573.981
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435574.99
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435574.99
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435575.998
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435575.998
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435577.009
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435577.009
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435578.014
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435578.014
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435579.023
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435580.03
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435580.03
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435580.03
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435581.04
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435581.04
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435582.051
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435582.051
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435583.061
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435583.061
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435584.07
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435584.07
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435585.076
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435585.076
7200,1400,2800,97.85831960461286,24.2,27.5240776073261,1689435586.086
