energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
5200,1240,1360,18.37748344370861,0.0,21.09568710168876,1699823867.146
5200,1240,1360,18.37748344370861,0.0,21.09568710168876,1699823867.146
5200,1240,1360,18.37748344370861,0.0,21.09568710168876,1699823868.148
5200,1240,1360,18.37748344370861,0.0,21.09568710168876,1699823868.148
5200,1240,1360,22.909698996655514,0.0,21.1156507905906,1699823869.15
5200,1240,1360,22.909698996655514,0.0,21.1156507905906,1699823869.15
5320,1240,1440,21.60804020100503,0.0,21.098824252801904,1699823870.151
5320,1240,1440,21.60804020100503,0.0,21.098824252801904,1699823870.151
5320,1240,1440,21.60804020100503,0.0,21.098824252801904,1699823871.152
5320,1240,1440,21.60804020100503,0.0,21.098824252801904,1699823871.152
5280,1240,1400,21.287128712871283,0.0,21.10738011947412,1699823872.153
5280,1240,1400,21.287128712871283,0.0,21.10738011947412,1699823872.153
5280,1240,1400,21.287128712871283,0.0,21.10738011947412,1699823873.155
5280,1240,1400,21.287128712871283,0.0,21.10738011947412,1699823873.155
5240,1240,1400,20.96505823627288,0.0,21.116734533702413,1699823874.156
5240,1240,1400,20.96505823627288,0.0,21.116734533702413,1699823874.156
5240,1240,1400,20.96505823627288,0.0,21.116734533702413,1699823875.157
5240,1240,1400,20.96505823627288,0.0,21.116734533702413,1699823875.157
5240,1240,1400,19.798657718120804,0.0,21.10475632036131,1699823876.159
5240,1240,1400,19.798657718120804,0.0,21.10475632036131,1699823876.159
5240,1240,1400,20.06688963210702,0.0,21.104927437694755,1699823877.16
5240,1240,1400,20.06688963210702,0.0,21.104927437694755,1699823877.16
5240,1240,1400,20.06688963210702,0.0,21.104927437694755,1699823878.161
5240,1240,1400,20.06688963210702,0.0,21.104927437694755,1699823878.161
5240,1240,1400,20.0,0.0,21.107037884807237,1699823879.162
5240,1240,1400,20.0,0.0,21.107037884807237,1699823879.162
5240,1240,1400,20.0,0.0,21.107037884807237,1699823880.164
5240,1240,1400,20.0,0.0,21.107037884807237,1699823880.164
5200,1240,1400,20.428336079077425,0.0,21.12141174081656,1699823881.165
5200,1240,1400,20.428336079077425,0.0,21.12141174081656,1699823881.165
5200,1240,1400,20.428336079077425,0.0,21.12141174081656,1699823882.166
5200,1240,1400,20.428336079077425,0.0,21.12141174081656,1699823882.166
5280,1240,1440,20.198675496688743,0.0,21.11981464570441,1699823883.168
5280,1240,1440,20.198675496688743,0.0,21.11981464570441,1699823883.168
5280,1240,1440,20.198675496688743,0.0,21.11981464570441,1699823884.169
5280,1240,1440,20.198675496688743,0.0,21.11981464570441,1699823884.169
5240,1240,1440,19.933554817275745,0.0,21.118502746148007,1699823885.17
5240,1240,1440,19.933554817275745,0.0,21.118502746148007,1699823885.17
5200,1240,1360,19.467554076539106,0.0,21.116905651035857,1699823886.172
5200,1240,1360,19.467554076539106,0.0,21.116905651035857,1699823886.172
5200,1240,1360,19.467554076539106,0.0,21.116905651035857,1699823887.173
5200,1240,1360,19.467554076539106,0.0,21.116905651035857,1699823887.173
5200,1240,1360,19.269102990033225,0.0,21.123750344373637,1699823888.175
5200,1240,1360,19.269102990033225,0.0,21.123750344373637,1699823888.175
5200,1240,1360,19.269102990033225,0.0,21.123750344373637,1699823889.176
5200,1240,1360,19.269102990033225,0.0,21.123750344373637,1699823889.176
5200,1240,1360,20.0,0.0,21.12049911503819,1699823890.177
5200,1240,1360,20.0,0.0,21.12049911503819,1699823890.177
5200,1240,1360,20.0,0.0,21.12049911503819,1699823891.178
5200,1240,1360,20.0,0.0,21.12049911503819,1699823891.178
5200,1240,1360,21.08731466227347,0.0,21.099451683024533,1699823892.179
5200,1240,1360,21.08731466227347,0.0,21.099451683024533,1699823892.179
5240,1240,1400,19.402985074626866,0.0,21.094204084798907,1699823893.181
5240,1240,1400,19.402985074626866,0.0,21.094204084798907,1699823893.181
5240,1240,1400,19.402985074626866,0.0,21.094204084798907,1699823894.182
5240,1240,1400,19.402985074626866,0.0,21.094204084798907,1699823894.182
5240,1240,1400,19.30116472545757,0.0,21.08313849723617,1699823895.183
5240,1240,1400,19.30116472545757,0.0,21.08313849723617,1699823895.183
5240,1240,1400,19.30116472545757,0.0,21.08313849723617,1699823896.184
5240,1240,1400,19.30116472545757,0.0,21.08313849723617,1699823896.184
5280,1240,1400,19.402985074626866,0.0,21.108406823474787,1699823897.186
5280,1240,1400,19.402985074626866,0.0,21.108406823474787,1699823897.186
