energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
5240,1240,1400,18.73963515754561,0,20.29645507628125,1699822243.765
5240,1240,1400,18.73963515754561,0,20.29645507628125,1699822243.765
5240,1240,1400,20.74198988195616,0,20.291606751833665,1699822244.766
5240,1240,1400,20.74198988195616,0,20.291606751833665,1699822244.766
5240,1240,1400,20.74198988195616,0,20.291606751833665,1699822245.767
5240,1240,1400,20.74198988195616,0,20.291606751833665,1699822245.767
5280,1280,1360,23.026315789473685,0,20.285104293162775,1699822246.768
5280,1280,1360,23.026315789473685,0,20.285104293162775,1699822246.768
5280,1240,1400,21.440536013400337,0,20.288868874498554,1699822247.769
5280,1240,1400,21.440536013400337,0,20.288868874498554,1699822247.769
5280,1240,1400,21.440536013400337,0,20.288868874498554,1699822248.77
5280,1240,1400,21.440536013400337,0,20.288868874498554,1699822248.77
5240,1240,1360,21.06135986733002,0,20.29326088605696,1699822249.772
5240,1240,1360,21.06135986733002,0,20.29326088605696,1699822249.772
5240,1240,1360,21.06135986733002,0,20.29326088605696,1699822250.773
5240,1240,1360,21.06135986733002,0,20.29326088605696,1699822250.773
5240,1240,1400,20.40133779264214,0,20.297025467392736,1699822251.774
5240,1240,1400,20.40133779264214,0,20.297025467392736,1699822251.774
5240,1240,1400,20.40133779264214,0,20.297025467392736,1699822252.775
5240,1240,1400,20.40133779264214,0,20.297025467392736,1699822252.775
5240,1240,1400,20.661157024793383,0,20.27170010204297,1699822253.776
5240,1240,1400,20.661157024793383,0,20.27170010204297,1699822253.776
5240,1240,1400,19.800332778702167,0,20.27814552160271,1699822254.777
5240,1240,1400,19.800332778702167,0,20.27814552160271,1699822254.777
5240,1240,1400,19.800332778702167,0,20.27814552160271,1699822255.778
5240,1240,1400,19.800332778702167,0,20.27814552160271,1699822255.778
5240,1240,1400,20.198675496688743,0,20.29240529938974,1699822256.779
5240,1240,1400,20.198675496688743,0,20.29240529938974,1699822256.779
5240,1240,1400,20.198675496688743,0,20.29240529938974,1699822257.781
5240,1240,1400,20.198675496688743,0,20.29240529938974,1699822257.781
5200,1240,1360,19.86754966887417,0,20.267251051373417,1699822258.782
5200,1240,1360,19.86754966887417,0,20.267251051373417,1699822258.782
5200,1240,1360,19.86754966887417,0,20.267251051373417,1699822259.783
5200,1240,1360,19.86754966887417,0,20.267251051373417,1699822259.783
5240,1240,1400,19.90049751243781,0,20.27786032604697,1699822260.784
5240,1240,1400,19.90049751243781,0,20.27786032604697,1699822260.784
5240,1240,1400,19.90049751243781,0,20.27786032604697,1699822261.786
5240,1240,1400,19.90049751243781,0,20.27786032604697,1699822261.786
5240,1240,1360,19.56882255389718,0,20.273639431822005,1699822262.787
5240,1240,1360,19.56882255389718,0,20.273639431822005,1699822262.787
5240,1240,1400,19.96699669966997,0,20.27922926471452,1699822263.788
5240,1240,1400,19.96699669966997,0,20.27922926471452,1699822263.788
5240,1240,1400,19.96699669966997,0,20.27922926471452,1699822264.79
5240,1240,1400,19.96699669966997,0,20.27922926471452,1699822264.79
5240,1240,1360,19.5364238410596,0,20.276719543824004,1699822265.791
5240,1240,1360,19.5364238410596,0,20.276719543824004,1699822265.791
5240,1240,1360,19.5364238410596,0,20.276719543824004,1699822266.792
