energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431049.405
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431049.405
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431050.413
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431050.413
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431051.424
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431051.424
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431052.433
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431052.433
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431053.442
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431053.442
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431054.448
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431054.448
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431055.457
7400,1480,2840,99.17355371900828,0.0,12.042368603427477,1689431055.457
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431056.465
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431056.465
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431057.472
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431057.472
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431058.478
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431058.478
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431059.485
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431059.485
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431060.494
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431060.494
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431061.503
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431061.503
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431062.512
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431062.512
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431063.52
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431063.52
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431064.529
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431064.529
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431065.535
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431065.535
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431066.54
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431066.54
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431067.55
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431067.55
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431068.554
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431068.554
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431069.562
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431069.562
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431070.57
7320,1440,2800,99.009900990099,5.4,12.043110111026504,1689431070.57
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431071.574
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431071.574
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431072.581
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431072.581
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431073.59
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431073.59
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431074.595
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431074.595
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431075.607
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431075.607
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431076.615
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431076.615
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431077.623
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431077.623
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431078.632
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431078.632
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431079.641
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431079.641
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431080.646
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431080.646
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431081.656
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431081.656
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431082.679
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431082.679
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431083.688
7280,1440,2800,98.0295566502463,6.7,12.036265425497024,1689431083.688
