energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
7160,1600,2240,29.38230383973289,62.8,3.262291201441947,1689436844.957
7160,1600,2240,29.38230383973289,62.8,3.262291201441947,1689436844.957
7160,1600,2240,29.38230383973289,62.8,3.262291201441947,1689436845.966
7160,1600,2240,29.38230383973289,62.8,3.262291201441947,1689436845.966
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436846.977
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436846.977
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436847.985
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436847.985
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436848.993
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436848.993
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436850.004
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436850.004
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436851.013
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436851.013
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436852.02
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436852.02
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436853.027
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436853.027
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436854.033
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436854.033
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436855.043
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436855.043
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436856.052
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436856.052
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436857.058
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436857.058
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436858.068
5280,1360,960,5.775577557755773,7.1,34.11853284165676,1689436858.068
