energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4560,1200,760,0.8250825082508295,0,19.131031957302802,1699829285.175
4560,1200,760,0.8250825082508295,0,19.131031957302802,1699829285.175
4520,1200,760,0.9884678747940745,0,19.127495532411622,1699829286.177
4520,1200,760,0.9884678747940745,0,19.127495532411622,1699829286.177
4520,1200,760,0.9884678747940745,0,19.127495532411622,1699829287.178
4520,1200,760,0.9884678747940745,0,19.127495532411622,1699829287.178
4520,1200,800,0.991735537190086,0,19.12013748707351,1699829288.179
4520,1200,800,0.991735537190086,0,19.12013748707351,1699829288.179
4520,1200,760,0.8264462809917328,0,19.125213967965696,1699829289.18
4520,1200,760,0.8264462809917328,0,19.125213967965696,1699829289.18
4520,1200,760,0.8264462809917328,0,19.125213967965696,1699829290.181
4520,1200,760,0.8264462809917328,0,19.125213967965696,1699829290.181
4520,1200,760,1.6474464579901205,0,19.129149666634916,1699829291.182
4520,1200,760,1.6474464579901205,0,19.129149666634916,1699829291.182
4520,1200,760,1.6474464579901205,0,19.129149666634916,1699829292.183
4520,1200,760,1.6474464579901205,0,19.129149666634916,1699829292.183
5200,1240,1320,22.55389718076285,0,18.631255265422947,1699829293.185
5200,1240,1320,22.55389718076285,0,18.631255265422947,1699829293.185
5200,1240,1320,22.55389718076285,0,18.631255265422947,1699829294.186
5200,1240,1320,22.55389718076285,0,18.631255265422947,1699829294.186
5320,1240,1440,92.26973684210526,0,17.678530991915846,1699829295.188
5320,1240,1440,92.26973684210526,0,17.678530991915846,1699829295.188
5320,1240,1440,92.26973684210526,0,17.678530991915846,1699829296.189
5320,1240,1440,92.26973684210526,0,17.678530991915846,1699829296.189
6520,1240,2680,99.34102141680395,0,16.82927566603144,1699829297.191
6520,1240,2680,99.34102141680395,0,16.82927566603144,1699829297.191
6520,1240,2680,99.34102141680395,0,16.82927566603144,1699829298.192
6520,1240,2680,99.34102141680395,0,16.82927566603144,1699829298.192
6520,1240,2640,99.50738916256158,0,16.32721740970566,1699829299.193
6520,1240,2640,99.50738916256158,0,16.32721740970566,1699829299.193
6520,1240,2640,99.50738916256158,0,16.32721740970566,1699829300.194
6520,1240,2640,99.50738916256158,0,16.32721740970566,1699829300.194
6560,1240,2680,99.66996699669967,0,15.944028661012569,1699829301.195
6560,1240,2680,99.66996699669967,0,15.944028661012569,1699829301.195
6520,1240,2640,93.89438943894389,6.1,15.401358557549328,1699829302.197
6520,1240,2640,93.89438943894389,6.1,15.401358557549328,1699829302.197
6520,1240,2640,93.89438943894389,6.1,15.401358557549328,1699829303.198
6520,1240,2640,93.89438943894389,6.1,15.401358557549328,1699829303.198
5520,1240,1600,17.355371900826444,0,14.444071155150375,1699829304.199
5520,1240,1600,17.355371900826444,0,14.444071155150375,1699829304.199
5520,1240,1600,17.355371900826444,0,14.444071155150375,1699829305.2
5520,1240,1600,17.355371900826444,0,14.444071155150375,1699829305.2
5200,1240,1280,17.627677100494232,0,12.276984205299732,1699829306.201
5200,1240,1280,17.627677100494232,0,12.276984205299732,1699829306.201
5200,1240,1280,17.627677100494232,0,12.276984205299732,1699829307.202
5200,1240,1280,17.627677100494232,0,12.276984205299732,1699829307.202
5800,1440,1440,17.656765676567655,0,10.61343852866472,1699829308.204
5800,1440,1440,17.656765676567655,0,10.61343852866472,1699829308.204
5800,1440,1440,17.656765676567655,0,10.61343852866472,1699829309.205
5800,1440,1440,17.656765676567655,0,10.61343852866472,1699829309.205
6320,1440,2000,25.493421052631582,0,11.39966563673045,1699829310.206
6320,1440,2000,25.493421052631582,0,11.39966563673045,1699829310.206
5280,1280,1320,16.776315789473685,30.8,7.5733679826920515,1699829311.207
5280,1280,1320,16.776315789473685,30.8,7.5733679826920515,1699829311.207
5280,1280,1320,16.776315789473685,30.8,7.5733679826920515,1699829312.209
5280,1280,1320,16.776315789473685,30.8,7.5733679826920515,1699829312.209
5160,1240,1280,16.91297208538588,19.9,4.5894239220891375,1699829313.21
5160,1240,1280,16.91297208538588,19.9,4.5894239220891375,1699829313.21
5160,1240,1280,16.91297208538588,19.9,4.5894239220891375,1699829314.211
5160,1240,1280,16.91297208538588,19.9,4.5894239220891375,1699829314.211
5200,1240,1400,17.355371900826444,20.5,4.568661685631221,1699829315.212
5200,1240,1400,17.355371900826444,20.5,4.568661685631221,1699829315.212
5200,1240,1400,17.355371900826444,20.5,4.568661685631221,1699829316.213
5200,1240,1400,17.355371900826444,20.5,4.568661685631221,1699829316.213
5200,1240,1400,18.092105263157897,0,4.976890604118338,1699829317.214
5200,1240,1400,18.092105263157897,0,4.976890604118338,1699829317.214
5240,1240,1360,18.181818181818176,25.2,1.8656922865439605,1699829318.216
5240,1240,1360,18.181818181818176,25.2,1.8656922865439605,1699829318.216
5240,1240,1360,18.181818181818176,25.2,1.8656922865439605,1699829319.217
5240,1240,1360,18.181818181818176,25.2,1.8656922865439605,1699829319.217
5360,1280,1400,19.630872483221474,15.4,1.8657493256551083,1699829320.218
5360,1280,1400,19.630872483221474,15.4,1.8657493256551083,1699829320.218
5360,1280,1400,19.630872483221474,15.4,1.8657493256551083,1699829321.22
5360,1280,1400,19.630872483221474,15.4,1.8657493256551083,1699829321.22
5280,1280,1360,20.93023255813954,14,1.8648366998767385,1699829322.221
5280,1280,1360,20.93023255813954,14,1.8648366998767385,1699829322.221
5280,1280,1360,20.93023255813954,14,1.8648366998767385,1699829323.222
5280,1280,1360,20.93023255813954,14,1.8648366998767385,1699829323.222
5320,1240,1400,20.133111480865228,9.7,1.866490834100034,1699829324.223
5320,1240,1400,20.133111480865228,9.7,1.866490834100034,1699829324.223
5320,1240,1400,20.133111480865228,9.7,1.866490834100034,1699829325.224
5320,1240,1400,20.133111480865228,9.7,1.866490834100034,1699829325.224
5280,1240,1360,19.402985074626866,15.4,1.8729932927709203,1699829326.225
5280,1240,1360,19.402985074626866,15.4,1.8729932927709203,1699829326.225
5280,1240,1400,19.06354515050167,12.6,1.8615284314301472,1699829327.227
5280,1240,1400,19.06354515050167,12.6,1.8615284314301472,1699829327.227
5280,1240,1400,19.06354515050167,12.6,1.8615284314301472,1699829328.228
5280,1240,1400,19.06354515050167,12.6,1.8615284314301472,1699829328.228
5280,1240,1360,19.70198675496688,15.4,1.8579349674278156,1699829329.23
5280,1240,1360,19.70198675496688,15.4,1.8579349674278156,1699829329.23
5280,1240,1360,19.70198675496688,15.4,1.8579349674278156,1699829330.231
5280,1240,1360,19.70198675496688,15.4,1.8579349674278156,1699829330.231
5280,1240,1360,19.110378912685334,19,1.848466474977227,1699829331.232
5280,1240,1360,19.110378912685334,19,1.848466474977227,1699829331.232
5280,1240,1360,19.110378912685334,19,1.848466474977227,1699829332.233
5280,1240,1360,19.110378912685334,19,1.848466474977227,1699829332.233
5240,1240,1360,20.197044334975367,8.9,1.8683731247679218,1699829333.235
5240,1240,1360,20.197044334975367,8.9,1.8683731247679218,1699829333.235
5280,1240,1360,18.93687707641196,0,1.8605587665406293,1699829334.236
5280,1240,1360,18.93687707641196,0,1.8605587665406293,1699829334.236
5280,1240,1360,18.93687707641196,0,1.8605587665406293,1699829335.237
5280,1240,1360,18.93687707641196,0,1.8605587665406293,1699829335.237
5240,1240,1360,18.842975206611566,15.1,1.8581060847612598,1699829336.238
5240,1240,1360,18.842975206611566,15.1,1.8581060847612598,1699829336.238
5240,1240,1360,18.842975206611566,15.1,1.8581060847612598,1699829337.239
5240,1240,1360,18.842975206611566,15.1,1.8581060847612598,1699829337.239
5240,1240,1360,18.905472636815922,4.1,1.8651789345436272,1699829338.24
5240,1240,1360,18.905472636815922,4.1,1.8651789345436272,1699829338.24
5240,1240,1360,18.905472636815922,4.1,1.8651789345436272,1699829339.242
5240,1240,1360,18.905472636815922,4.1,1.8651789345436272,1699829339.242
5200,1240,1360,19.071310116086238,4,1.8527444083133364,1699829340.243
5200,1240,1360,19.071310116086238,4,1.8527444083133364,1699829340.243
5200,1240,1400,18.93687707641196,7.1,1.856794185204853,1699829341.244
5200,1240,1400,18.93687707641196,7.1,1.856794185204853,1699829341.244
5200,1240,1400,18.93687707641196,7.1,1.856794185204853,1699829342.245
5200,1240,1400,18.93687707641196,7.1,1.856794185204853,1699829342.245
5200,1240,1360,18.73963515754561,0,1.8573075372051864,1699829343.247
