energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437292.975
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437292.975
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437293.981
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437293.981
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437294.99
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437294.99
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437296.0
7120,1600,2240,26.67785234899329,60.4,1.48854798552349,1689437296.0
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437297.007
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437297.007
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437298.018
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437298.018
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437299.027
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437299.027
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437300.033
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437300.033
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437301.043
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437301.043
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437302.051
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437302.051
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437303.057
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437303.057
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437304.067
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437304.067
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437305.075
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437305.075
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437306.081
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437306.081
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437307.091
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437307.091
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437308.098
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437308.098
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437309.107
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437309.107
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437310.112
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437310.112
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437311.121
7360,1640,2400,27.378964941569283,54.0,1.4662457185066038,1689437311.121
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437312.129
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437312.129
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437313.14
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437313.14
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437314.15
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437314.15
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437315.156
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437315.156
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437316.162
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437317.17
7080,1600,2200,27.64900662251656,48.7,1.5000128337853678,1689437317.17
