energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
5200,1240,1360,18.646864686468646,0.0,1.7393506553508675,1699828708.767
5200,1240,1360,18.646864686468646,0.0,1.7393506553508675,1699828708.767
5200,1240,1360,18.646864686468646,0.0,1.7393506553508675,1699828709.768
5200,1240,1360,18.646864686468646,0.0,1.7393506553508675,1699828709.768
5240,1240,1360,20.96505823627288,22.8,1.7388373033505342,1699828710.77
5240,1240,1360,20.96505823627288,22.8,1.7388373033505342,1699828710.77
5240,1240,1360,20.96505823627288,22.8,1.7388373033505342,1699828711.771
5240,1240,1360,20.96505823627288,22.8,1.7388373033505342,1699828711.771
5360,1280,1400,20.666666666666668,15.5,1.7249767993415404,1699828712.772
5360,1280,1400,20.666666666666668,15.5,1.7249767993415404,1699828712.772
5360,1280,1400,20.666666666666668,15.5,1.7249767993415404,1699828713.773
5360,1280,1400,20.666666666666668,15.5,1.7249767993415404,1699828713.773
5280,1280,1400,20.598006644518275,13.1,1.725147916674985,1699828714.775
5280,1280,1400,20.598006644518275,13.1,1.725147916674985,1699828714.775
5280,1240,1360,19.12751677852349,15.4,1.7249767993415404,1699828715.776
5280,1240,1360,19.12751677852349,15.4,1.7249767993415404,1699828715.776
5280,1240,1360,19.12751677852349,15.4,1.7249767993415404,1699828716.777
5280,1240,1360,19.12751677852349,15.4,1.7249767993415404,1699828716.777
5320,1240,1400,19.467554076539106,7.7,1.7815025584893305,1699828717.778
5320,1240,1400,19.467554076539106,7.7,1.7815025584893305,1699828717.778
5320,1240,1400,19.467554076539106,7.7,1.7815025584893305,1699828718.78
5320,1240,1400,19.467554076539106,7.7,1.7815025584893305,1699828718.78
5240,1240,1360,19.734660033167494,15.5,1.7856093744919956,1699828719.781
5240,1240,1360,19.734660033167494,15.5,1.7856093744919956,1699828719.781
5240,1240,1360,19.734660033167494,15.5,1.7856093744919956,1699828720.782
5240,1240,1360,19.734660033167494,15.5,1.7856093744919956,1699828720.782
5240,1240,1360,19.43521594684385,7.4,1.7752852953741851,1699828721.783
5240,1240,1360,19.43521594684385,7.4,1.7752852953741851,1699828721.783
5240,1240,1360,19.43521594684385,7.4,1.7752852953741851,1699828722.784
5240,1240,1360,19.43521594684385,7.4,1.7752852953741851,1699828722.784
5280,1240,1360,19.402985074626866,1.2,1.7888606038274384,1699828723.786
5280,1240,1360,19.402985074626866,1.2,1.7888606038274384,1699828723.786
5240,1240,1360,18.666666666666664,3.3,1.789088760272031,1699828724.787
5240,1240,1360,18.666666666666664,3.3,1.789088760272031,1699828724.787
5240,1240,1360,18.666666666666664,3.3,1.789088760272031,1699828725.788
5240,1240,1360,18.666666666666664,3.3,1.789088760272031,1699828725.788
5240,1240,1360,19.669421487603312,7.2,1.7918266376071408,1699828726.789
5240,1240,1360,19.669421487603312,7.2,1.7918266376071408,1699828726.789
5240,1240,1360,19.669421487603312,7.2,1.7918266376071408,1699828727.79
5240,1240,1360,19.669421487603312,7.2,1.7918266376071408,1699828727.79
5240,1240,1360,18.90547263681592,15.4,1.7878909389379205,1699828728.792
5240,1240,1360,18.90547263681592,15.4,1.7878909389379205,1699828728.792
5240,1240,1360,18.90547263681592,15.4,1.7878909389379205,1699828729.793
5240,1240,1360,18.90547263681592,15.4,1.7878909389379205,1699828729.793
5240,1240,1360,19.5364238410596,8.8,1.78578049182544,1699828730.795
5240,1240,1360,19.5364238410596,8.8,1.78578049182544,1699828730.795
5280,1240,1400,19.10299003322259,0.0,1.7676420544803366,1699828731.796
5280,1240,1400,19.10299003322259,0.0,1.7676420544803366,1699828731.796
5280,1240,1400,19.10299003322259,0.0,1.7676420544803366,1699828732.797
5280,1240,1400,19.10299003322259,0.0,1.7676420544803366,1699828732.797
5240,1240,1400,19.37086092715232,7.5,1.768782836703299,1699828733.798
5240,1240,1400,19.37086092715232,7.5,1.768782836703299,1699828733.798
5240,1240,1400,19.37086092715232,7.5,1.768782836703299,1699828734.799
5240,1240,1400,19.37086092715232,7.5,1.768782836703299,1699828734.799
5200,1240,1360,19.407894736842103,15.5,1.7736882002620376,1699828735.801
5200,1240,1360,19.407894736842103,15.5,1.7736882002620376,1699828735.801
5200,1240,1360,19.407894736842103,15.5,1.7736882002620376,1699828736.802
5200,1240,1360,19.407894736842103,15.5,1.7736882002620376,1699828736.802
5200,1240,1360,18.333333333333336,12.6,1.7703228927042989,1699828737.803
5200,1240,1360,18.333333333333336,12.6,1.7703228927042989,1699828737.803
5240,1240,1360,19.243421052631582,22.8,1.7716347922607054,1699828738.804
5240,1240,1360,19.243421052631582,22.8,1.7716347922607054,1699828738.804
5240,1240,1360,19.243421052631582,22.8,1.7716347922607054,1699828739.806
5240,1240,1360,19.243421052631582,22.8,1.7716347922607054,1699828739.806
5200,1240,1360,19.03973509933775,7.0,1.7865220002703657,1699828740.807
5200,1240,1360,19.03973509933775,7.0,1.7865220002703657,1699828740.807
