energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434834.058
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434834.058
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434835.068
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434835.068
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434836.078
6560,1440,2040,26.315789473684216,39.9,2.2682717454233297,1689434836.078
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434837.088
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434837.088
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434838.098
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434838.098
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434839.109
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434839.109
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434840.119
6680,1440,2160,27.34899328859061,28.7,2.140333165068148,1689434840.119
