energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437007.346
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437007.346
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437008.352
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437008.352
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437009.359
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437009.359
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437010.369
7600,1640,2680,40.06734006734006,45.7,3.906718344042414,1689437010.369
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437011.377
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437011.377
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437012.383
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437012.383
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437013.393
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437013.393
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437014.403
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437014.403
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437015.413
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437015.413
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437016.419
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437016.419
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437017.429
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437017.429
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437018.439
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437018.439
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437019.449
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437019.449
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437020.459
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437020.459
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437021.467
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437021.467
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437022.477
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437022.477
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437023.483
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437023.483
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437024.492
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437024.492
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437025.501
8160,1720,3000,51.74708818635607,65.2,3.616446638546417,1689437025.501
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437026.509
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437026.509
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437027.518
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437027.518
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437028.528
7760,1640,2760,52.100840336134446,40.8,3.5099547395169366,1689437028.528
