energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434604.348
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434604.348
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434605.353
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434605.353
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434606.36
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434606.36
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434607.365
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434607.365
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434608.371
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434608.371
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434609.382
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434609.382
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434610.389
6680,1440,2200,28.1198003327787,45.4,2.618548527394428,1689434610.389
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434611.394
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434611.394
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434612.405
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434612.405
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434613.411
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434613.411
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434614.42
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434614.42
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434615.429
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434615.429
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434616.437
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434616.437
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434617.447
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434617.447
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434618.455
6640,1440,2120,27.57475083056479,30.5,2.603033906860942,1689434618.455
