energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
5200,1240,1360,18.811881188118807,0.0,1.7982720571668789,1699829536.486
5200,1240,1360,18.811881188118807,0.0,1.7982720571668789,1699829536.486
5200,1240,1360,18.811881188118807,0.0,1.7982720571668789,1699829537.488
5200,1240,1360,18.811881188118807,0.0,1.7982720571668789,1699829537.488
5240,1240,1360,20.895522388059707,19.9,1.797074235832768,1699829538.489
5240,1240,1360,20.895522388059707,19.9,1.797074235832768,1699829538.489
5240,1240,1360,20.895522388059707,19.9,1.797074235832768,1699829539.491
5240,1240,1360,20.895522388059707,19.9,1.797074235832768,1699829539.491
5280,1280,1360,20.23217247097844,15.4,1.8127599913985024,1699829540.493
5280,1280,1360,20.23217247097844,15.4,1.8127599913985024,1699829540.493
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829541.494
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829541.494
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829542.496
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829542.496
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829543.497
5280,1280,1360,20.723684210526315,15.4,1.81007915317454,1699829543.497
5240,1240,1360,19.333333333333336,11.0,1.8194906065139809,1699829544.498
5240,1240,1360,19.333333333333336,11.0,1.8194906065139809,1699829544.498
5240,1240,1360,19.333333333333336,15.4,1.809850996729948,1699829545.5
5240,1240,1360,19.333333333333336,15.4,1.809850996729948,1699829545.5
5240,1240,1360,19.333333333333336,15.4,1.809850996729948,1699829546.501
5240,1240,1360,19.333333333333336,15.4,1.809850996729948,1699829546.501
5240,1240,1360,19.43521594684385,19.2,1.8219432882933495,1699829547.502
5240,1240,1360,19.43521594684385,19.2,1.8219432882933495,1699829547.502
5240,1240,1360,19.43521594684385,19.2,1.8219432882933495,1699829548.503
5240,1240,1360,19.43521594684385,19.2,1.8219432882933495,1699829548.503
5240,1240,1360,19.166666666666664,3.9,1.8084250189512447,1699829549.505
5240,1240,1360,19.166666666666664,3.9,1.8084250189512447,1699829549.505
5240,1240,1360,19.50413223140496,15.4,1.812189600287021,1699829550.506
5240,1240,1360,19.50413223140496,15.4,1.812189600287021,1699829550.506
5240,1240,1360,19.50413223140496,15.4,1.812189600287021,1699829551.507
5240,1240,1360,19.50413223140496,15.4,1.812189600287021,1699829551.507
5240,1240,1360,19.5364238410596,14.4,1.7953630624983243,1699829552.509
5240,1240,1360,19.5364238410596,14.4,1.7953630624983243,1699829552.509
5240,1240,1360,19.5364238410596,14.4,1.7953630624983243,1699829553.51
5240,1240,1360,19.5364238410596,14.4,1.7953630624983243,1699829553.51
5280,1240,1360,19.269102990033225,15.4,1.7740874740400745,1699829554.511
5280,1240,1360,19.269102990033225,15.4,1.7740874740400745,1699829554.511
5280,1240,1360,19.269102990033225,15.4,1.7740874740400745,1699829555.513
5280,1240,1360,19.269102990033225,15.4,1.7740874740400745,1699829555.513
5240,1240,1360,19.338842975206617,15.4,1.7930244589412514,1699829556.514
5240,1240,1360,19.338842975206617,15.4,1.7930244589412514,1699829556.514
5280,1240,1360,18.73963515754561,0.0,1.78760574338218,1699829557.515
5280,1240,1360,18.73963515754561,0.0,1.78760574338218,1699829557.515
5280,1240,1360,18.73963515754561,0.0,1.78760574338218,1699829558.517
5280,1240,1360,18.73963515754561,0.0,1.78760574338218,1699829558.517
5240,1240,1360,19.96699669966997,6.9,1.795933453609806,1699829559.518
5240,1240,1360,19.96699669966997,6.9,1.795933453609806,1699829559.518
5240,1240,1360,19.96699669966997,6.9,1.795933453609806,1699829560.519
5240,1240,1360,19.96699669966997,6.9,1.795933453609806,1699829560.519
5240,1240,1360,19.03973509933775,1.2,1.7931955762746958,1699829561.52
5240,1240,1360,19.03973509933775,1.2,1.7931955762746958,1699829561.52
5240,1240,1360,19.03973509933775,1.2,1.7931955762746958,1699829562.521
5240,1240,1360,19.03973509933775,1.2,1.7931955762746958,1699829562.521
5240,1240,1360,18.73963515754561,2.8,1.7844685922690329,1699829563.523
5240,1240,1360,18.73963515754561,2.8,1.7844685922690329,1699829563.523
5240,1240,1400,19.407894736842103,0.0,1.7866360784926618,1699829564.524
5240,1240,1400,19.407894736842103,0.0,1.7866360784926618,1699829564.524
5240,1240,1400,19.407894736842103,0.0,1.7866360784926618,1699829565.526
5240,1240,1400,19.407894736842103,0.0,1.7866360784926618,1699829565.526
5200,1240,1360,18.811881188118807,0.0,1.7927963024966589,1699829566.527
5200,1240,1360,18.811881188118807,0.0,1.7927963024966589,1699829566.527
5200,1240,1360,18.811881188118807,0.0,1.7927963024966589,1699829567.528
5200,1240,1360,18.811881188118807,0.0,1.7927963024966589,1699829567.528
5240,1240,1360,18.13643926788685,0.0,1.7927963024966589,1699829568.529
5240,1240,1360,18.13643926788685,0.0,1.7927963024966589,1699829568.529
5240,1240,1360,18.13643926788685,0.0,1.7927963024966589,1699829569.531
5240,1240,1360,18.13643926788685,0.0,1.7927963024966589,1699829569.531
5280,1240,1400,18.811881188118807,22.8,1.7934237327192883,1699829570.532
5280,1240,1400,18.811881188118807,22.8,1.7934237327192883,1699829570.532
5240,1240,1360,18.73963515754561,6.6,1.7918266376071408,1699829571.533
5240,1240,1360,18.73963515754561,6.6,1.7918266376071408,1699829571.533
5240,1240,1360,18.73963515754561,6.6,1.7918266376071408,1699829572.535
5240,1240,1360,18.73963515754561,6.6,1.7918266376071408,1699829572.535
5280,1240,1400,18.646864686468646,6.8,1.8035766945036544,1699829573.536
5280,1240,1400,18.646864686468646,6.8,1.8035766945036544,1699829573.536
5280,1240,1400,18.646864686468646,6.8,1.8035766945036544,1699829574.537
5280,1240,1400,18.646864686468646,6.8,1.8035766945036544,1699829574.537
5240,1240,1360,18.51239669421487,0.0,1.7952489842760284,1699829575.538
5240,1240,1360,18.51239669421487,0.0,1.7952489842760284,1699829575.538
5240,1240,1360,18.51239669421487,0.0,1.7952489842760284,1699829576.539
5240,1240,1360,18.51239669421487,0.0,1.7952489842760284,1699829576.539
